Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"2,180","1,613","1,400",810.01,619.27,585.96,637.85,559.35,461.3,386.27,308.33
Interest Income on Investments,842.87,558.06,438.74,327.51,242.25,222.53,225.05,172.61,155.61,136.76,122.36
Total Interest Income,"3,022","2,171","1,839","1,138",861.52,808.49,862.89,731.96,616.91,523.03,430.68
Interest Paid on Deposits,"1,265",982.3,704.21,167.55,26.41,58.21,154.19,92.1,36.35,17.94,14.27
Interest Paid on Borrowings,148.95,187.82,214.38,56.17,19.59,19.05,37.8,29.41,21.65,9.77,4.35
Total Interest Expense,"1,414","1,170",918.59,223.72,46,77.26,191.99,121.52,58,27.71,18.61
Net Interest Income,"1,609","1,001",920.12,913.8,815.52,731.23,670.91,610.45,558.91,495.32,412.07
Net Interest Income Growth (YoY),67.15%,8.78%,0.69%,12.05%,11.53%,8.99%,9.90%,9.22%,12.84%,20.20%,17.71%
Trust Income,327.83,290.57,257.2,237.21,224.13,194.65,176.91,172.16,176.65,166.32,166.26
Income From Trading Activities,25.29,24.23,19.63,23.2,30.94,32.95,23.47,15.58,23.18,21.42,20.22
Gain (Loss) on Sale of Assets,3.2,3.2,4.34,3.06,2.67,0.8,0.37,2.72,103.35,-,-
Gain (Loss) on Sale of Investments,29.4,10.72,-3.14,58.44,5.06,120.63,2.25,3.52,4.19,8.51,-1.79
Other Non-Interest Income,264.29,214.89,178.87,147.15,118.33,127.27,141.02,123.42,28.52,119.6,99.51
Total Non-Interest Income,756.89,628.12,541.85,554.23,467.18,560.17,426.77,401.7,423.56,402.51,370.66
Non-Interest Income Growth (YoY),25.49%,15.92%,-2.23%,18.63%,-16.60%,31.26%,6.24%,-5.16%,5.23%,8.59%,-25.67%
Revenues Before Loan Losses,"2,366","1,629","1,462","1,468","1,283","1,291","1,098","1,012",982.48,897.83,782.73
Provision for Loan Losses,148.5,61.05,41.23,37.9,20,130.5,32.85,70.75,41,32.5,15.5
Revenue,"2,217","1,568","1,421","1,430","1,263","1,161","1,065",941.39,941.48,865.33,767.23
Revenue Growth (YoY),45.52%,10.36%,-0.66%,13.26%,8.77%,9.02%,13.11%,-0.01%,8.80%,12.79%,-7.76%
Salaries and Employee Benefits,780.92,571.33,534.73,502.94,483.23,480.34,446.6,408.02,400.51,378.32,354.46
Occupancy Expenses,54.56,37.04,37.4,36.95,47.35,34.68,47.77,30.44,29.66,29.66,43.27
Federal Deposit Insurance,30.84,31.9,77.01,15.38,11.89,10.28,11.49,12.7,15.53,14.18,12.13
Amortization of Goodwill & Intangibles,69.98,7.71,8.59,5.04,4.76,6.52,5.51,5.76,7.33,8.7,8.17
"Selling, General & Administrative",416.42,303.88,274.19,268.26,233.09,227.83,222.59,218.37,204.5,189.22,170.84
Other Non-Interest Expense,114.88,74.83,67.23,69.56,53.31,62.36,44.91,42.52,47.6,46.67,42.87
Total Non-Interest Expense,"1,468","1,027",999.14,898.12,833.64,822.01,778.86,717.8,705.13,666.75,631.74
EBT Excluding Unusual Items,749.47,541.27,421.6,532.01,429.06,338.89,285.97,223.59,236.35,198.59,135.49
Pretax Income,749.47,541.27,421.6,532.01,429.06,338.89,285.97,223.59,236.35,198.59,128.29
Income Tax Expense,142.43,100.03,71.58,100.33,76.04,52.39,42.37,27.33,53.37,44.96,31.73
Earnings From Continuing Operations,607.04,441.24,350.02,431.68,353.02,286.5,243.6,196.26,182.98,153.63,96.56
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-0.75,64.13,5.17,19.52
Net Income,607.04,441.24,350.02,431.68,353.02,286.5,243.6,195.51,247.11,158.8,116.07
Net Income to Common,595.07,441.24,350.02,431.68,353.02,286.5,243.6,195.51,247.11,158.8,116.07
Net Income Growth,54.79%,26.06%,-18.92%,22.28%,23.22%,17.61%,24.59%,-20.88%,55.61%,36.81%,-3.80%
Basic Shares Outstanding,66,49,49,48,48,48,49,49,49,49,47
Diluted Shares Outstanding,67,49,49,49,49,48,49,50,50,49,48
Shares Change (YoY),36.59%,0.60%,0.03%,0.02%,0.82%,-1.52%,-1.37%,-0.14%,1.14%,3.57%,4.70%
EPS (Basic),8.95,9.05,7.22,8.93,7.31,5.95,4.99,3.96,5.02,3.25,2.46
EPS (Diluted),8.89,8.99,7.18,8.86,7.24,5.93,4.96,3.92,4.96,3.22,2.44
EPS Growth,10.98%,25.21%,-18.96%,22.38%,22.09%,19.56%,26.37%,-20.82%,53.70%,32.16%,-7.92%
Dividend Per Share,1.600,1.570,1.530,1.490,1.380,1.250,1.210,1.170,1.040,0.990,0.950
Dividend Growth,2.56%,2.61%,2.69%,7.97%,10.40%,3.31%,3.42%,12.50%,5.05%,4.21%,4.40%
Effective Tax Rate,19.00%,18.48%,16.98%,18.86%,17.72%,15.46%,14.82%,12.22%,22.58%,22.64%,24.73%
