Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,838",573.18,452.25,507.68,413.82,430.64,472.96,645.62,397.82,423.04,474.14
Investment Securities,"9,321","7,291","7,122","7,300","6,642","6,833","6,174","4,587","4,118","4,303","4,253"
Trading Asset Securities,334.98,262.98,179.59,66.1,89.56,138.57,100.89,70.35,64.2,50.41,41.92
Mortgage-Backed Securities,"10,416","6,944","6,359","6,948","8,361","5,468","4,072","3,812","3,649","3,712","3,572"
Total Investments,"20,072","14,498","13,661","14,313","15,093","12,440","10,347","8,470","7,831","8,065","7,868"
Gross Loans,"37,707","25,642","23,172","21,031","17,171","16,104","13,432","12,178","11,281","10,540","9,431"
Allowance for Loan Losses,-404.97,-259.09,-219.74,-191.84,-194.77,-215.97,-101.79,-103.64,-100.6,-91.65,-81.14
Net Loans,"37,302","25,383","22,953","20,839","16,976","15,888","13,330","12,075","11,180","10,449","9,350"
"Property, Plant & Equipment",398.61,252.24,261.29,272.56,275.28,292.32,301.43,228.09,223.12,233.14,232.68
Goodwill,"1,835",207.39,207.39,207.39,174.52,180.87,180.87,180.87,180.87,180.87,228.35
Other Intangible Assets,511.45,80.78,101.42,124.41,67.17,85.23,93.3,70.79,73.08,82.49,95.57
Loans Held for Sale,3.17,2.76,4.42,1.98,1.28,6.71,7.8,3.19,1.46,5.28,0.59
Accrued Interest Receivable,331.65,246.1,220.31,189.23,131.1,139.89,124.51,110.17,98.86,99.05,90.13
Other Receivables,99.5,100.2,86.6,76.1,73.6,62.1,58,52.2,53.5,-,-
Restricted Cash,"7,768","7,876","5,081","1,057","8,801","3,067","1,196","1,029","1,324",641.85,360.9
Other Current Assets,-,-,-,-,-,-,-,-,-,55.39,-
Long-Term Deferred Tax Assets,-,244.04,222.2,248.43,-,-,-,27.15,-,58.21,27.49
Other Real Estate Owned & Foreclosed,31.43,28.39,1.74,0.07,-,4.74,2.94,3.34,1.5,0.19,3.31
Other Long-Term Assets,"1,690",918.19,759.15,674.64,686.93,530.63,446.27,456.63,406.77,389.19,353.84
Total Assets,"71,881","50,410","44,012","38,512","42,693","33,128","26,561","23,351","21,772","20,683","19,094"
Accrued Expenses,445.72,364.32,384.77,236.54,224.8,218.53,199.04,177.73,185.57,172.97,161.25
Interest Bearing Deposits,"42,535","28,366","22,882","18,841","18,809","16,773","14,044","12,048","10,452","9,394","8,302"
Institutional Deposits,"1,413","1,159",780.69,538.05,447.98,398.35,614.78,552.84,732.27,522.13,483.91
Non-Interest Bearing Deposits,"16,188","13,617","12,131","13,260","16,343","9,880","6,944","6,680","6,839","6,655","6,307"
Total Deposits,"60,136","43,142","35,793","32,639","35,600","27,051","21,603","19,281","18,023","16,571","15,093"
Short-Term Borrowings,"2,983","2,717","4,025","2,349","3,252","2,325","1,903","1,524","1,270","1,868","1,835"
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,0.01,-,0.14,0.03
Current Portion of Leases,-,12.02,-,-,-,2.02,-,-,-,-,-
Other Current Liabilities,13,7.1,8.02,3.5,3.2,2.18,14.6,27.2,4.1,-,-
Long-Term Debt,252.4,308.51,307.64,306.76,198.33,197.88,-,13.33,11,9.38,9.69
"Federal Home Loan Bank Debt, Long-Term",-,-,-,-,-,-,-,-,-,-,10.19
Long-Term Leases,-,43.1,58.9,63.5,64.6,71.7,73,-,-,-,-
Trust Preferred Securities,218.93,76.78,75.61,74.55,73.21,71.71,70.37,69.33,68.29,67.26,66.16
