Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,834","2,966","3,890","4,540","8,763","13,355","2,948","2,227","2,847","1,149","1,282"
Market Cap Growth,-39.16%,-23.76%,-14.32%,-48.20%,-34.39%,352.97%,32.37%,-21.77%,147.75%,-10.38%,18.68%
Enterprise Value,"12,350","13,445","14,069","15,746","17,657","22,777","13,940","6,529","7,454","6,146","2,316"
Last Close Price,13.65,19.82,26.02,29.70,51.85,86.37,25.56,18.83,31.33,13.79,16.02
PE Ratio,-,-,-,20.52,20.93,-,67.16,23.82,6.02,11.42,2071.76
Forward PE,17.57,166.84,-,16.25,22.20,57.17,13.38,19.61,24.72,18.75,18.50
PS Ratio,0.30,0.45,0.61,0.71,1.48,3.73,0.56,0.63,0.91,0.38,0.45
PB Ratio,0.96,1.04,1.22,1.26,2.14,5.03,1.59,3.05,-38.93,-2.12,-1.89
P/FCF Ratio,-,-,40.56,7.38,13.44,66.18,5.74,8.56,7.52,3.70,5.98
P/OCF Ratio,3.65,8.25,8.53,5.17,9.78,39.42,4.19,6.31,5.96,2.82,3.10
PEG Ratio,-,-,-,-,0.41,0.72,0.37,0.15,4.48,3.75,3.70
EV/Sales Ratio,1.81,2.04,2.21,2.46,2.99,6.37,2.63,1.85,2.39,2.04,0.82
EV/EBITDA Ratio,18.54,22.58,17.23,9.24,12.17,38.46,11.98,7.09,9.16,7.54,3.03
EV/EBIT Ratio,54.60,83.04,36.88,13.86,15.96,101.01,18.61,10.01,13.64,11.31,4.59
EV/FCF Ratio,-,-,146.71,25.61,27.08,112.87,27.16,25.09,19.70,19.78,10.80
Debt / Equity Ratio,5.72,3.94,3.61,3.59,2.83,4.20,6.12,13.08,-65.47,-9.08,-7.78
Debt / EBITDA Ratio,7.92,8.46,7.62,6.61,5.83,10.45,7.41,10.38,5.89,6.05,6.91
Debt / FCF Ratio,-,-,120.36,21.00,17.80,55.29,22.07,36.74,12.65,15.87,24.60
Asset Turnover,0.46,0.42,0.38,0.37,0.37,0.25,0.42,0.44,0.61,0.60,0.58
Quick Ratio,0.62,0.68,0.93,1.61,1.81,2.26,0.57,0.79,0.63,0.54,0.51
Current Ratio,0.75,0.82,1.11,1.74,1.96,2.42,0.71,0.92,0.76,0.74,0.67
Return on Equity (ROE),-36.13%,-10.34%,-14.46%,5.76%,12.45%,-29.69%,3.34%,28.42%,-,-,-
Return on Assets (ROA),0.95%,0.65%,1.42%,4.13%,4.38%,0.98%,3.72%,5.04%,6.69%,6.72%,6.46%
Return on Capital (ROIC),1.03%,0.70%,1.53%,4.41%,4.69%,1.04%,3.99%,5.43%,7.50%,7.56%,7.20%
Return on Capital Employed (ROCE),1.80%,1.20%,2.60%,7.00%,7.00%,1.60%,5.60%,6.40%,11.60%,12.20%,11.00%
Earnings Yield,-49.17%,-10.50%,-12.60%,4.89%,4.80%,-5.01%,1.49%,4.20%,16.63%,9.51%,0.05%
FCF Yield,-9.49%,-4.16%,2.47%,13.54%,7.44%,1.51%,17.41%,11.68%,13.29%,27.03%,16.73%
Buyback Yield / Dilution,1.83%,-,13.87%,-0.63%,-30.97%,-13.75%,-17.45%,-7.39%,-10.83%,-2.42%,-4.92%
