Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,660.1,706.6,"1,072","1,624","1,864","1,854",437.4,479.6,277.95,229.51,237.01
Cash & Short-Term Investments,660.1,706.6,"1,072","1,624","1,864","1,854",437.4,479.6,277.95,229.51,237.01
Cash Growth,-20.85%,-34.07%,-34.00%,-12.87%,0.55%,323.82%,-8.80%,72.55%,21.11%,-3.16%,13.58%
Accounts Receivable,231,136.3,171.5,115.6,78.5,51.5,55.9,64.5,32.6,61.86,45.19
Other Receivables,-,113.3,137.3,123.4,103.7,37.2,26.2,36.2,21.34,-,-
Receivables,231,249.6,308.8,239,182.2,88.7,82.1,100.7,53.95,61.86,45.19
Prepaid Expenses,141.5,152.3,225.6,106.1,132.3,103.5,76.7,63,43.78,59.71,76.78
Restricted Cash,30.8,16,21.5,19,15,15.3,15.5,-,-,-,-
Other Current Assets,24.3,29.9,31.3,25.3,30.2,23.7,31.1,34.3,25.35,48.19,13.5
Total Current Assets,"1,088","1,154","1,659","2,013","2,224","2,085",642.8,677.6,401.03,399.27,372.48
"Property, Plant & Equipment","9,624","9,696","9,820","10,619","9,435","9,347","9,958","6,869","2,757","2,820","2,980"
Long-Term Investments,80.4,111.4,110.2,280.3,361.2,431.7,190.6,152.9,148.91,156.18,168.15
Goodwill,"1,785","2,563","2,695","2,690","2,823","1,157","1,271","1,228","1,008",989.69,911.94
Other Intangible Assets,"1,506","1,530","1,618","1,739","1,873","1,514","2,027","1,857",422.61,435.49,391.44
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,80.6,390.94,-,-
Other Long-Term Assets,227.4,206.8,162,161.2,157,133,106.4,95.8,85.65,82.08,92.95
