Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,"5,554","5,228","2,176","1,513","4,496","2,447",968.34,297.93,641.95,170.65
Short-Term Investments,344,517.87,"3,481","3,454","1,993","8,128","2,937","2,771",-,66.35
Trading Asset Securities,5.04,-,-,-,-,-,-,-,201.76,-
Cash & Short-Term Investments,"5,903","5,746","5,658","4,966","6,489","10,575","3,905","3,069",843.71,236.99
Cash Growth,34.15%,1.55%,13.92%,-23.46%,-38.64%,170.78%,27.27%,263.69%,256.01%,-
Accounts Receivable,"38,589","29,622","24,355","21,179","20,173","17,723","14,316","9,289","5,102","3,065"
Other Receivables,65.59,32.53,25.05,27.04,98.44,16.95,17.08,4.08,6.38,9
Receivables,"40,270","30,547","24,590","21,206","20,271","17,740","14,333","9,293","5,108","3,074"
Prepaid Expenses,-,-,-,-,169.56,67.66,12.46,15.07,10.39,3.97
Other Current Assets,"6,750","9,673","6,904","4,487","3,015",892.16,153.75,60.89,37.49,4.56
Total Current Assets,"52,923","45,965","37,153","30,659","29,944","29,275","18,405","12,438","6,000","3,319"
"Property, Plant & Equipment","1,776","1,885","1,693","1,661","1,598",770.06,581.95,266.27,189.63,93.42
Long-Term Investments,110.37,108.38,128.71,324.52,"1,305",51.98,28.24,2.24,1.74,1.69
Goodwill,674.63,"2,078","5,635","5,647","5,591",654.04,143.19,143.19,118.71,118.71
Other Intangible Assets,"1,246","3,329","3,129","2,965","2,658",333.02,197.16,164.46,115.38,121.02
Long-Term Accounts Receivable,152.29,141.77,110.13,91.66,59.6,382.11,-,0.01,0.39,0.15
Long-Term Deferred Tax Assets,"1,161",871.64,664.49,679.97,580.49,138.7,192.78,262.67,198.23,182.99
Other Long-Term Assets,175.34,262.53,137.51,206.53,355.79,136.74,44.69,8.51,3.45,0.12
Total Assets,"58,597","54,813","48,694","42,245","42,097","31,749","19,606","13,293","6,636","3,839"
Accounts Payable,672.17,672.18,513.88,596.04,372.55,180.49,97.83,117.84,53.24,38.21
Accrued Expenses,520.96,686.85,601.69,527.85,305.34,197.52,136.28,119.49,51.11,20.23
Short-Term Debt,426.9,418.32,505.23,22.47,21.13,765.53,758.81,768.27,-,-
Current Portion of Long-Term Debt,"7,524","4,502","1,345","2,745","3,786","2,330","4,243",7.16,12.06,11.7
Current Portion of Leases,-,49.9,30.23,55.58,66.53,48.86,37.28,2.28,10.48,11.1
Current Income Taxes Payable,804.14,385.82,366.37,223.76,107.01,55.79,2.18,5.94,4.61,0.24
Other Current Liabilities,"27,170","26,819","25,469","21,004","18,131","9,802","6,598","5,034","3,692","3,040"
Total Current Liabilities,"37,118","33,534","28,831","25,174","22,790","13,380","11,873","6,055","3,824","3,122"
Long-Term Debt,"8,594","7,729","3,496","2,584","4,282","2,813","1,620","2,058","2,057",6.82
Long-Term Leases,184.18,197.11,143.46,144.56,206.92,126.01,87.48,1.4,2.04,11.21
Long-Term Deferred Tax Liabilities,289.22,680.67,546.51,500.25,629.91,61.09,10.69,80.22,52.27,33.41
Other Long-Term Liabilities,621.38,845.59,"1,001",892.56,561.21,376.38,42.05,5.91,217.97,78.66
Total Liabilities,"46,807","42,986","34,018","29,295","28,470","16,757","13,633","8,200","6,153","3,252"
Common Stock,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.05,0.04
Additional Paid-In Capital,"13,825","13,825","13,825","13,825","13,825","13,308","5,440","5,440","1,191",944.2
Retained Earnings,"1,473",-346.36,"1,169",-423.2,96.21,"1,455",600.96,-202.28,-503.02,-394.29
Treasury Stock,"-3,342","-1,806",-282.71,-69.09,"-1,065",-76.36,-0.09,-,-,-
Comprehensive Income & Other,-209.19,102.84,-89.29,-439.21,680.02,167.14,-68.6,-144.51,-220.56,-20.83
Total Common Equity,"11,747","11,776","14,622","12,894","13,536","14,853","5,972","5,093",467.37,529.12
Minority Interest,42.8,51.3,53.7,56.12,90.77,138.56,0.63,-0.33,15.21,58.12
Shareholders' Equity,"11,790","11,827","14,676","12,950","13,627","14,992","5,973","5,093",482.58,587.24
Total Liabilities & Equity,"58,597","54,813","48,694","42,245","42,097","31,749","19,606","13,293","6,636","3,839"
Total Debt,"16,729","12,896","5,519","5,551","8,362","6,084","6,746","2,837","2,082",40.83
Net Cash (Debt),"-10,826","-7,150",138.7,-584.75,"-1,874","4,491","-2,841",231.5,"-1,238",196.16
Net Cash Per Share,-39.14,-23.70,0.43,-1.87,-6.07,15.29,-10.07,0.99,-5.74,1.03
Filing Date Shares Outstanding,262.34,286.01,308.94,312.64,308.93,308.73,277.36,277.18,223.16,205.21
Total Common Shares Outstanding,262.34,286.01,308.94,312.64,308.93,308.73,277.36,277.18,223.16,205.21
Working Capital,"15,805","12,431","8,321","5,485","7,155","15,894","6,532","6,383","2,176",197.15
Book Value Per Share,44.78,41.17,47.33,41.24,43.82,48.11,21.53,18.38,2.09,2.58
Tangible Book Value,"9,827","6,369","5,859","4,282","5,287","13,866","5,632","4,786",233.28,289.4
Tangible Book Value Per Share,37.46,22.27,18.96,13.70,17.11,44.91,20.31,17.27,1.05,1.41
Machinery,"3,554","3,312","2,728","2,286","1,839",914.15,631.84,351.48,217.68,109.97
Construction In Progress,45.48,29.69,30.96,50.32,14.08,0.08,1.02,-,7.13,1.15
Leasehold Improvements,-,-,-,-,-,-,-,-,16.37,8.47
