Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Operating Revenue,"4,786","5,063","5,135","4,378","2,699","1,532","1,102",728.28,329.17,175.81
Other Revenue,"9,446","7,676","6,229","4,638","1,878","1,635","1,288",801.32,412.18,247.4
Revenue,"14,232","12,739","11,364","9,016","4,576","3,167","2,390","1,530",741.35,423.2
Revenue Growth (YoY),24.14%,12.10%,26.04%,97.02%,44.52%,32.52%,56.22%,106.33%,75.17%,-
Cost of Revenue,"3,754","3,389","2,983","2,670","1,714",769.95,426.96,323.04,224.11,133.19
Gross Profit,"10,478","9,350","8,381","6,347","2,863","2,397","1,963","1,207",517.24,290.02
"Selling, General & Admin","3,516","3,236","2,887","2,633","1,826",898.38,646.4,443.03,266.62,155.63
Other Operating Expenses,57.48,166.05,-10.03,89.43,72.73,43.82,-,29.86,134.15,53.88
Operating Expenses,"3,902","3,635","3,128","2,935","2,012","1,063",646.4,533.73,400.77,209.51
Operating Income,"6,576","5,715","5,253","3,411",850.86,"1,334","1,316",672.83,116.47,80.51
Interest Expense,"-1,703","-1,056",-695.44,-933.69,-500.48,-339.84,-353.45,-295.27,-237.09,-244.68
Earnings From Equity Investments,-1.2,0.4,-4.18,-3.59,-10.44,-6.94,-0.81,-0.45,-0.31,0.06
Currency Exchange Gain (Loss),-26.16,19.81,13.58,3.96,4.37,-,-,-5.8,-,-
Other Non Operating Income (Expenses),"-1,962","-2,139","-2,627","-2,012",-525.66,140.69,128.68,49.58,25.27,16.72
EBT Excluding Unusual Items,"2,884","2,540","1,940",465.77,-181.34,"1,128","1,091",420.9,-95.67,-147.39
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-1.83
Impairment of Goodwill,"-3,558","-3,558",-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-,-,30.57,-853.06,"-1,264",-,-,21.44,-,-
Pretax Income,-673.76,"-1,018","1,971",-387.29,"-1,446","1,128","1,091",442.34,-95.67,-149.22
Income Tax Expense,471.87,489.42,370.4,139.11,-68.21,290.22,286.46,137.11,9.3,-27.03
Earnings From Continuing Operations,"-1,146","-1,507","1,600",-526.4,"-1,377",837.45,804.2,305.23,-104.97,-122.19
Minority Interest in Earnings,-17.12,-8.17,-8.36,6.98,18.54,16.63,-0.96,-4,-3.76,2.36
Net Income,"-1,104","-1,515","1,592",-519.42,"-1,359",854.07,803.23,301.23,-108.73,-119.83
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-0.13,-2.05,-2.94
Net Income to Common,"-1,104","-1,515","1,592",-519.42,"-1,359",854.07,803.23,301.36,-106.69,-116.89
Net Income Growth,-,-,-,-,-,6.33%,166.65%,-,-,-
Shares Outstanding (Basic),277,302,313,312,309,289,277,233,216,191
Shares Outstanding (Diluted),277,302,319,312,309,294,282,234,216,191
Shares Change (YoY),-10.22%,-5.50%,2.37%,0.96%,5.16%,4.10%,20.44%,8.68%,12.73%,-
EPS (Basic),-3.99,-5.02,5.09,-1.67,-4.40,2.95,2.90,1.30,-0.49,-0.61
EPS (Diluted),-4.00,-5.02,4.74,-1.67,-4.40,2.91,2.85,1.29,-0.49,-0.61
EPS Growth,-,-,-,-,-,2.10%,120.93%,-,-,-
Free Cash Flow,"-1,308","-4,610",812.86,878.55,"2,524",-315.65,"-2,985","-2,556","-1,425",-525.03
Free Cash Flow Per Share,-4.73,-15.28,2.55,2.82,8.17,-1.07,-10.58,-10.91,-6.61,-2.75
Gross Margin,73.63%,73.40%,73.75%,70.39%,62.55%,75.69%,82.13%,78.88%,69.77%,68.53%
Operating Margin,46.21%,44.86%,46.22%,37.84%,18.59%,42.12%,55.08%,43.99%,15.71%,19.02%
Profit Margin,-7.76%,-11.89%,14.01%,-5.76%,-29.69%,26.97%,33.61%,19.70%,-14.39%,-27.62%
Free Cash Flow Margin,-9.19%,-36.19%,7.15%,9.74%,55.15%,-9.97%,-124.93%,-167.13%,-192.21%,-124.06%
EBITDA,"7,312","6,409","5,870","4,212","1,358","1,590","1,480",765.16,173.67,123.46
EBITDA Margin,51.38%,50.31%,51.66%,46.71%,29.68%,50.21%,61.92%,50.02%,23.43%,29.17%
D&A For EBITDA,735.61,693.25,617.54,800.33,507.37,256.29,163.4,92.33,57.21,42.96
EBIT,"6,576","5,715","5,253","3,411",850.86,"1,334","1,316",672.83,116.47,80.51
EBIT Margin,46.21%,44.86%,46.22%,37.84%,18.59%,42.12%,55.08%,43.99%,15.71%,19.02%
Effective Tax Rate,-,-,18.79%,-,-,25.74%,26.27%,31.00%,-,-
Revenue as Reported,"14,932","13,257","12,055","9,589","4,824","3,320","2,576","1,579",766.62,439.92
