Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,754","2,450","3,474","3,682","3,112","3,494","2,422","1,743","3,892","2,733","4,674"
Market Cap Growth,10.49%,-29.46%,-5.66%,18.33%,-10.94%,44.27%,38.95%,-55.22%,42.42%,-41.54%,-1.26%
Enterprise Value,"2,442","2,420","3,528","3,887","3,317","3,704","2,644","1,799","3,669","2,400","2,307"
Last Close Price,100.36,88.52,124.62,130.53,110.89,125.23,86.39,60.14,124.86,80.16,66.17
PE Ratio,9.03,8.94,7.15,29.69,75.89,-,34.59,10.63,22.11,36.44,2.05
Forward PE,11.19,10.51,14.44,19.93,38.40,30.22,18.38,11.18,18.43,17.03,39.14
PS Ratio,0.73,0.63,0.88,0.98,1.12,1.37,0.82,0.58,1.24,0.86,1.44
PB Ratio,1.85,1.87,3.09,4.76,5.05,6.85,4.07,2.99,5.11,3.77,3.90
P/TBV Ratio,2.19,2.28,3.66,6.39,7.86,13.86,7.08,5.19,7.71,5.98,5.06
P/FCF Ratio,7.55,8.45,24.46,42.81,-,54.59,59.06,22.63,33.55,66.65,30.96
P/OCF Ratio,5.58,5.74,13.01,22.05,53.65,20.80,13.23,8.54,18.10,23.56,13.83
PEG Ratio,-,-,0.51,0.28,0.45,0.94,2.17,1.23,1.23,1.14,2.61
EV/Sales Ratio,0.65,0.63,0.89,1.03,1.20,1.45,0.90,0.60,1.17,0.76,0.71
EV/EBITDA Ratio,5.43,5.68,9.00,12.83,16.84,23.00,12.96,5.90,10.19,7.41,8.71
EV/EBIT Ratio,6.98,7.23,12.12,19.43,34.19,56.12,23.39,8.14,13.24,9.83,12.47
EV/FCF Ratio,6.67,8.35,24.84,45.20,-,57.87,64.48,23.36,31.63,58.53,15.28
Debt / Equity Ratio,0.28,0.33,0.40,0.62,0.81,1.03,0.93,0.70,0.52,0.53,0.32
Debt / EBITDA Ratio,0.91,0.92,1.03,1.41,2.12,2.65,2.30,1.33,1.09,1.18,1.45
Debt / FCF Ratio,1.21,1.47,3.13,5.55,-,8.23,13.51,5.26,3.39,9.32,2.54
Asset Turnover,1.22,1.38,1.53,1.60,1.23,1.12,1.38,1.38,1.35,0.90,0.65
Inventory Turnover,10.14,11.48,10.73,11.11,11.48,13.31,14.85,13.80,15.62,16.01,14.25
Quick Ratio,1.52,1.40,1.38,1.29,1.32,1.37,1.41,1.49,1.68,1.63,1.36
Current Ratio,1.89,1.74,1.74,1.65,1.67,1.63,1.69,1.80,2.00,1.88,1.46
Return on Equity (ROE),22.57%,23.35%,53.24%,18.70%,8.88%,-8.69%,13.93%,25.76%,23.57%,13.63%,2.78%
Return on Assets (ROA),7.12%,7.49%,7.03%,5.34%,2.69%,1.82%,3.30%,6.41%,7.40%,4.32%,2.31%
Return on Capital (ROIC),11.80%,12.67%,12.90%,10.57%,5.64%,3.77%,6.61%,12.90%,15.32%,11.34%,5.75%
Return on Capital Employed (ROCE),15.10%,17.20%,16.20%,14.10%,7.00%,4.60%,7.70%,17.20%,18.40%,16.70%,9.70%
Earnings Yield,11.19%,11.18%,13.99%,3.37%,1.32%,-1.60%,2.89%,9.41%,4.52%,2.74%,48.86%
FCF Yield,13.25%,11.83%,4.09%,2.34%,-0.39%,1.83%,1.69%,4.42%,2.98%,1.50%,3.23%
Buyback Yield / Dilution,1.07%,2.10%,-,-0.35%,-1.79%,1.06%,5.05%,7.76%,9.04%,18.43%,5.24%
