Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,726","1,125",598,"1,531","2,258","2,662","2,756","3,151","7,217","7,177","4,936"
Market Cap Growth,148.40%,88.08%,-60.95%,-32.17%,-15.18%,-3.43%,-12.52%,-56.34%,0.55%,45.39%,15.21%
Enterprise Value,"10,393","11,374","10,798","12,255","12,580","12,935","13,532","6,782","11,353","11,374","9,674"
Last Close Price,16.51,5.21,2.82,7.35,11.04,13.40,14.19,16.39,37.83,37.20,25.89
PE Ratio,4.78,-,-,-,-,-,-,22.47,37.24,32.21,-
Forward PE,8.20,13.67,5.21,3.60,8.75,7.45,7.52,8.08,15.96,13.07,12.24
PS Ratio,0.68,0.27,0.13,0.27,0.34,0.32,0.33,0.69,1.58,1.46,1.30
PB Ratio,-,-0.50,-0.32,-3.44,2.51,1.91,1.50,1.79,4.38,5.15,4.04
P/FCF Ratio,13.83,4.54,2.53,17.27,-,8.45,5.60,7.65,13.94,12.55,18.24
P/OCF Ratio,11.59,4.12,2.01,8.06,18.46,6.10,4.62,6.38,12.31,11.21,15.09
PEG Ratio,0.60,-,-,0.16,0.66,108.40,3.09,0.73,2.10,1.05,2.06
EV/Sales Ratio,1.96,2.70,2.37,2.12,1.87,1.53,1.62,1.48,2.49,2.31,2.54
EV/EBITDA Ratio,8.69,15.60,13.80,12.81,11.21,11.85,14.32,7.81,12.69,10.78,12.34
EV/EBIT Ratio,11.73,31.72,48.75,47.08,37.46,48.26,77.86,13.28,21.97,17.33,20.14
EV/FCF Ratio,38.83,45.90,45.64,138.17,-,41.06,27.49,16.47,21.94,19.89,35.75
Debt / Equity Ratio,-6.94,-4.21,-5.07,-21.69,10.80,6.97,5.48,2.27,2.65,3.27,4.29
Debt / EBITDA Ratio,6.10,12.49,11.62,9.75,7.98,8.13,9.75,4.59,4.88,4.32,6.69
Debt / FCF Ratio,27.63,37.88,39.94,108.97,-,30.90,20.46,9.68,8.44,7.98,19.38
Asset Turnover,0.63,0.47,0.43,0.46,0.50,0.60,0.79,0.67,0.64,0.67,0.61
Inventory Turnover,3.80,3.21,2.55,2.71,3.41,5.51,7.90,6.39,6.22,6.33,5.89
Quick Ratio,1.41,1.02,0.77,0.74,0.87,1.03,1.13,1.84,1.87,1.61,2.04
Current Ratio,2.25,2.83,2.01,1.77,1.64,1.72,1.72,2.72,2.69,2.32,2.93
Return on Equity (ROE),-,-,-,-630.28%,-30.48%,-35.47%,-51.74%,8.24%,12.74%,17.03%,-5.60%
Return on Assets (ROA),6.61%,2.48%,1.32%,1.30%,1.56%,1.20%,1.03%,4.67%,4.55%,5.60%,4.83%
Return on Capital (ROIC),8.11%,3.04%,1.65%,1.64%,1.93%,1.45%,1.23%,5.43%,5.39%,6.60%,5.75%
Return on Capital Employed (ROCE),13.20%,4.80%,2.80%,2.70%,3.00%,2.30%,1.40%,8.60%,8.20%,10.40%,7.00%
Earnings Yield,23.31%,-28.05%,-251.97%,-84.04%,-20.49%,-21.54%,-33.72%,4.45%,2.69%,3.10%,-1.44%
FCF Yield,7.23%,22.03%,39.56%,5.79%,-0.40%,11.83%,17.86%,13.07%,7.17%,7.97%,5.48%
Buyback Yield / Dilution,-21.55%,-1.66%,-1.69%,-1.87%,-3.45%,-1.60%,0.82%,0.76%,-0.17%,-3.47%,0.82%
