Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,705.3,564.9,500.3,373,360.3,521.9,598.2,458.2,453.98,428.23,562.88
Cash & Short-Term Investments,705.3,564.9,500.3,373,360.3,521.9,598.2,458.2,453.98,428.23,562.88
Cash Growth,79.88%,12.91%,34.13%,3.52%,-30.96%,-12.75%,30.55%,0.93%,6.01%,-23.92%,-22.82%
Accounts Receivable,"1,031",677.3,576,"1,147","1,436","1,487","1,699",810.4,898.83,952.37,833.04
Other Receivables,11.6,8.6,5.9,31.3,96.4,-,-,-,-,-,-
Receivables,"1,043",685.9,581.9,"1,178","1,533","1,487","1,699",810.4,898.83,952.37,833.04
Inventory,798.4,736.8,900.8,"1,376","1,436","1,089",975.9,473.3,444.94,473.27,441.82
Prepaid Expenses,255.4,139.4,126.3,167.2,245.3,244.6,234,133.4,137.06,139.61,165.85
Other Current Assets,1.8,"1,358",716.7,631.7,5.7,11.7,4.9,2.5,9.05,0.29,1.05
Total Current Assets,"2,803","3,485","2,826","3,726","3,580","3,355","3,512","1,878","1,944","1,994","2,005"
"Property, Plant & Equipment",458.7,471.5,585.4,742.9,818.8,843.8,928.7,450.9,467.29,474.99,528.71
Long-Term Investments,-,-,-,8.6,-,-,-,-,-,-,-
Goodwill,"2,924","2,867","2,898","4,072","5,232","5,287","5,472","2,852","2,887","2,768","2,691"
Other Intangible Assets,"1,062","1,216","1,460","1,915","3,027","3,650","4,264","1,352","1,636","1,799","2,147"
Long-Term Deferred Tax Assets,486.9,537.7,611.6,494.6,427.1,288.1,103.1,42.8,45.94,46.88,38.86
Other Long-Term Assets,204.3,170.3,952.3,725.7,174.9,153.5,152.7,54.7,61.87,58.99,92.31
Total Assets,"7,939","8,748","9,333","11,685","13,260","13,577","14,432","6,631","7,042","7,142","7,503"
Accounts Payable,592.5,370.7,330.7,684.3,"1,161","1,011","1,148",399.2,436.74,415.92,300.83
Accrued Expenses,293.6,285.2,259.9,404,423,398.1,376.3,145.7,212.46,293.14,267.07
Current Portion of Long-Term Debt,-,-,32,32,33.5,32,32,-,-,12.5,12.52
Current Portion of Leases,30.7,33.7,35.3,44.4,46.7,62.4,61.7,-,-,-,-
Current Income Taxes Payable,-,-,-,-,-,-,15.8,7.7,16.95,49.98,38.42
Current Unearned Revenue,112,95.5,84.4,88.9,94.6,90,82.6,7.6,12.61,25.86,23.81
Other Current Liabilities,215,444.6,663.2,853.9,424,360.1,325.6,130.4,44.96,60.42,42.44
Total Current Liabilities,"1,244","1,230","1,406","2,108","2,183","1,953","2,042",690.6,723.72,857.82,685.09
Long-Term Debt,"7,255","9,241","9,255","9,470","9,489","9,519","9,817","3,986","4,369","4,550","5,231"
Long-Term Leases,110,111.7,128.2,119.4,140.8,119.1,160.4,-,-,-,-
Long-Term Unearned Revenue,89.5,84.2,70.6,57.1,61.1,53.2,39.6,-,-,-,-
Pension & Post-Retirement Benefits,-,22.7,25,23.8,33.8,47.1,35.2,13.3,25.14,31.67,37.1
Long-Term Deferred Tax Liabilities,90.3,99.4,94.8,115.5,208.2,206.2,215.1,83.3,134.24,199.12,202.49
Other Long-Term Liabilities,216.6,187.8,216.4,238.2,244.8,282.5,286.3,100.6,141.34,109.78,124.1
Total Liabilities,"9,005","10,976","11,195","12,131","12,360","12,180","12,595","4,874","5,394","5,748","6,280"
Common Stock,2.4,2.3,2.3,2.2,2.2,2.1,2,2,1.97,1.95,1.92
Additional Paid-In Capital,"2,490","2,514","2,550","2,543","2,541","2,513","2,445","2,385","2,334","2,282","2,216"
Retained Earnings,"-4,400","-5,325","-5,009","-3,502","-2,215","-1,753","-1,179",-249.8,-396,-589.56,-812.39
Treasury Stock,-314.8,-303.6,-301.7,-292.6,-277.8,-251.4,-234.5,-221.3,-205.62,-15.21,-11.33
Comprehensive Income & Other,-122.2,-344.5,-266.7,-296.3,-206.4,-155.9,-197,-159.2,-86.6,-285.11,-171.68
Total Common Equity,"-2,345","-3,456","-3,025","-1,546",-156.6,355,836.3,"1,757","1,648","1,394","1,223"
Shareholders' Equity,"-1,066","-2,229","-1,863",-445.7,899.5,"1,397","1,836","1,757","1,648","1,394","1,223"
Total Liabilities & Equity,"7,939","8,748","9,333","11,685","13,260","13,577","14,432","6,631","7,042","7,142","7,503"
Total Debt,"7,396","9,386","9,450","9,665","9,710","9,732","10,071","3,986","4,369","4,562","5,244"
Net Cash (Debt),"-6,690","-8,821","-8,950","-9,292","-9,350","-9,210","-9,473","-3,528","-3,915","-4,134","-4,681"
Net Cash Per Share,-25.78,-41.14,-42.44,-44.80,-45.92,-46.80,-48.90,-18.06,-19.90,-21.04,-24.65
Filing Date Shares Outstanding,221.55,216.56,212.27,208.46,204.62,200.83,194.64,192.38,190.97,193.95,191.49
Total Common Shares Outstanding,221.53,215.89,212.11,208.37,204.57,200.1,194.56,192.38,190.91,193.84,191.37
Working Capital,"1,560","2,255","1,421","1,619","1,397","1,401","1,470","1,187","1,220","1,136","1,320"
Book Value Per Share,-10.58,-16.01,-14.26,-7.42,-0.77,1.77,4.30,9.13,8.63,7.19,6.39
Tangible Book Value,"-6,331","-7,540","-7,382","-7,534","-8,416","-8,582","-8,899","-2,448","-2,875","-3,173","-3,615"
Tangible Book Value Per Share,-28.58,-34.92,-34.80,-36.15,-41.14,-42.89,-45.74,-12.72,-15.06,-16.37,-18.89
Land,-,21.1,28.2,52.2,54.1,60.5,57.4,49.3,54,53.18,55.75
Buildings,-,213.1,261.1,339.5,334.4,339.8,333.3,212.2,217.4,208.52,219.95
Machinery,-,796.2,832.3,"1,007",968,916.7,849.9,597,556.81,480.65,463.96
Construction In Progress,-,22,25.1,51.9,87.2,73.2,37,30.1,29.47,36.37,32.85
Order Backlog,-,977.1,860.1,-,-,-,-,-,-,-,-
