Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,103","5,066","5,054","5,437","4,932","4,193","3,916","3,204","3,642","3,743","2,569"
Market Cap Growth,-1.30%,0.23%,-7.04%,10.25%,17.61%,7.09%,22.22%,-12.04%,-2.69%,45.73%,-0.71%
Last Close Price,36.43,36.41,34.92,36.06,31.07,26.71,30.24,23.47,25.26,32.44,25.10
PE Ratio,11.93,13.61,13.83,14.36,-,14.55,15.09,12.52,24.23,25.49,18.65
PS Ratio,4.53,5.02,4.94,5.27,-,4.47,5.54,4.61,5.59,7.95,5.90
PB Ratio,0.94,1.01,1.06,1.20,1.05,0.98,1.16,0.99,1.12,1.67,1.50
P/FCF Ratio,10.61,11.69,11.93,7.31,8.30,34.53,27.79,11.11,15.20,22.90,15.14
P/OCF Ratio,10.28,11.37,11.61,7.15,8.09,29.86,25.77,10.90,14.35,21.92,14.69
Debt / Equity Ratio,0.15,0.16,0.44,0.54,0.22,0.25,0.68,0.57,0.57,0.62,0.84
Debt / FCF Ratio,1.66,1.85,4.91,3.27,1.75,9.00,16.16,6.43,7.69,8.47,8.50
Return on Equity (ROE),8.26%,7.64%,7.89%,8.22%,-,7.54%,7.86%,7.90%,5.50%,7.45%,8.19%
Return on Assets (ROA),1.36%,1.24%,1.23%,1.29%,-,1.26%,1.34%,1.34%,0.90%,1.09%,1.11%
Earnings Yield,8.41%,7.36%,7.25%,6.98%,-,6.89%,6.64%,8.00%,4.13%,3.93%,5.37%
FCF Yield,9.43%,8.55%,8.38%,13.68%,12.05%,2.90%,3.60%,9.00%,6.58%,4.37%,6.60%
Dividend Yield,4.06%,4.06%,4.15%,3.99%,4.54%,5.24%,4.53%,5.79%,5.27%,4.07%,5.14%
Payout Ratio,48.47%,53.82%,53.16%,50.85%,-,56.30%,53.42%,55.53%,80.59%,65.51%,64.41%
Buyback Yield / Dilution,-4.05%,-0.35%,0.27%,-4.33%,-7.85%,-17.91%,2.34%,-6.55%,-32.48%,-6.13%,-2.92%
Total Shareholder Return,0.02%,3.72%,4.42%,-0.33%,-3.31%,-12.66%,6.88%,-0.75%,-27.21%,-2.06%,2.22%
