Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"2,519","2,292","1,599","1,177","3,758","2,209",837.49,"1,020","1,666","1,435",857.34
Investment Securities,"1,666","1,784","2,522","3,021","2,461","1,556","1,210",944.24,796.66,507.13,410.66
Trading Asset Securities,1.06,1.26,1.85,5.55,10.94,44.29,4.53,6.5,5.1,2.29,2.94
Mortgage-Backed Securities,"1,688","1,472","1,600","1,849","1,828","1,626","1,455","1,595","1,275",896.51,793.52
Total Investments,"3,355","3,257","4,124","4,876","4,300","3,226","2,670","2,545","2,077","1,406","1,207"
Gross Loans,"24,531","21,680","21,373","20,580","18,051","17,623","13,714","13,430","13,027","10,357","9,399"
Allowance for Loan Losses,-300.05,-271.84,-259.24,-234.75,-216.02,-235.83,-77.06,-76.7,-76.63,-72.77,-75.73
Other Adjustments to Gross Loans,-11.45,-7.01,-14.1,-22,-27.66,-31.17,-1.42,-7.31,-15.92,-15.58,-14.87
Net Loans,"24,220","21,402","21,100","20,323","17,808","17,356","13,635","13,346","12,935","10,268","9,308"
"Property, Plant & Equipment",297.64,267.87,277.51,270.31,279.16,245.34,154.43,95.25,104.89,75.91,73.09
Goodwill,"2,019","1,889","1,889","1,889","1,886","1,797","1,478","1,478","1,478",863.77,710.25
Other Intangible Assets,-,8.87,12.51,18.9,24.41,26.92,29.93,36.95,44.99,22.95,17.84
Loans Held for Sale,24.23,44.36,56.26,56.88,504.42,718.94,387.51,249.85,265.96,8.45,10.68
Accrued Interest Receivable,112.08,102.41,111.42,94.89,64.51,66.83,58.09,60.6,52.82,39.4,35.8
Long-Term Deferred Tax Assets,-,141.56,145,164.05,57.31,55.54,36.94,56.9,63.64,78.87,70.64
Other Real Estate Owned & Foreclosed,6.89,0.33,2.62,2.05,14.82,22.6,15.52,16.87,24.35,31.51,32.23
Other Long-Term Assets,853.86,618.2,609.42,617.41,631.69,460.71,358.98,344.89,346.24,279.21,254.6
Total Assets,"33,407","30,024","29,926","29,489","29,329","26,184","19,662","19,250","19,059","14,509","12,578"
Accrued Expenses,216.34,230.25,212.46,189.17,191.9,189.28,167.25,149.3,145.12,91.05,80.45
Interest Bearing Deposits,"16,951","15,417","14,409","13,939","14,253","11,252","7,631","7,995","7,742","6,344","5,538"
Institutional Deposits,"3,345","2,410","2,261","1,165","1,601","1,928","1,600","1,583","1,793","1,281","1,104"
Non-Interest Bearing Deposits,"6,588","6,135","6,149","7,200","7,497","7,405","4,621","4,417","4,295","3,172","2,700"
Total Deposits,"26,884","23,962","22,819","22,303","23,350","20,585","13,852","13,995","13,831","10,797","9,342"
Short-Term Borrowings,169.01,176.11,196.77,161.26,132.57,155.36,377.72,354.33,478.06,212.16,427.15
Current Portion of Long-Term Debt,250,260.2,-,-,-,-,-,-,-,-,-
Current Portion of Leases,4.67,17.12,-,-,-,-,17.73,-,-,-,-
Long-Term Debt,-,-,-,9.89,9.87,-,-,-,50,50,50.86
"Federal Home Loan Bank Debt, Long-Term",-,-,"1,510","1,911",532.2,584.53,"1,602","1,264","1,072",897.71,740.88
Long-Term Leases,91.23,69.66,92.89,75.75,86.7,73.21,43.62,-,-,-,-
Trust Preferred Securities,281.42,280.22,278.62,276.99,275.32,279.84,236.16,234.91,242.45,224.32,223.51
Other Long-Term Liabilities,65.28,34.91,44.71,46.19,31.44,19.25,1.73,1.39,0.68,1.04,0.94
Total Liabilities,"27,961","25,030","25,155","24,973","24,610","21,887","16,298","15,999","15,818","12,273","10,865"
Common Stock,377.08,356.74,355.64,355.03,353.4,334.52,263.74,263.1,262.68,202.67,174.07
Additional Paid-In Capital,"3,465","3,196","3,182","3,169","3,150","2,894","2,140","2,134","2,129","1,206",753
Retained Earnings,"2,095","1,918","1,746","1,575","1,391","1,205","1,133","1,013",891.82,872.99,824.6
Treasury Stock,-333.44,-253.49,-252.11,-250.4,-170.62,-159.14,-137.79,-101.95,-1.01,-0.98,-0.82
Comprehensive Income & Other,-157.82,-223.9,-259.68,-332.73,-4.89,22.37,-34.87,-57.02,-42.03,-44.72,-38.21
Shareholders' Equity,"5,446","4,993","4,771","4,516","4,719","4,298","3,364","3,252","3,241","2,236","1,713"
Total Liabilities & Equity,"33,407","30,024","29,926","29,489","29,329","26,184","19,662","19,250","19,059","14,509","12,578"
Total Debt,796.33,803.3,"2,079","2,435","1,037","1,093","2,277","1,853","1,842","1,384","1,442"
Net Cash (Debt),"1,723","1,490",-477.97,"-1,252","2,732","1,160","-1,435",-826.53,-170.78,52.64,-582.12
Net Cash Growth,56.69%,-,-,-,135.47%,-,-,-,-,-,-
Net Cash Per Share,12.26,11.02,-3.55,-9.27,21.10,9.66,-14.09,-7.92,-1.74,0.71,-8.36
Filing Date Shares Outstanding,140.09,142.9,134.62,134.37,136.14,128.63,101.32,101.91,104.87,80.88,69.5
Total Common Shares Outstanding,140.84,135.04,134.62,134.37,136.01,128.85,101.31,102.12,105.04,81.04,69.6
Book Value Per Share,38.67,36.98,35.44,33.61,34.69,33.35,33.20,31.84,30.85,27.59,24.61
Tangible Book Value,"3,427","3,095","2,870","2,608","2,808","2,474","1,856","1,737","1,717","1,349",984.54
Tangible Book Value Per Share,24.33,22.92,21.32,19.41,20.64,19.20,18.32,17.01,16.35,16.65,14.15
