Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Revenue,-,-,11.58,35.38,29.39,42.98,50.04,20.17,-
Revenue Growth (YoY),-,-,-67.27%,20.38%,-31.62%,-14.10%,148.16%,-,-
Cost of Revenue,880.49,592.23,411.24,253.07,186.95,132.25,91.76,51.08,26.59
Gross Profit,-880.49,-592.23,-399.66,-217.69,-157.56,-89.27,-41.71,-30.92,-26.59
"Selling, General & Admin",156.57,97.3,62.02,40.59,30.45,21.43,12.41,9.01,4.54
Operating Expenses,156.57,97.3,62.02,40.59,30.45,21.43,12.41,9.01,4.54
Operating Income,"-1,037",-689.52,-461.69,-258.28,-188.01,-110.7,-54.12,-39.93,-31.13
Interest Expense,-12.3,-,-0.3,-,-0.01,-0.07,-0.11,-0.12,-0.1
Interest & Investment Income,90.63,86.88,47.48,9.15,0.93,2.24,2.19,0.78,0.11
Other Non Operating Income (Expenses),-3.01,1.8,0.12,-,-,-,-,-2.12,-
EBT Excluding Unusual Items,-961.73,-600.85,-414.39,-249.13,-187.09,-108.53,-52.04,-41.39,-31.13
Merger & Restructuring Charges,-,-,-25.5,-,-,-,-,-0.4,-
Pretax Income,-961.73,-600.85,-439.89,-249.13,-187.09,-108.53,-52.04,-41.79,-31.13
Income Tax Expense,-0.75,-0.75,-3.52,-0.42,-,-0.37,-4.37,-,-
Net Income,-960.98,-600.09,-436.37,-248.71,-187.09,-108.16,-47.66,-41.79,-31.13
Preferred Dividends & Other Adjustments,-,-,-,-,-,2.22,14.24,7.03,3.76
Net Income to Common,-960.98,-600.09,-436.37,-248.71,-187.09,-110.38,-61.9,-48.82,-34.89
Shares Outstanding (Basic),185,168,113,81,73,55,3,2,2
Shares Outstanding (Diluted),185,168,113,81,73,55,3,2,2
Shares Change (YoY),15.98%,48.24%,40.34%,10.74%,32.68%,1879.16%,20.61%,33.39%,-
EPS (Basic),-5.19,-3.58,-3.86,-3.08,-2.57,-2.01,-22.33,-21.24,-20.25
EPS (Diluted),-5.19,-3.58,-3.86,-3.08,-2.57,-2.01,-22.33,-21.24,-20.25
Free Cash Flow,-777.08,-567.74,-358.3,-235.22,-153.71,-103,-52.21,-0.29,-26.72
Free Cash Flow Per Share,-4.20,-3.38,-3.17,-2.92,-2.11,-1.88,-18.83,-0.12,-15.51
Gross Margin,-,-,-,-,-,-207.68%,-83.36%,-153.33%,-
Operating Margin,-,-,-3986.92%,-730.01%,-639.70%,-257.54%,-108.15%,-198.01%,-
Profit Margin,-,-,-3768.28%,-702.95%,-636.58%,-256.80%,-123.70%,-242.10%,-
Free Cash Flow Margin,-,-,-3094.14%,-664.83%,-522.99%,-239.62%,-104.32%,-1.42%,-
EBITDA,"-1,030",-683,-456.68,-254.34,-184.96,-108.12,-51.88,-38.37,-29.94
EBITDA Margin,-,-,-,-,-,-251.54%,-103.67%,-190.25%,-
D&A For EBITDA,7.22,6.53,5.01,3.94,3.05,2.58,2.24,1.56,1.19
EBIT,"-1,037",-689.52,-461.69,-258.28,-188.01,-110.7,-54.12,-39.93,-31.13
EBIT Margin,-,-,-,-,-,-257.54%,-108.15%,-198.01%,-
Revenue as Reported,-,-,11.58,35.38,29.39,42.98,50.04,20.17,-
