Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,393.19,507.8,451.95,544.34,485.39,501.65,368.67,268.49,245.95,238.16,249.14
Short-Term Investments,12.98,55.4,76.22,23.98,25.92,30.29,35.37,25.64,13.66,30.74,23.28
Trading Asset Securities,-,-,-,0.74,1.14,1.24,1.11,1.16,1.21,6.79,11.01
Cash & Short-Term Investments,406.17,563.2,528.17,569.06,512.46,533.18,405.15,295.29,260.82,275.69,283.43
Cash Growth,-14.11%,6.63%,-7.18%,11.04%,-3.89%,31.60%,37.21%,13.21%,-5.39%,-2.73%,118.61%
Accounts Receivable,883.21,803.24,721.01,702.73,696.32,519.89,486.01,441.47,385.78,308.34,257.63
Other Receivables,-,41.89,43.99,22.35,23.25,36.67,28.32,14.95,18.3,20.64,22.58
Receivables,883.21,845.12,765,725.07,719.57,556.55,514.32,456.42,404.07,328.98,280.21
Inventory,48.1,30.73,42.01,35.18,21.22,23.99,8.64,3.88,3.3,3.95,4.81
Prepaid Expenses,109.61,48,40.68,42.19,48.87,47.16,37.39,25.16,26.6,22.63,18.93
Other Current Assets,-,-,-,-,-,-,-,0.35,0.01,2.41,1.61
Total Current Assets,"1,447","1,487","1,376","1,371","1,302","1,161",965.5,781.1,694.8,633.66,588.98
"Property, Plant & Equipment",226.17,207.44,173.04,171.65,172.5,173.59,147.19,29.18,29.81,26.13,22
Long-Term Investments,101.02,65.11,45.23,35.47,29.62,28.31,26.02,25.71,25.32,41.29,30.88
Goodwill,-,975.08,936.58,926.16,932.85,872.42,724.19,640.92,617.27,495.36,441.02
Other Intangible Assets,"1,383",217.66,207.47,222.89,242.15,222.26,165.28,150.31,163.98,128.45,104.66
Long-Term Accounts Receivable,-,7.92,7.83,5.38,2.96,-,-,-,-,-,-
Long-Term Deferred Tax Assets,39.57,33.85,46.86,42.03,46.36,39.75,38.87,14.21,15.88,15.23,16.35
Other Long-Term Assets,-,20.8,19.74,18.88,20,22.87,22.21,23.12,16.58,14.41,11.51
Total Assets,"3,197","3,015","2,813","2,794","2,749","2,520","2,089","1,665","1,564","1,355","1,215"
Accounts Payable,287.71,296.21,258.65,222.48,205.84,153.32,125.16,118.79,95.34,80.11,68.05
Accrued Expenses,239.6,332.89,282.51,287.57,287.96,259.22,205.21,168.69,164.85,131.98,115.52
Short-Term Debt,-,88,64.68,70,86.38,43.72,60.01,4.17,25.98,43.33,21.32
Current Portion of Long-Term Debt,251.8,140.57,154.18,156.17,137.77,118.18,96.65,122.84,49.66,44.7,37.97
Current Portion of Leases,49.65,45.24,44.06,45.5,41.66,32.07,35.67,-,-,-,-
Current Unearned Revenue,205.18,173.96,137.64,131.64,140.66,128.9,93.51,59.51,58.91,37.65,39.69
Other Current Liabilities,159.32,61.61,43.94,87.63,47.33,44.5,55.18,51.54,38.21,21.26,8.24
Total Current Liabilities,"1,193","1,138",985.66,"1,001",947.6,779.9,671.39,525.53,432.95,359.04,290.79
Long-Term Debt,249.88,250.82,322.43,421.51,362.26,383.39,337.47,254.43,269.36,170.97,160.76
Long-Term Leases,132.55,119.59,84.64,78.97,84.84,91.19,73.69,-,-,0.11,0.49
Long-Term Unearned Revenue,16.67,12.52,4.87,8.86,17.76,16.63,6.49,4.91,9.34,4.7,4.4
Pension & Post-Retirement Benefits,12.8,10.24,10.43,9.12,12.64,15.12,11.64,8.88,9.03,6.17,3.39
Long-Term Deferred Tax Liabilities,51.42,42.89,59.21,59.47,78.14,68.37,53.85,34.82,36.61,31.03,22.67
Other Long-Term Liabilities,77.57,51.01,37.18,38.13,65.55,56.95,38.39,30.58,33.44,18.25,13.54
Total Liabilities,"1,734","1,626","1,504","1,617","1,569","1,412","1,193",859.15,790.72,590.27,496.04
Common Stock,722.92,4.35,4.35,4.35,4.34,4.34,4.34,4.19,4.19,4.18,4.18
Additional Paid-In Capital,-,152.65,157.48,145.37,153.05,149.25,120.74,98.01,98.04,100.57,98.95
Retained Earnings,-,536.01,475.22,419.45,358.32,324.36,285.15,262.56,239.16,234.27,230.26
Treasury Stock,-,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26
Comprehensive Income & Other,-,-13.42,-11.03,-17.03,25.52,25.51,11.68,3.13,18.08,-2.38,-3.23
Total Common Equity,722.92,679.34,625.76,551.88,540.96,503.2,421.64,367.63,359.2,336.39,329.9
Minority Interest,739.61,710.01,682.42,625.05,638.83,605.34,474.69,437.77,413.72,427.87,389.46
Shareholders' Equity,"1,463","1,389","1,308","1,177","1,180","1,109",896.33,805.4,772.92,764.25,719.36
Total Liabilities & Equity,"3,197","3,015","2,813","2,794","2,749","2,520","2,089","1,665","1,564","1,355","1,215"
Total Debt,683.87,644.21,669.99,772.14,712.91,668.54,603.49,381.43,345,259.11,220.55
Net Cash (Debt),-277.71,-81.01,-141.82,-203.09,-200.45,-135.36,-198.34,-86.15,-84.18,33.81,93.76
Net Cash Growth,-,-,-,-,-,-,-,-,-,-63.94%,744.23%
Net Cash Per Share,-17.68,-5.18,-9.15,-13.10,-13.01,-8.85,-12.93,-5.53,-5.71,2.18,6.39
Filing Date Shares Outstanding,15.31,15.33,15.33,15.33,15.32,15.29,15.29,15.29,14.74,14.73,14.73
Total Common Shares Outstanding,15.31,15.33,15.33,15.32,15.29,15.29,15.29,14.75,14.74,14.73,14.73
Working Capital,253.84,348.57,390.19,370.51,354.52,380.97,294.11,255.57,261.85,274.62,298.19
Book Value Per Share,47.22,44.31,40.81,36.03,35.37,32.90,27.57,24.92,24.37,22.84,22.40
Tangible Book Value,-659.9,-513.4,-518.29,-597.17,-634.05,-591.49,-467.83,-423.59,-422.05,-287.42,-215.78
Tangible Book Value Per Share,-43.11,-33.48,-33.80,-38.99,-41.46,-38.67,-30.59,-28.72,-28.64,-19.51,-14.65
Buildings,-,-,-,-,-,0.98,0.98,1.83,1.83,1.83,1.85
Machinery,-,148.24,142.62,147.47,153.64,149.21,115.98,87.75,82.55,61.63,52.96
