Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"2,889","2,758","2,621","2,572","2,404","1,934","1,701","1,493","1,355","1,109",973.19
Revenue Growth (YoY),8.58%,5.21%,1.89%,6.99%,24.33%,13.69%,13.94%,10.17%,22.24%,13.92%,52.92%
Cost of Revenue,"2,169","2,073","1,977","1,950","1,841","1,486","1,315","1,160","1,058",849.84,741.27
Gross Profit,720.23,684.68,643.71,622.47,563.86,447.43,386.05,333.31,296.82,258.78,231.92
"Selling, General & Admin",355.62,335.15,326.38,317.96,289.99,224.19,200.87,182.47,182.82,147.95,140.94
Research & Development,88.64,84.38,77.97,72.13,65.86,52.6,46.69,41.22,39.85,22.33,15.12
Operating Expenses,444.26,419.53,404.34,390.09,355.84,276.79,247.56,223.7,222.67,170.28,156.06
Operating Income,275.96,265.15,239.37,232.38,208.02,170.64,138.49,109.62,74.15,88.5,75.87
Interest Expense,-34.26,-27.92,-29.66,-18.43,-18.07,-18.78,-16.2,-12.37,-10.53,-8.02,-7.38
Interest & Investment Income,15.92,15.92,13.8,5.82,5.99,2.56,3.83,7.51,8.81,5.89,5.01
Earnings From Equity Investments,3.15,2.08,0.77,-1.81,0.51,1.54,1.79,0.37,1.12,0.35,0.01
Other Non Operating Income (Expenses),-9.79,-9.79,-11.7,-7.7,-8.39,-6.93,-5.18,-2.37,-18.57,-8.75,-7.28
EBT Excluding Unusual Items,250.99,245.44,212.58,210.26,188.06,149.03,122.72,102.75,54.98,77.97,66.22
Merger & Restructuring Charges,-0.36,-0.36,-0.78,-1.08,-3.54,-3.74,-1.06,-1.11,-2.11,-0.82,-0.3
Gain (Loss) on Sale of Investments,5.37,5.37,-,44.26,-,-,-0.04,0.05,-0.06,0.12,0.41
Other Unusual Items,-,-,-,1.47,-,-,-,-,-,-,-
Pretax Income,256,250.46,211.81,254.9,184.52,145.29,121.62,101.7,52.81,77.26,66.34
Income Tax Expense,59.44,56.67,46.08,55.24,42.61,31.27,27.2,24.3,13.37,21.16,15.98
Earnings From Continuing Operations,196.57,193.79,165.73,199.67,141.9,114.02,94.42,77.4,39.44,56.1,50.35
Minority Interest in Earnings,-118.52,-114.12,-101.72,-118.27,-87.32,-67.25,-55.6,-45.03,-29.09,-33.66,-30.53
Net Income,78.04,79.67,64.01,81.39,54.59,46.78,38.82,32.37,10.35,22.45,19.83
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-0.01,-0.01
Net Income to Common,78.04,79.67,64.01,81.39,54.59,46.78,38.82,32.37,10.35,22.46,19.84
Net Income Growth,15.95%,24.46%,-21.35%,49.11%,16.69%,20.50%,19.94%,212.65%,-53.88%,13.19%,-75.47%
Shares Outstanding (Basic),15,15,15,15,15,15,15,15,14,14,14
Shares Outstanding (Diluted),16,16,15,16,15,15,15,16,15,16,15
Shares Change (YoY),0.95%,0.90%,-0.03%,0.64%,0.73%,-0.32%,-1.48%,5.70%,-5.11%,5.86%,1.79%
EPS (Basic),5.10,5.21,4.18,5.32,3.57,3.06,2.56,2.20,0.72,1.58,1.41
EPS (Diluted),4.97,5.09,4.12,5.21,3.50,3.01,2.44,2.14,0.68,1.49,1.33
EPS Growth,15.06%,23.39%,-20.91%,48.73%,16.56%,23.12%,13.92%,213.09%,-54.20%,12.26%,-76.18%
Free Cash Flow,-,308.01,278.29,217.07,191.74,271.49,173.7,70.97,71.52,65.82,80.35
Free Cash Flow Per Share,-,19.70,17.96,14.00,12.45,17.75,11.32,4.56,4.86,4.24,5.48
Dividend Per Share,1.908,1.570,1.260,0.620,1.560,1.180,0.980,0.340,0.680,0.820,0.680
Dividend Growth,50.12%,24.60%,103.23%,-60.26%,32.20%,20.41%,188.23%,-50.00%,-17.07%,20.59%,-33.01%
Gross Margin,24.93%,24.83%,24.56%,24.20%,23.45%,23.14%,22.69%,22.32%,21.90%,23.34%,23.83%
Operating Margin,9.55%,9.62%,9.13%,9.03%,8.65%,8.82%,8.14%,7.34%,5.47%,7.98%,7.80%
Profit Margin,2.70%,2.89%,2.44%,3.16%,2.27%,2.42%,2.28%,2.17%,0.76%,2.02%,2.04%
Free Cash Flow Margin,-,11.17%,10.62%,8.44%,7.98%,14.04%,10.21%,4.75%,5.28%,5.94%,8.26%
EBITDA,320.4,310.72,287.19,347.69,287.1,231.74,191.89,158.35,117.8,120.87,106.3
EBITDA Margin,11.09%,11.27%,10.96%,13.52%,11.94%,11.98%,11.28%,10.61%,8.69%,10.90%,10.92%
D&A For EBITDA,44.44,45.56,47.82,115.31,79.08,61.1,53.4,48.73,43.65,32.37,30.44
EBIT,275.96,265.15,239.37,232.38,208.02,170.64,138.49,109.62,74.15,88.5,75.87
EBIT Margin,9.55%,9.62%,9.13%,9.03%,8.65%,8.82%,8.14%,7.34%,5.47%,7.98%,7.80%
Effective Tax Rate,23.22%,22.63%,21.75%,21.67%,23.09%,21.52%,22.36%,23.90%,25.32%,27.39%,24.09%
Revenue as Reported,"2,758","2,758","2,621","2,572","2,404","1,934","1,701","1,493","1,355","1,109",973.19
Advertising Expenses,-,16.06,16.96,19.41,-,-,-,-,-,-,-
