Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,336","1,288","1,024","1,110","1,868","1,320","1,041",547,621,600,399
Market Cap Growth,95.73%,25.80%,-7.79%,-40.54%,41.46%,26.88%,90.34%,-12.03%,3.56%,50.32%,22.43%
Enterprise Value,"3,381","2,173","1,944","1,981","2,760","2,085","1,735","1,095","1,182",948,698
Last Close Price,158.50,87.88,63.76,68.75,118.93,81.15,64.20,33.33,37.44,36.45,23.56
PE Ratio,29.94,16.17,16.00,13.64,34.21,28.22,26.80,16.89,60.03,26.72,20.12
PS Ratio,0.81,0.47,0.39,0.43,0.78,0.68,0.61,0.37,0.46,0.54,0.41
PB Ratio,1.60,0.93,0.78,0.94,1.58,1.19,1.16,0.68,0.80,0.79,0.56
P/FCF Ratio,-,4.18,3.68,5.12,9.74,4.86,5.99,7.70,8.69,9.12,4.97
P/OCF Ratio,-,3.97,3.47,4.64,8.93,4.58,5.31,6.62,7.66,8.01,4.58
EV/Sales Ratio,1.17,0.79,0.74,0.77,1.15,1.08,1.02,0.73,0.87,0.86,0.72
EV/EBITDA Ratio,10.55,6.99,6.77,5.70,9.61,8.99,9.04,6.91,10.03,7.84,6.56
EV/EBIT Ratio,12.25,8.20,8.12,8.53,13.27,12.22,12.53,9.99,15.94,10.71,9.20
EV/FCF Ratio,-,7.06,6.99,9.13,14.40,7.68,9.99,15.42,16.52,14.41,8.68
Debt / Equity Ratio,0.47,0.46,0.51,0.66,0.60,0.60,0.67,0.47,0.45,0.34,0.31
Debt / EBITDA Ratio,1.85,1.79,1.97,2.22,2.16,2.51,2.68,2.41,2.93,2.14,2.07
Debt / FCF Ratio,-,2.09,2.41,3.56,3.72,2.46,3.47,5.38,4.82,3.94,2.75
Asset Turnover,0.98,0.95,0.94,0.93,0.91,0.84,0.91,0.93,0.93,0.86,0.83
Inventory Turnover,55.42,57.00,51.23,69.14,81.42,91.13,210.11,322.99,291.87,194.03,209.81
Quick Ratio,1.08,1.24,1.31,1.29,1.30,1.40,1.37,1.43,1.54,1.68,1.94
Current Ratio,1.21,1.31,1.40,1.37,1.37,1.49,1.44,1.49,1.61,1.77,2.03
Return on Equity (ROE),14.09%,14.37%,13.34%,16.95%,12.40%,11.37%,11.10%,9.81%,5.13%,7.56%,7.26%
Return on Assets (ROA),5.85%,5.69%,5.34%,5.24%,4.93%,4.63%,4.61%,4.25%,3.18%,4.30%,4.05%
Return on Capital (ROIC),8.48%,8.26%,7.62%,7.56%,7.08%,6.51%,6.44%,5.95%,4.33%,5.63%,5.39%
Return on Capital Employed (ROCE),13.80%,14.10%,13.10%,13.00%,11.60%,9.80%,9.80%,9.60%,6.60%,8.90%,8.20%
Earnings Yield,3.34%,6.19%,6.25%,7.33%,2.92%,3.54%,3.73%,5.92%,1.67%,3.74%,4.97%
FCF Yield,-,23.91%,27.18%,19.55%,10.27%,20.57%,16.69%,12.98%,11.51%,10.97%,20.13%
Dividend Yield,0.89%,1.79%,1.98%,0.90%,1.31%,1.45%,1.53%,1.02%,1.82%,2.25%,2.89%
Payout Ratio,27.88%,23.61%,15.51%,26.76%,40.45%,31.94%,33.40%,15.49%,116.70%,44.62%,65.01%
Buyback Yield / Dilution,-0.95%,-0.90%,0.03%,-0.64%,-0.73%,0.32%,1.48%,-5.70%,5.11%,-5.86%,-1.79%
Total Shareholder Return,-0.07%,0.89%,2.01%,0.26%,0.58%,1.77%,3.01%,-4.68%,6.93%,-3.61%,1.10%
