Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,354","4,143","3,595","5,410","9,291","9,008","8,138","8,678","15,144","21,539","11,778"
Market Cap Growth,-62.76%,15.25%,-33.54%,-41.77%,3.14%,10.69%,-6.22%,-42.70%,-29.69%,82.87%,14.06%
Enterprise Value,"6,731","9,262","9,005","11,289","14,543","14,681","14,716","16,880","25,863","33,684","14,256"
Last Close Price,3.30,9.61,8.08,11.70,18.57,17.39,14.90,13.62,21.80,30.85,29.96
PE Ratio,-,-,-,27.46,14.94,-,76.05,-,5.51,40.81,33.65
Forward PE,5.46,13.85,11.95,10.25,12.37,12.63,12.53,8.72,10.89,15.95,18.84
PS Ratio,0.19,0.55,0.44,0.57,0.88,0.96,0.84,0.86,1.36,2.35,1.99
PB Ratio,0.51,1.51,1.16,1.54,2.23,2.31,1.63,1.65,1.07,1.89,6.45
P/FCF Ratio,-,17.48,5.57,-,15.62,7.68,10.45,29.32,27.04,15.40,30.87
P/OCF Ratio,5.38,8.35,3.87,-,10.51,6.29,7.80,12.76,15.67,11.70,19.87
PEG Ratio,-,-,-,-,2.60,3.25,1.78,10.34,1.53,1.36,1.93
EV/Sales Ratio,0.93,1.22,1.11,1.19,1.37,1.56,1.52,1.66,2.32,3.67,2.41
EV/EBITDA Ratio,8.56,10.91,11.47,10.03,10.06,12.01,11.61,13.41,19.92,37.50,14.42
EV/EBIT Ratio,14.11,17.61,19.97,13.60,12.97,16.97,17.90,19.03,28.79,51.56,17.41
EV/FCF Ratio,-,39.08,13.94,-,24.44,12.52,18.89,57.03,46.18,24.08,37.37
Debt / Equity Ratio,2.08,1.89,1.80,1.73,1.34,1.62,1.28,1.34,0.74,1.05,1.68
Debt / EBITDA Ratio,5.84,5.03,5.70,4.63,3.39,4.42,4.26,5.57,8.13,13.24,3.10
Debt / FCF Ratio,-,21.89,8.66,-,9.33,5.38,8.21,23.70,18.84,8.50,8.04
Asset Turnover,0.63,0.66,0.64,0.69,0.73,0.62,0.58,0.40,0.33,0.45,0.86
Inventory Turnover,3.07,3.41,3.05,3.08,3.87,3.88,3.85,3.88,3.90,4.17,5.05
Quick Ratio,0.45,0.44,0.53,0.50,0.59,0.73,0.74,0.81,0.48,0.78,0.77
Current Ratio,1.14,1.14,1.16,1.32,1.31,1.28,1.38,1.80,2.19,1.74,1.25
Return on Equity (ROE),-0.86%,-7.37%,-11.70%,5.13%,15.44%,-17.22%,3.63%,-68.26%,19.04%,-0.58%,14.09%
Return on Assets (ROA),2.59%,2.84%,2.22%,3.77%,4.84%,3.56%,3.08%,2.18%,1.68%,1.99%,7.40%
Return on Capital (ROIC),3.56%,3.95%,3.08%,5.37%,7.03%,5.00%,4.34%,3.00%,2.34%,2.90%,11.07%
Return on Capital Employed (ROCE),5.50%,6.10%,4.90%,8.20%,10.20%,7.80%,6.50%,6.20%,3.20%,2.20%,15.50%
Earnings Yield,-1.76%,-5.21%,-10.79%,3.64%,6.69%,-8.50%,1.31%,-80.00%,18.15%,2.45%,2.97%
FCF Yield,-1.47%,5.72%,17.97%,-10.79%,6.40%,13.02%,9.57%,3.41%,3.70%,6.49%,3.24%
Dividend Yield,8.67%,2.91%,5.45%,7.87%,4.96%,5.29%,6.17%,6.76%,4.04%,2.46%,2.54%
Payout Ratio,-,-,-,195.43%,63.34%,-,365.42%,-,15.59%,62.26%,58.94%
Buyback Yield / Dilution,-0.59%,-0.34%,0.79%,2.48%,-0.92%,-0.05%,10.51%,2.93%,-15.83%,-55.17%,2.65%
Total Shareholder Return,8.01%,2.58%,6.24%,10.34%,4.04%,5.24%,16.69%,9.69%,-11.79%,-52.71%,5.19%
