Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Mar '99Mar 31, 1999","Mar '98Mar 31, 1998","Mar '97Mar 31, 1997"
Revenue,"1,150","1,100","1,049","1,004",931.48,818.16,778.33,746.15,54.53,46.95,37.67
Revenue Growth (YoY),2.67%,4.88%,4.54%,7.75%,13.85%,5.12%,4.31%,1268.35%,16.13%,24.65%,-
Cost of Revenue,506.4,498.15,472.13,446.68,412.81,374.59,381.8,388.9,27.53,24.23,20.43
Gross Profit,643.98,602.3,577.16,557,518.67,443.57,396.53,357.25,27,22.72,17.24
"Selling, General & Admin",203.38,204.75,186.37,166.18,149.36,136.6,132.06,125.54,12.84,11.35,8.83
Research & Development,-,-,-,-,-,-,-,-,1.28,1.23,1.38
Amortization of Goodwill & Intangibles,43.1,62.04,63.8,62.94,63.78,59.03,58.56,57.98,-,-,-
Operating Expenses,246.48,266.79,250.16,229.12,213.14,195.63,190.62,183.52,14.12,12.58,10.21
Operating Income,397.5,335.51,326.99,327.89,305.53,247.94,205.91,173.74,12.88,10.15,7.03
Interest Expense,-161.63,-164.69,-142.88,-80.14,-74.19,-215.26,-157.73,-143.33,-2.02,-2.32,-2.18
Interest & Investment Income,-,-,-,-,-,-,-,-,1.86,0.84,0.34
Currency Exchange Gain (Loss),-1.82,-0.2,-0.16,-0.15,-1.35,5.23,-3.86,-13.08,-,-,-
Other Non Operating Income (Expenses),1.9,0.12,2.38,-0.46,3.56,4.16,3.04,-0.26,0.09,0.05,0.12
EBT Excluding Unusual Items,235.94,170.74,186.34,247.14,233.55,42.07,47.36,17.08,12.82,8.71,5.31
Merger & Restructuring Charges,-,-,-,-,-,-,-6.89,-3.7,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,-9.61,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,95.91,-,-,-
Asset Writedown,-,-,-,-,-,-,-,-85.07,-,-,-
Legal Settlements,-112.8,-32.69,-80.31,-480.64,-45.66,-36.67,-11.22,-,-,-,-
Other Unusual Items,-1.18,-24.17,-,-,-15.58,-44.26,-30.17,-,-,-,-
Pretax Income,121.97,113.87,106.03,-243.11,175.72,-38.86,-0.92,24.22,12.82,8.71,5.31
Income Tax Expense,66.55,69.48,54.65,-9.54,58.6,-1.37,19.51,30.1,5.05,3.41,2.1
Earnings From Continuing Operations,55.43,44.4,51.38,-233.57,117.12,-37.49,-20.43,-5.88,7.77,5.31,3.21
Minority Interest in Earnings,-,-,-,-,-0.24,-1.13,-0.43,0.01,-,-,-
Net Income,55.43,44.4,51.38,-233.57,116.88,-38.62,-20.85,-5.87,7.77,5.31,3.21
Preferred Dividends & Other Adjustments,0.01,0.06,0.29,-,1.52,-,-,-,-,-,-
Net Income to Common,55.42,44.34,51.09,-233.57,115.36,-38.62,-20.85,-5.87,7.77,5.31,3.21
Net Income Growth,-21.67%,-13.58%,-,-,-,-,-,-,46.37%,65.07%,-
Shares Outstanding (Basic),284,283,281,280,279,238,232,232,"606,071","478,820","376,541"
Shares Outstanding (Diluted),286,285,283,280,279,238,232,232,"647,106","519,913","400,091"
Shares Change (YoY),0.56%,0.60%,1.12%,0.26%,17.54%,2.28%,-,-99.96%,24.46%,29.95%,-
EPS (Basic),0.20,0.16,0.18,-0.83,0.41,-0.16,-0.09,-0.03,0.00,0.00,0.00
EPS (Diluted),0.20,0.16,0.18,-0.83,0.41,-0.16,-0.09,-0.03,0.00,0.00,0.00
EPS Growth,-21.74%,-12.89%,-,-,-,-,-,-,20.00%,25.00%,-
Free Cash Flow,86.62,45.09,-362.71,95.58,179.38,67.08,91.78,46.95,-4.42,5.97,-6.43
Free Cash Flow Per Share,0.30,0.16,-1.28,0.34,0.64,0.28,0.40,0.20,-,-,-
Gross Margin,55.98%,54.73%,55.01%,55.50%,55.68%,54.22%,50.95%,47.88%,49.52%,48.39%,45.78%
Operating Margin,34.55%,30.49%,31.16%,32.67%,32.80%,30.30%,26.46%,23.28%,23.62%,21.61%,18.68%
Profit Margin,4.82%,4.03%,4.87%,-23.27%,12.38%,-4.72%,-2.68%,-0.79%,14.24%,11.30%,8.53%
Free Cash Flow Margin,7.53%,4.10%,-34.57%,9.52%,19.26%,8.20%,11.79%,6.29%,-8.11%,12.72%,-17.07%
EBITDA,544.45,501.78,487.33,475.63,458.68,393.5,354.68,321.88,23.17,19.9,15.31
EBITDA Margin,47.33%,45.60%,46.44%,47.39%,49.24%,48.10%,45.57%,43.14%,42.49%,42.38%,40.63%
D&A For EBITDA,146.95,166.28,160.34,147.75,153.15,145.56,148.77,148.15,10.29,9.75,8.27
EBIT,397.5,335.51,326.99,327.89,305.53,247.94,205.91,173.74,12.88,10.15,7.03
EBIT Margin,34.55%,30.49%,31.16%,32.67%,32.80%,30.30%,26.46%,23.28%,23.62%,21.61%,18.68%
Effective Tax Rate,54.56%,61.01%,51.54%,-,33.35%,-,-,124.26%,39.40%,39.11%,39.50%
Revenue as Reported,"1,150","1,100","1,049","1,004",931.48,818.16,778.33,746.15,-,-,-
