Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Mar '99Mar 31, 1999","Mar '98Mar 31, 1998","Mar '97Mar 31, 1997"
Cash & Equivalents,299.19,277.24,296.41,395.21,106.92,102.45,62.86,96.27,21.75,11.69,-
Short-Term Investments,0.22,0.81,0.72,0.66,0.62,0.67,5.06,4.8,2.62,19.26,-
Trading Asset Securities,-,-,-,-,-,-,0.24,-,-,-,-
Cash & Short-Term Investments,299.41,278.05,297.12,395.87,107.54,103.12,68.17,101.07,24.38,30.95,-
Cash Growth,-2.60%,-6.42%,-24.95%,268.12%,4.29%,51.28%,-32.56%,314.65%,-21.24%,-,-
Accounts Receivable,179.67,155.54,165.48,138.26,123.75,104.41,97.15,104.77,6.95,6.17,-
Other Receivables,15.5,10.27,10.04,17.46,10.3,26.61,14.43,36.85,-,-,-
Receivables,195.17,165.81,175.52,155.72,134.05,131.02,111.58,141.61,6.95,6.17,-
Inventory,54.97,53.18,51.99,40.8,57.66,36.81,39.66,39.54,-,-,-
Prepaid Expenses,13.04,13.85,12.88,37.88,36.84,34.86,23.52,19.44,1.05,1.16,-
Restricted Cash,1.83,1.62,5.25,1.08,0.01,0.01,0.16,0.51,1.01,0.97,-
Other Current Assets,13.39,13.53,14.5,13.65,9.86,9.2,9.26,10.68,-,-,-
Total Current Assets,577.82,526.04,557.24,645.01,345.96,315.02,252.35,312.86,34.43,40.92,-
"Property, Plant & Equipment","1,128","1,057",964.36,796.75,686.58,651.86,577.64,582.55,94.33,81.7,-
Long-Term Investments,-,0.46,10.25,-,11.06,13.46,-,0.34,-,-,-
Goodwill,"1,099","1,081","1,111","1,102","1,120","1,116","1,036","1,023",-,-,-
Other Intangible Assets,290.86,317.65,416.32,491.27,598.84,643.37,696.01,766.05,-,-,-
Long-Term Deferred Tax Assets,3.22,2.87,4.99,4.1,5.89,8.42,2.25,15.76,-,-,-
Other Long-Term Assets,86.89,86.49,66.06,78.81,20.85,13.21,16.56,7.71,7.32,8.05,-
Total Assets,"3,186","3,072","3,130","3,118","2,790","2,761","2,581","2,709",136.08,130.67,-
Accounts Payable,61.39,55.1,71.04,74.14,72.87,52.4,42,46.36,0.84,1.04,-
Accrued Expenses,102.53,86.37,85.29,74.85,58.6,57.1,52.31,49.3,4.12,5.04,-
Current Portion of Long-Term Debt,13.96,14.8,4.8,197.12,-,-,16.33,15.34,0.93,0.5,-
Current Portion of Leases,8.94,7.98,14.71,9.28,10.45,10.56,1.29,1.35,0.18,2.87,-
Current Income Taxes Payable,4.32,7.56,4.15,5.87,6.7,10.45,-,2.65,0.1,1.68,-
Current Unearned Revenue,14.06,15.1,13.49,12.14,8.67,6.06,3.63,4.62,-,-,-
Other Current Liabilities,37.21,4.1,37.18,418.18,3.88,4.04,8.43,23.75,-,-,-
Total Current Liabilities,242.4,191,230.65,791.57,161.16,140.6,123.99,143.37,6.17,11.13,-
Long-Term Debt,"2,131","2,208","2,224","1,747","1,744","1,825","2,801","2,190",35.07,36,-
Long-Term Leases,125.48,119.75,83.88,78.53,73.89,73.88,29.88,31.54,0.41,3.27,-
Long-Term Unearned Revenue,16.93,16.78,18.76,18.9,20.75,21.26,21.38,20.96,-,-,-
Pension & Post-Retirement Benefits,8.12,7.86,8.44,7.91,11.46,48.22,31.27,19.41,-,-,-
Long-Term Deferred Tax Liabilities,54.32,69.5,64.45,68.02,134.5,121.82,137.24,171.48,13.41,10.59,-
Other Long-Term Liabilities,57.31,53.74,56.82,55.42,58.11,62.52,63.56,73.15,-,-,-
Total Liabilities,"2,636","2,667","2,687","2,767","2,203","2,293","3,208","2,649",55.05,60.98,-
Common Stock,2.86,2.86,2.86,2.86,2.86,2.86,2.32,-,0.01,0.01,-
Additional Paid-In Capital,"1,259","1,244","1,215","1,190","1,173","1,166",-,164.73,51.61,48.09,-
Retained Earnings,-566.94,-610.04,-654.44,-705.82,-472.25,-589.13,-550.51,-10.42,29.41,21.64,-
Treasury Stock,-18.66,-23.43,-27.18,-29.78,-33.55,-34,-,-,-,-,-
