Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,780","2,181","1,998","2,368","5,558","3,991","1,888","1,518",822,587,355
Market Cap Growth,83.23%,9.17%,-15.63%,-57.40%,39.26%,111.42%,24.36%,84.61%,40.12%,65.48%,-24.01%
Enterprise Value,"3,429","1,921","1,778","2,175","5,334","3,792","1,811","1,450",774,532,289
Last Close Price,87.08,48.32,44.94,53.75,126.98,92.22,46.72,37.79,20.90,15.10,9.12
PE Ratio,46.80,355.83,37.27,93.04,98.15,222.83,133.90,47.85,4923.31,-,71.97
Forward PE,59.62,64.00,39.42,57.49,58.79,111.99,64.89,109.92,109.92,109.92,109.92
PS Ratio,8.88,6.07,4.93,5.93,15.47,13.46,7.18,5.21,3.61,2.93,1.61
PB Ratio,6.17,3.82,3.69,5.10,13.11,11.37,9.17,8.24,6.03,4.48,2.61
P/TBV Ratio,6.01,3.83,3.70,5.10,13.13,11.39,9.21,8.29,6.07,4.51,2.64
P/FCF Ratio,32.22,80.06,48.63,-,831.62,655.42,194.09,84.52,-,-,149.17
P/OCF Ratio,28.25,42.90,26.80,103.21,102.08,114.87,84.99,41.96,-,1078.60,30.92
PEG Ratio,2.04,2.56,1.58,1.10,2.94,3.20,1.73,-,-,-,-
EV/Sales Ratio,7.77,5.35,4.39,5.45,14.84,12.79,6.89,4.98,3.40,2.66,1.31
EV/EBITDA Ratio,33.39,50.81,25.92,45.81,79.25,133.41,74.99,34.76,102.69,250.44,32.56
EV/EBIT Ratio,41.58,100.14,34.63,64.53,95.94,218.33,131.06,44.67,-,-,-
EV/FCF Ratio,29.20,70.52,43.29,-,798.19,622.76,186.24,80.74,-,-,121.55
Debt / Equity Ratio,0.01,0.01,0.02,0.02,0.01,0.01,0.02,-,-,-,-
Debt / EBITDA Ratio,0.07,0.18,0.12,0.17,0.07,0.15,0.17,-,-,-,-
Debt / FCF Ratio,0.06,0.27,0.20,-,0.72,0.76,0.45,-,-,-,-
Asset Turnover,0.66,0.58,0.72,0.79,0.82,0.93,1.14,1.51,1.43,1.29,1.41
Inventory Turnover,1.93,1.65,1.92,2.59,2.91,3.10,2.90,3.63,3.97,4.31,4.85
Quick Ratio,5.88,5.44,6.98,3.97,5.76,6.24,4.10,3.17,2.81,3.66,4.32
Current Ratio,7.55,7.49,9.52,5.62,7.27,7.82,5.98,4.59,4.24,5.03,5.61
Return on Equity (ROE),13.89%,1.10%,10.66%,5.73%,14.61%,6.44%,7.24%,19.87%,0.19%,-4.69%,3.87%
Return on Assets (ROA),7.68%,1.94%,5.67%,4.15%,7.96%,3.41%,3.74%,10.49%,-0.53%,-2.53%,-0.11%
Return on Capital (ROIC),8.59%,2.13%,6.28%,4.67%,8.86%,3.84%,4.38%,12.66%,-0.64%,-2.96%,-0.13%
Return on Capital Employed (ROCE),12.90%,3.30%,9.30%,7.10%,13.00%,4.90%,6.60%,17.50%,-1.00%,-4.80%,-0.20%
Earnings Yield,2.17%,0.28%,2.68%,1.07%,1.02%,0.45%,0.75%,2.09%,0.02%,-1.06%,1.39%
FCF Yield,3.10%,1.25%,2.06%,-1.73%,0.12%,0.15%,0.52%,1.18%,-1.82%,-1.34%,0.67%
Buyback Yield / Dilution,-1.22%,-0.36%,-0.24%,0.16%,-2.50%,-5.26%,-2.33%,-1.99%,-2.81%,0.78%,-1.50%
