Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,441.6,359.06,405.06,399.08,359.36,296.58,262.98,291.22,227.83,200.28,220.19
Revenue Growth (YoY),24.20%,-11.36%,1.50%,11.05%,21.17%,12.78%,-9.70%,27.82%,13.76%,-9.04%,-2.45%
Cost of Revenue,191.24,175.06,200.13,218.52,181.16,165.13,140.01,152.25,126.17,109.07,120.68
Gross Profit,250.37,184,204.93,180.56,178.2,131.45,122.97,138.97,101.66,91.21,99.52
"Selling, General & Admin",92.89,95.89,85.71,86.26,69.48,63.16,62.56,62.22,58.09,55.68,58.31
Research & Development,75.01,68.92,67.86,60.59,53.11,50.92,46.59,44.29,44.92,41.85,41.47
Operating Expenses,167.9,164.82,153.57,146.86,122.6,114.08,109.15,106.51,103.02,97.52,99.79
Operating Income,82.47,19.18,51.36,33.7,55.6,17.37,13.82,32.46,-1.36,-6.31,-0.27
Interest & Investment Income,11.62,11.47,8.22,1.31,0.93,0.1,0.3,0.26,0.12,0.07,0.05
Currency Exchange Gain (Loss),-0.16,-0.62,-0.16,-0.65,-0.34,0.18,-0.11,-0.26,0.32,-0.27,-0.16
Other Non Operating Income (Expenses),0.28,0.95,0.83,0.82,0.61,0.81,0.83,0.81,0.79,0.48,0.04
EBT Excluding Unusual Items,94.22,30.98,60.24,35.18,56.8,18.46,14.85,33.27,-0.12,-6.04,-0.34
Merger & Restructuring Charges,-,-,-,-,-,-,-,-0.4,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,0,0,0,0,0.01,0.01,0.01,5.01
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,0.04,0.06,0.01,-0,0.09
Legal Settlements,-7.12,-20.49,-,-6.5,-,-,-,-,-,-,-
Pretax Income,87.1,10.49,60.24,28.69,56.81,18.46,14.89,32.93,-0.1,-6.03,4.76
Income Tax Expense,4.79,4.35,6.64,3.26,0.18,0.54,0.78,1.09,-0.36,0.23,-0.4
Earnings From Continuing Operations,82.31,6.14,53.6,25.43,56.63,17.92,14.11,31.85,0.26,-6.26,5.16
Minority Interest in Earnings,-0.04,-0.01,-0.01,0.02,-0,-0.01,-0.01,-0.12,-0.09,0.01,-0.23
Net Income,82.27,6.13,53.6,25.45,56.63,17.91,14.1,31.73,0.17,-6.25,4.93
Net Income to Common,82.27,6.13,53.6,25.45,56.63,17.91,14.1,31.73,0.17,-6.25,4.93
Net Income Growth,1707.71%,-88.56%,110.62%,-55.06%,216.16%,27.04%,-55.56%,18897.01%,-,-,-
Shares Outstanding (Basic),45,45,44,44,44,42,40,40,39,39,39
Shares Outstanding (Diluted),45,45,45,45,45,44,42,41,40,39,39
Shares Change (YoY),1.22%,0.36%,0.24%,-0.16%,2.50%,5.26%,2.33%,1.99%,2.81%,-0.78%,1.50%
EPS (Basic),1.83,0.14,1.21,0.58,1.30,0.42,0.35,0.80,0.00,-0.16,0.13
EPS (Diluted),1.81,0.14,1.19,0.57,1.26,0.41,0.34,0.78,0.00,-0.16,0.13
EPS Growth,1696.11%,-88.53%,108.77%,-54.76%,207.32%,20.59%,-56.41%,18551.36%,-,-,-
Free Cash Flow,117.45,27.24,41.08,-41.03,6.68,6.09,9.73,17.96,-15.01,-7.88,2.38
Free Cash Flow Per Share,2.59,0.60,0.91,-0.91,0.15,0.14,0.23,0.44,-0.38,-0.20,0.06
Gross Margin,56.69%,51.24%,50.59%,45.24%,49.59%,44.32%,46.76%,47.72%,44.62%,45.54%,45.20%
Operating Margin,18.68%,5.34%,12.68%,8.45%,15.47%,5.86%,5.26%,11.15%,-0.60%,-3.15%,-0.12%
Profit Margin,18.63%,1.71%,13.23%,6.38%,15.76%,6.04%,5.36%,10.89%,0.07%,-3.12%,2.24%
Free Cash Flow Margin,26.60%,7.59%,10.14%,-10.28%,1.86%,2.05%,3.70%,6.17%,-6.59%,-3.94%,1.08%
EBITDA,102.7,37.81,68.6,47.48,67.31,28.42,24.16,41.72,7.53,2.12,8.88
EBITDA Margin,23.25%,10.53%,16.93%,11.90%,18.73%,9.58%,9.19%,14.32%,3.31%,1.06%,4.03%
D&A For EBITDA,20.23,18.63,17.24,13.78,11.71,11.06,10.33,9.25,8.89,8.44,9.14
EBIT,82.47,19.18,51.36,33.7,55.6,17.37,13.82,32.46,-1.36,-6.31,-0.27
EBIT Margin,18.68%,5.34%,12.68%,8.45%,15.47%,5.86%,5.26%,11.15%,-0.60%,-3.15%,-0.12%
Effective Tax Rate,5.50%,41.46%,11.03%,11.37%,0.31%,2.92%,5.23%,3.30%,-,-,-
Revenue as Reported,441.6,359.06,405.06,399.08,-,-,-,-,-,-,-
Advertising Expenses,-,3.49,3.73,3.79,2.99,2.64,2.75,2.61,2.15,1.82,1.76
