Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,973.2,"1,022",979.7,790.2,430.2,453.4,470.9,404.3,324.7,259.2,246.02
Interest Income on Investments,245.4,280.3,300.4,231.3,76.3,71,83.1,69.1,53.1,38.2,36.41
Total Interest Income,"1,219","1,303","1,280","1,022",506.5,524.4,554,473.4,377.8,297.4,282.42
Interest Paid on Deposits,309,325.9,242.6,48.3,8.1,18.1,49.3,32.6,21.4,12.7,13.11
Interest Paid on Borrowings,76.3,155,158.7,30.6,9.2,8.5,9.7,8.3,6.6,4.9,4.95
Total Interest Expense,385.3,480.9,401.3,78.9,17.3,26.6,59,40.9,28,17.6,18.06
Net Interest Income,833.3,821.6,878.8,942.6,489.2,497.8,495,432.5,349.8,279.8,264.36
Net Interest Income Growth (YoY),2.23%,-6.51%,-6.77%,92.68%,-1.73%,0.57%,14.45%,23.64%,25.02%,5.84%,6.40%
Trust Income,40.5,38.8,35.3,34.3,26.3,23.8,23.8,23.2,21.1,20.5,19.91
Mortgage Banking Activities,6.2,6.6,8.4,15.3,33.9,57.2,33.6,29.7,28.9,37.2,29.97
Gain (Loss) on Sale of Assets,-2.2,2.9,-0.7,2,1.8,-0.3,1.5,-,-,-,0.9
Gain (Loss) on Sale of Investments,-,-,-23.5,-24.4,1.1,0.3,0.1,-0.1,0.7,0.3,0.14
Other Non-Interest Income,102.1,104.1,104.5,108,63,67.2,62.9,64.2,69.8,55.9,52.57
Total Non-Interest Income,173.8,178.1,147,159.8,142.6,165.8,143,138.8,141.8,132.3,120.52
Non-Interest Income Growth (YoY),-1.03%,21.16%,-8.01%,12.06%,-13.99%,15.94%,3.03%,-2.12%,7.18%,9.78%,8.66%
Revenues Before Loan Losses,"1,007",999.7,"1,026","1,102",631.8,663.6,638,571.3,491.6,412.1,384.88
Provision for Loan Losses,53.4,67.8,32.2,82.7,-14.6,56.9,13.9,8.6,11,10,6.82
Revenue,953.7,931.9,993.6,"1,020",646.4,606.7,624.1,562.7,480.6,402.1,378.06
Revenue Growth (YoY),0.26%,-6.21%,-2.56%,57.75%,6.54%,-2.79%,10.91%,17.08%,19.52%,6.36%,3.29%
Salaries and Employee Benefits,332.3,335.5,333.7,350,211.8,215.6,198.8,188.7,156.4,139.5,128.82
Occupancy Expenses,53.2,48.7,48,44,28.7,28.5,28.3,25.4,22.4,17.7,17.88
Federal Deposit Insurance,16.8,24,31.5,14,6.6,5.9,3.5,5.6,4.7,4.5,4.86
Amortization of Goodwill & Intangibles,13.8,14.6,15.7,15.9,9.9,10.9,11.2,7.9,8.5,6.4,5.82
"Selling, General & Administrative",113.3,111,105.8,110.2,74,69.5,69.3,60.7,54.4,42.3,39.57
Other Non-Interest Expense,104.5,99.5,120.6,110.7,63.1,57.6,59.4,55.4,50,47.6,46.64
Total Non-Interest Expense,634.5,637.4,656.8,647.1,393.9,387.5,368.3,344,296.8,258,242.1
EBT Excluding Unusual Items,319.2,294.5,336.8,372.6,252.5,219.2,255.8,218.7,183.8,144.1,135.96
Asset Writedown,-,-,-,3.4,6.9,-9.9,-0.4,-,0.1,-0.2,-0.7
Legal Settlements,-,-,-,-,-,-,-,-,-,4.2,-5
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,1
Pretax Income,319.2,294.5,336.8,257.1,247.8,209.3,235.1,206.3,156.7,145.3,130.46
Income Tax Expense,73.8,68.5,79.3,54.9,55.7,48.1,54.1,46.1,50.2,49.6,43.66
Net Income,245.4,226,257.5,202.2,192.1,161.2,181,160.2,106.5,95.7,86.8
Net Income to Common,245.4,226,257.5,202.2,192.1,161.2,181,160.2,106.5,95.7,86.8
Net Income Growth,4.25%,-12.23%,27.35%,5.26%,19.17%,-10.94%,12.98%,50.42%,11.29%,10.26%,2.84%
Basic Shares Outstanding,103,103,104,103,62,64,64,58,51,45,45
Diluted Shares Outstanding,103,103,104,103,62,64,64,58,52,45,46
Shares Change (YoY),0.14%,-0.57%,0.43%,67.38%,-3.12%,-0.24%,9.74%,12.16%,15.57%,-1.61%,0.96%
EPS (Basic),2.38,2.19,2.48,1.96,3.12,2.53,2.84,2.77,2.07,2.15,1.92
EPS (Diluted),2.37,2.19,2.48,1.96,3.11,2.53,2.83,2.75,2.05,2.13,1.90
EPS Growth,3.95%,-11.69%,26.67%,-37.05%,22.93%,-10.60%,2.91%,34.15%,-3.76%,12.11%,1.60%
Dividend Per Share,1.880,1.880,1.880,1.760,1.640,1.470,1.270,1.150,1.000,0.900,0.820
Dividend Growth,-,-,6.82%,7.32%,11.56%,15.75%,10.44%,15.00%,11.11%,9.76%,20.59%
Effective Tax Rate,23.12%,23.26%,23.54%,21.35%,22.48%,22.98%,23.01%,22.35%,32.04%,34.14%,33.47%
