Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,449",378.4,379,351.6,178.7,287.5,261.2,219.5,190.8,137.42,134.08
Investment Securities,"2,169","4,448","5,268","3,992","2,708","1,151",686.7,872.8,909.5,631.07,751.82
Trading Asset Securities,26.9,44.9,37.4,45.2,28.1,55.3,23.2,10.1,8.8,2.7,0.95
Mortgage-Backed Securities,"5,137","3,400","3,872","6,406","3,801","2,910","2,366","1,805","1,784","1,493","1,306"
Total Investments,"7,333","7,893","9,178","10,443","6,536","4,116","3,076","2,688","2,702","2,127","2,058"
Gross Loans,"15,844","17,856","18,292","18,115","9,344","9,829","8,936","8,470","7,568","5,417","5,193"
Allowance for Loan Losses,-205.8,-204.1,-227.7,-220.1,-122.3,-144.3,-73,-73,-72.1,-76.21,-76.82
Other Adjustments to Gross Loans,-9.5,-11.1,-12.5,-15.6,-12.3,-21,-5.5,-,-,-,-
Net Loans,"15,629","17,641","18,052","17,879","9,209","9,663","8,858","8,397","7,496","5,341","5,117"
"Property, Plant & Equipment",415.1,427.2,444.3,444.7,299.6,312.3,306,245.2,241.9,194.46,190.81
Goodwill,"1,101","1,101","1,101","1,101",621.6,621.6,621.6,546.7,444.7,212.82,204.52
Other Intangible Assets,56.6,66.8,81.4,97,41.3,51.2,62.1,56.9,49.1,9.65,10.59
Loans Held for Sale,305.6,0.9,47.4,79.9,30.1,74,100.9,33.3,46.6,61.79,52.88
Accrued Interest Receivable,106.6,116.8,129.1,118.3,47.4,51.1,46.7,44.9,38,29.85,27.73
Restricted Cash,-,518.2,199,518.9,"2,166","1,989",815.6,602.5,568.1,644.6,646.38
Long-Term Deferred Tax Assets,66.7,118.4,150,210.5,-,-,-,-,4,-,-
Other Real Estate Owned & Foreclosed,3.4,4.3,16.5,12.7,2,2.5,8.5,14.4,10.1,10.02,6.25
Other Long-Term Assets,760.7,694,670.9,832.5,485.7,469.8,477.7,441.1,412.2,285.48,269.86
Total Assets,"27,333","29,137","30,671","32,288","19,672","17,649","14,644","13,300","12,213","9,064","8,728"
Accounts Payable,286.6,125.9,156,192.5,72.7,67.5,64.3,37.5,27.5,42.92,42.02
Accrued Expenses,-,-,-,-,-,-,0.4,0.5,0.7,0.7,3.92
Interest Bearing Deposits,"16,198","16,393","16,482","17,076","10,515","9,391","7,586","6,975","6,603","5,008","4,778"
Institutional Deposits,851.1,825,811.6,438,186.7,193,651.1,547.6,432,461.4,487.37
Non-Interest Bearing Deposits,"5,556","5,798","6,030","7,560","5,568","4,634","3,427","3,158","2,900","1,906","1,824"
