Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,087","3,394","3,229","4,037","2,530","2,573","2,734","2,216","2,261","1,910","1,318"
Market Cap Growth,-4.14%,5.12%,-20.02%,59.58%,-1.69%,-5.90%,23.40%,-1.99%,18.35%,44.93%,3.74%
Last Close Price,29.68,30.49,27.00,31.69,31.94,30.83,29.88,25.28,26.96,27.94,18.51
PE Ratio,12.65,15.02,12.54,19.97,13.17,15.96,15.11,13.83,21.23,19.96,15.19
PS Ratio,3.21,3.64,3.25,3.96,3.91,4.24,4.38,3.94,4.71,4.75,3.49
PB Ratio,0.89,1.03,1.00,1.31,1.27,1.31,1.36,1.31,1.58,1.94,1.39
P/FCF Ratio,9.97,10.22,8.08,7.71,9.30,10.81,24.70,10.35,15.75,18.01,12.05
P/OCF Ratio,9.19,9.56,7.54,7.55,8.96,9.59,21.48,10.12,14.63,16.19,11.42
Debt / Equity Ratio,0.25,0.78,1.18,1.24,0.64,0.67,0.41,0.49,0.54,0.66,0.65
Debt / FCF Ratio,2.85,7.73,9.50,7.30,4.66,5.50,7.41,3.85,5.34,6.12,5.68
Return on Equity (ROE),7.20%,6.92%,8.17%,7.99%,9.74%,8.11%,9.76%,10.26%,8.84%,9.90%,9.34%
Return on Assets (ROA),0.86%,0.76%,0.82%,0.78%,1.03%,1.00%,1.29%,1.26%,1.00%,1.08%,1.00%
Earnings Yield,8.01%,6.66%,7.98%,5.01%,7.59%,6.26%,6.62%,7.23%,4.71%,5.01%,6.58%
FCF Yield,10.03%,9.78%,12.38%,12.98%,10.75%,9.25%,4.05%,9.66%,6.35%,5.55%,8.30%
Dividend Yield,6.27%,6.17%,6.96%,5.55%,5.13%,4.77%,4.25%,4.55%,3.71%,3.22%,4.43%
Payout Ratio,79.32%,86.68%,75.77%,90.06%,52.89%,55.84%,43.76%,40.01%,45.63%,41.17%,41.81%
Buyback Yield / Dilution,-0.14%,0.57%,-0.43%,-67.38%,3.12%,0.24%,-9.74%,-12.16%,-15.57%,1.61%,-0.96%
Total Shareholder Return,5.86%,6.73%,6.54%,-61.82%,8.25%,5.01%,-5.49%,-7.61%,-11.86%,4.83%,3.47%
