Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,905","3,129","2,789","2,792","2,384","2,262","2,294","1,189","1,502","1,452",966
Market Cap Growth,-0.33%,12.18%,-0.10%,17.12%,5.39%,-1.39%,92.90%,-20.82%,3.45%,50.29%,33.68%
Last Close Price,52.26,52.49,44.81,43.57,47.58,42.16,40.70,34.69,43.40,41.77,28.94
PE Ratio,11.05,11.87,10.36,12.56,8.78,19.71,15.42,8.83,29.89,22.66,18.05
PS Ratio,2.97,3.18,3.01,3.19,3.24,4.40,3.78,3.00,4.48,5.08,3.88
PB Ratio,1.05,1.21,1.13,1.27,1.23,1.26,1.24,1.45,2.07,2.11,1.66
P/FCF Ratio,13.41,15.22,12.10,5.92,20.02,283.36,30.32,9.14,12.27,20.65,14.68
P/OCF Ratio,12.86,14.23,11.77,5.81,18.97,149.39,25.53,8.77,11.54,18.11,13.02
Debt / Equity Ratio,0.19,0.27,0.49,0.48,0.22,0.30,0.37,0.86,1.30,1.84,1.61
Debt / FCF Ratio,2.37,3.39,5.20,2.24,3.55,67.56,8.92,5.41,7.66,18.03,14.18
Return on Equity (ROE),10.30%,10.44%,11.52%,10.76%,14.58%,6.23%,11.08%,17.44%,7.12%,10.11%,10.01%
Return on Assets (ROA),1.33%,1.27%,1.33%,1.25%,1.80%,0.85%,1.52%,1.89%,0.73%,1.04%,1.03%
Earnings Yield,9.57%,8.43%,9.65%,7.96%,11.39%,5.07%,6.49%,11.33%,3.35%,4.41%,5.54%
FCF Yield,7.46%,6.57%,8.27%,16.91%,4.99%,0.35%,3.30%,10.94%,8.15%,4.84%,6.81%
Dividend Yield,1.28%,1.14%,1.34%,1.29%,1.07%,1.14%,1.16%,1.21%,0.69%,0.60%,0.73%
Payout Ratio,13.68%,13.58%,13.65%,16.07%,8.93%,21.23%,15.10%,9.83%,18.76%,11.91%,11.21%
Buyback Yield / Dilution,4.17%,2.42%,3.83%,-33.45%,5.63%,-2.00%,-54.05%,0.42%,-3.91%,-7.40%,-3.71%
Total Shareholder Return,5.45%,3.56%,5.17%,-32.16%,6.70%,-0.87%,-52.90%,1.63%,-3.22%,-6.80%,-2.98%
