Period Ending,"Nov '25Nov 18, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Market Capitalization,"3,709","5,751","4,495","3,265","2,968","1,834",987,"1,216",954,832,772
Market Cap Growth,-27.30%,27.93%,37.67%,10.01%,61.83%,85.84%,-18.84%,27.41%,14.70%,7.82%,9.99%
Enterprise Value,"3,544","5,617","4,421","3,223","2,905","1,801",998,"1,119",901,793,745
Last Close Price,72.70,111.97,87.65,63.43,56.15,34.20,18.17,21.75,16.85,14.50,13.14
PE Ratio,35.99,60.43,58.95,49.20,44.69,39.56,20.83,26.04,26.74,28.23,27.05
Forward PE,-,22.18,22.18,22.18,22.18,22.18,22.18,22.18,22.18,22.18,22.18
PS Ratio,4.00,6.42,5.65,4.54,4.59,3.32,1.67,2.04,1.71,1.60,1.53
PB Ratio,10.28,17.86,18.15,16.15,13.97,8.32,5.20,6.24,5.58,6.00,5.85
P/TBV Ratio,11.44,23.77,26.01,25.03,20.60,11.94,8.06,9.54,9.24,11.52,11.75
P/FCF Ratio,36.82,62.81,64.22,58.34,79.35,23.78,20.36,19.19,27.69,39.60,22.33
P/OCF Ratio,25.76,45.17,45.30,39.68,44.15,19.43,12.21,15.46,15.36,15.99,15.04
EV/Sales Ratio,3.80,6.27,5.56,4.49,4.50,3.26,1.69,1.88,1.61,1.53,1.48
EV/EBITDA Ratio,21.37,37.36,36.43,29.39,26.79,21.80,11.99,13.25,12.93,11.58,11.29
EV/EBIT Ratio,26.19,46.49,46.48,38.12,34.37,30.44,16.44,18.20,18.80,16.68,16.18
EV/FCF Ratio,35.02,61.35,63.15,57.59,77.66,23.35,20.59,17.67,26.14,37.75,21.57
Debt / Equity Ratio,0.07,0.09,0.13,0.17,0.20,0.25,0.52,-,-,-,-
Debt / EBITDA Ratio,0.15,0.18,0.24,0.28,0.35,0.55,1.00,-,-,-,-
Debt / FCF Ratio,0.26,0.31,0.45,0.60,1.15,0.71,2.03,-,-,-,-
Asset Turnover,1.65,1.79,1.87,1.78,1.54,1.31,1.61,2.01,2.19,2.28,2.33
Quick Ratio,1.36,1.35,1.10,0.91,1.05,1.26,1.11,1.40,1.23,1.02,1.15
Current Ratio,1.89,1.90,1.64,1.45,1.55,1.66,1.56,1.84,1.67,1.43,1.53
Return on Equity (ROE),32.63%,33.41%,33.90%,32.02%,30.69%,22.61%,24.64%,25.52%,23.04%,21.79%,21.95%
Return on Assets (ROA),14.96%,15.09%,14.01%,13.06%,12.58%,8.79%,10.33%,12.99%,11.76%,13.04%,13.33%
Return on Capital (ROIC),24.05%,24.01%,23.08%,21.50%,19.91%,13.14%,15.72%,21.01%,19.33%,21.96%,22.16%
Return on Capital Employed (ROCE),35.50%,35.30%,35.20%,37.40%,34.70%,22.60%,21.50%,30.60%,27.20%,32.70%,32.90%
Earnings Yield,2.83%,1.65%,1.70%,2.03%,2.24%,2.53%,4.80%,3.84%,3.74%,3.54%,3.70%
FCF Yield,2.72%,1.59%,1.56%,1.71%,1.26%,4.21%,4.91%,5.21%,3.61%,2.53%,4.48%
Buyback Yield / Dilution,0.14%,0.09%,1.39%,2.95%,0.21%,2.34%,2.14%,0.18%,2.70%,2.17%,4.24%
