Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Cash & Equivalents,207.45,170.58,105.56,71.33,97.5,139.72,83.22,91.71,55.77,28.61,32.78
Cash & Short-Term Investments,207.45,170.58,105.56,71.33,97.5,139.72,83.22,91.71,55.77,28.61,32.78
Cash Growth,49.95%,61.59%,47.99%,-26.85%,-30.21%,67.88%,-9.26%,64.45%,94.93%,-12.72%,28.46%
Receivables,104.92,104.13,97.11,81.03,82.59,64.72,65.77,71.34,64.94,62.84,59.75
Prepaid Expenses,9.59,10.51,9.25,9.57,12.76,8.01,7.14,6.02,5.15,4.94,4.63
Other Current Assets,112.3,101.47,90.31,81.84,72.15,56.5,52.86,46.43,37.46,32.47,25.95
Total Current Assets,434.27,386.69,302.23,243.77,264.99,268.94,208.99,215.49,163.32,128.87,123.11
"Property, Plant & Equipment",130.35,70.12,72.78,76.8,81.48,88.04,138.71,34.43,41.68,37.32,28.13
Goodwill,36.81,36.81,36.81,36.81,36.81,36.81,36.81,36.81,36.81,36.81,36.81
Other Intangible Assets,0.35,43.19,37.99,34.94,31.48,30.01,30.4,30.53,31.09,29.57,29.43
Long-Term Deferred Tax Assets,9.41,8.7,3.55,0.22,-,0.61,-,-,-,-,-
Other Long-Term Assets,0.49,0.45,1.32,1.38,0.48,0.35,1.35,0.76,1.1,2.81,2.79
Total Assets,611.68,545.98,454.68,393.92,415.25,424.76,416.26,318.02,274,235.38,220.27
Accounts Payable,19.14,15.42,16.41,15.06,14.08,12.35,15.15,9.93,11.79,13.87,11.19
Accrued Expenses,56.69,46.84,40.9,35.68,48.01,57.11,37.47,43.27,33.72,30.9,33.71
Current Portion of Leases,7.32,8.13,8.86,9.9,13.35,12.77,13.22,-,-,-,-
Current Income Taxes Payable,3.97,1.37,0.22,0.25,0.35,-,1.22,-,-,-,2.04
Current Unearned Revenue,30.91,30.81,29.96,26.98,25.8,22.51,17.65,16.9,15.32,10.1,7.82
Other Current Liabilities,112.3,101.47,88.14,80.02,69.78,57.72,48.99,46.82,37.16,35.19,25.65
Total Current Liabilities,230.33,204.04,184.5,167.89,171.37,162.46,133.69,116.92,97.99,90.05,80.42
Long-Term Leases,18.58,19.95,22.53,23.86,29.79,41.9,85.1,-,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,1.69,-,7.76,6.29,4.84,6.69,7.91
Total Liabilities,248.9,223.99,207.03,191.75,202.85,204.36,226.55,123.21,102.83,96.74,88.32
Common Stock,0.01,0.01,0,0,0,0,0,0,0,0,0
Additional Paid-In Capital,258.51,250.41,233.63,218.7,201.61,185.94,168.94,155.8,143.71,135.68,130.47
Retained Earnings,958.23,903.09,807.92,731.67,665.3,598.89,552.54,505.16,458.46,422.76,393.28
Treasury Stock,-853.97,-831.51,-793.91,-748.2,-654.52,-564.44,-531.76,-466.16,-430.99,-419.8,-391.8
Shareholders' Equity,362.78,321.99,247.65,202.18,212.4,220.4,189.71,194.81,171.18,138.65,131.95
Total Liabilities & Equity,611.68,545.98,454.68,393.92,415.25,424.76,416.26,318.02,274,235.38,220.27
Total Debt,25.89,28.08,31.4,33.76,43.14,54.66,98.32,-,-,-,-
Net Cash (Debt),181.56,142.51,74.17,37.57,54.36,85.05,-15.1,91.71,55.77,28.61,32.78
Net Cash Growth,70.24%,92.14%,97.41%,-30.89%,-36.08%,-,-,64.45%,94.93%,-12.72%,28.46%
Net Cash Per Share,3.50,2.74,1.43,0.71,1.00,1.56,-0.27,1.61,0.98,0.49,0.55
Filing Date Shares Outstanding,51.25,51.35,51.37,51.43,52.47,53.55,54.02,55.5,56.84,56.26,58.72
Total Common Shares Outstanding,51.29,51.36,51.39,51.51,52.71,53.63,53.91,55.67,56.74,56.81,58.69
Working Capital,203.94,182.65,117.73,75.88,93.62,106.48,75.3,98.57,65.33,38.82,42.69
Book Value Per Share,7.07,6.27,4.82,3.93,4.03,4.11,3.52,3.50,3.02,2.44,2.25
Tangible Book Value,325.61,241.98,172.85,130.42,144.11,153.58,122.5,127.46,103.27,72.26,65.71
Tangible Book Value Per Share,6.35,4.71,3.36,2.53,2.73,2.86,2.27,2.29,1.82,1.27,1.12
Land,-,11.05,11.12,11.08,11.08,11.08,11.05,5.84,5.84,-,-
Machinery,-,65.43,66.61,68.25,77.38,66.71,66.4,68.01,67.73,65.25,60.06
Leasehold Improvements,-,22.61,18.01,18.3,18.58,17.56,14.96,13.54,14.46,10.89,9.06
