Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Revenue,933.84,895.59,795.31,718.56,646.23,552.64,592.23,595.74,558.35,518.69,503.58
Revenue Growth (YoY),10.43%,12.61%,10.68%,11.19%,16.93%,-6.68%,-0.59%,6.70%,7.65%,3.00%,2.23%
Cost of Revenue,708.21,685.86,623.62,560.3,494.12,429.02,466.3,470.93,451.1,413.89,399.04
Gross Profit,225.63,209.73,171.69,158.26,152.11,123.62,125.92,124.81,107.25,104.79,104.54
"Selling, General & Admin",90.33,88.9,76.59,73.71,67.6,64.45,65.21,63.3,59.35,57.24,58.48
Operating Expenses,90.33,88.9,76.59,73.71,67.6,64.45,65.21,63.3,59.35,57.24,58.48
Operating Income,135.3,120.82,95.1,84.55,84.51,59.18,60.71,61.51,47.9,47.55,46.06
Pretax Income,135.3,120.82,95.1,84.55,84.51,59.18,60.71,61.51,47.9,47.55,46.06
Income Tax Expense,29.97,25.66,18.85,18.19,18.1,12.82,13.33,14.81,12.21,18.07,17.54
Net Income,105.33,95.17,76.25,66.37,66.41,46.36,47.38,46.7,35.7,29.48,28.53
Net Income to Common,105.33,95.17,76.25,66.37,66.41,46.36,47.38,46.7,35.7,29.48,28.53
Net Income Growth,29.20%,24.80%,14.90%,-0.07%,43.26%,-2.15%,1.44%,30.84%,21.09%,3.34%,-0.23%
Shares Outstanding (Basic),51,51,51,52,53,54,55,56,56,58,59
Shares Outstanding (Diluted),52,52,52,53,54,54,56,57,57,59,60
Shares Change (YoY),-0.14%,-0.09%,-1.39%,-2.95%,-0.21%,-2.34%,-2.14%,-0.18%,-2.70%,-2.17%,-4.24%
EPS (Basic),2.05,1.85,1.48,1.28,1.25,0.86,0.86,0.83,0.63,0.51,0.48
EPS (Diluted),2.02,1.83,1.47,1.26,1.22,0.85,0.85,0.82,0.62,0.50,0.48
EPS Growth,28.11%,24.49%,16.67%,3.28%,43.53%,-,3.66%,31.56%,23.84%,5.58%,4.38%
Free Cash Flow,101.19,91.56,70,55.97,37.4,77.14,48.47,63.37,34.46,21.01,34.56
Free Cash Flow Per Share,1.95,1.76,1.34,1.06,0.69,1.42,0.87,1.11,0.60,0.36,0.58
Gross Margin,24.16%,23.42%,21.59%,22.02%,23.54%,22.37%,21.26%,20.95%,19.21%,20.20%,20.76%
Operating Margin,14.49%,13.49%,11.96%,11.77%,13.08%,10.71%,10.25%,10.32%,8.58%,9.17%,9.15%
Profit Margin,11.28%,10.63%,9.59%,9.24%,10.28%,8.39%,8.00%,7.84%,6.39%,5.68%,5.66%
Free Cash Flow Margin,10.84%,10.22%,8.80%,7.79%,5.79%,13.96%,8.18%,10.64%,6.17%,4.05%,6.86%
EBITDA,165.83,150.36,121.35,109.68,108.43,82.61,83.23,84.5,69.68,68.5,66.01
EBITDA Margin,17.76%,16.79%,15.26%,15.26%,16.78%,14.95%,14.05%,14.18%,12.48%,13.21%,13.11%
D&A For EBITDA,30.53,29.54,26.25,25.12,23.92,23.44,22.52,22.98,21.78,20.95,19.95
EBIT,135.3,120.82,95.1,84.55,84.51,59.18,60.71,61.51,47.9,47.55,46.06
EBIT Margin,14.49%,13.49%,11.96%,11.77%,13.08%,10.71%,10.25%,10.32%,8.58%,9.17%,9.15%
Effective Tax Rate,22.15%,21.24%,19.82%,21.51%,21.42%,21.66%,21.96%,24.08%,25.49%,38.00%,38.07%
