Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,741.17,675.04,482.38,401.86,365.98,353.87,306.49,251.25,159.2,81.32,50.29
Revenue Growth (YoY),17.92%,39.94%,20.04%,9.80%,3.42%,15.46%,21.99%,57.82%,95.77%,61.72%,89.39%
Cost of Revenue,13.39,10.88,6.48,5.39,5.28,5.58,5.5,5.22,3.55,2.06,1.36
Gross Profit,727.78,664.16,475.89,396.47,360.7,348.29,300.98,246.03,155.65,79.26,48.93
"Selling, General & Admin",401.86,280.32,184.26,152.85,122.36,105.33,100.36,81.29,62.42,45.24,36.95
Research & Development,260.35,246.89,184.35,130.99,113.86,114.76,89.02,75.25,40.38,23.84,15.42
Operating Expenses,662.21,527.21,368.61,283.84,236.22,220.09,189.38,156.54,102.79,69.08,52.37
Operating Income,65.57,136.95,107.28,112.63,124.48,128.2,111.61,89.5,52.86,10.18,-3.44
Interest Expense,-,-,-,-,-,-,-,-,-0.05,-2.04,-2.97
Interest & Investment Income,22.94,24.54,17.28,3.56,0.53,3.4,5.07,2.66,-,-,-
Legal Settlements,-,-,-,-14,-,-,-,-,-,-,-
Pretax Income,88.51,161.49,124.56,116.19,125.01,131.6,116.68,92.15,52.81,8.14,-6.41
Income Tax Expense,-17.6,20.28,18.42,14.77,12.49,25.59,22.5,16.74,-76.32,-,-
Net Income,106.11,141.21,106.14,101.42,112.51,106.01,94.18,75.41,129.12,8.14,-6.41
Preferred Dividends & Other Adjustments,1.45,1.48,0.64,0.13,-,-,-,-,-,-,-
Net Income to Common,104.66,139.73,105.5,101.29,112.51,106.01,94.18,75.41,129.12,8.14,-6.41
Net Income Growth,-25.18%,33.04%,4.66%,-9.86%,6.13%,12.56%,24.89%,-41.60%,1486.27%,-,-
Shares Outstanding (Basic),104,103,104,107,116,115,114,115,114,111,107
Shares Outstanding (Diluted),120,113,112,116,126,124,123,127,125,116,107
Shares Change (YoY),7.55%,1.55%,-3.64%,-7.94%,1.42%,1.33%,-3.25%,1.75%,7.21%,8.66%,5.85%
EPS (Basic),1.01,1.35,1.02,0.95,0.97,0.92,0.82,0.65,1.14,0.07,-0.06
EPS (Diluted),0.87,1.23,0.94,0.87,0.89,0.85,0.77,0.60,1.04,0.07,-0.06
EPS Growth,-30.72%,30.85%,8.05%,-2.25%,4.71%,10.39%,28.33%,-42.31%,1385.71%,-,-
Free Cash Flow,163.1,195.9,126.9,119.91,167.42,150.73,135.03,115.37,60.52,18.2,3.11
Free Cash Flow Per Share,1.36,1.73,1.14,1.03,1.33,1.21,1.10,0.91,0.49,0.16,0.03
Gross Margin,98.19%,98.39%,98.66%,98.66%,98.56%,98.42%,98.20%,97.92%,97.77%,97.47%,97.29%
Operating Margin,8.85%,20.29%,22.24%,28.03%,34.01%,36.23%,36.41%,35.62%,33.20%,12.52%,-6.85%
Profit Margin,14.12%,20.70%,21.87%,25.20%,30.74%,29.96%,30.73%,30.01%,81.11%,10.01%,-12.74%
Free Cash Flow Margin,22.00%,29.02%,26.31%,29.84%,45.75%,42.59%,44.06%,45.92%,38.01%,22.38%,6.19%
EBITDA,66.71,137.75,108.32,113.89,125.96,128.73,112.31,89.73,52.96,10.27,-3.29
EBITDA Margin,9.00%,20.41%,22.46%,28.34%,34.42%,36.38%,36.64%,35.72%,33.27%,12.62%,-6.54%
D&A For EBITDA,1.14,0.8,1.04,1.26,1.48,0.53,0.7,0.24,0.11,0.09,0.16
EBIT,65.57,136.95,107.28,112.63,124.48,128.2,111.61,89.5,52.86,10.18,-3.44
EBIT Margin,8.85%,20.29%,22.24%,28.03%,34.01%,36.23%,36.41%,35.62%,33.20%,12.52%,-6.85%
Effective Tax Rate,-,12.56%,14.79%,12.71%,9.99%,19.45%,19.28%,18.17%,-,-,-
