Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,125.14,127.67,135.55,66.33,77.62,76.19,31.27,41.63,31.06,51.54,40.44
Short-Term Investments,296.55,255.67,232.67,365.34,145.92,364.51,244.69,165.14,57.68,-,-
Cash & Short-Term Investments,421.68,383.33,368.22,431.67,223.54,440.7,275.96,206.76,88.74,51.54,40.44
Cash Growth,10.87%,4.10%,-14.70%,93.11%,-49.28%,59.69%,33.47%,132.98%,72.20%,27.45%,66.76%
Accounts Receivable,69.63,53.98,41.12,31.06,27.63,26.2,19.93,17.59,15.3,9.86,6.22
Other Receivables,-,-,14,15.8,1.4,1.3,1,-,-,-,-
Receivables,69.63,53.98,55.12,46.86,29.03,27.5,20.93,17.59,15.3,9.86,6.22
Inventory,12.35,12.41,7.73,6.1,4.99,4.91,5.42,4.73,4.58,2.33,1.68
Prepaid Expenses,22.98,9.49,4.32,14.62,8.92,5.4,5.04,7.74,2.67,1.96,0.64
Other Current Assets,14.49,12.39,23.24,-,-,-,-,-,12.9,-,-
Total Current Assets,541.13,471.6,458.64,499.25,266.46,478.5,307.36,236.82,124.19,65.69,48.98
"Property, Plant & Equipment",6.87,8.01,0.32,1.78,1.52,4.18,4.5,0.66,0.52,0.21,0.1
Long-Term Investments,102.56,219.83,57.18,4.95,112.28,36.2,39.35,-,15.28,-,-
Long-Term Deferred Tax Assets,153,130.91,90.61,61.47,27.46,31.6,45.68,62.66,76.7,-,-
Other Long-Term Assets,20.05,10.19,14.79,15.99,16.05,21.25,15.43,11.56,3.85,2.86,2.82
Total Assets,823.61,840.55,621.52,583.43,423.76,571.73,412.31,311.69,220.54,68.75,51.9
Accounts Payable,34.45,15.38,17.4,11.98,6.91,10.55,7.54,8.27,8.58,2.29,1.33
Accrued Expenses,125.86,122.11,70.49,44.52,39.3,34.69,28.96,25.38,20.92,10.42,4.43
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,14.66,14.97
Current Portion of Leases,1.05,0.83,0.15,1.14,0.53,2.05,1.56,-,-,-,-
Current Income Taxes Payable,-,0.19,1.81,0.09,0.51,-,-,1.54,0.07,-,-
Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,0.16
Other Current Liabilities,10.91,2.27,14.65,14.76,0.3,0.2,0.78,0.39,-,-,-
Total Current Liabilities,172.27,140.77,104.51,72.49,47.54,47.49,38.84,35.57,29.57,27.37,20.88
Long-Term Debt,-,-,-,-,-,-,-,-,-,-,12.53
Long-Term Leases,5.31,6.11,-,-,-,0.5,1.9,-,-,-,-
Other Long-Term Liabilities,14.13,14.08,10.31,9.1,0.41,0.4,0.39,0.24,-,-,-
Total Liabilities,191.71,160.96,114.81,81.59,47.95,48.39,41.13,35.81,29.57,27.37,33.4
Common Stock,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11
Additional Paid-In Capital,933.61,832.11,738.52,662.34,591.35,516.14,457.06,417.23,384.07,363.53,348.8
Retained Earnings,619.1,543.74,402.53,296.39,194.97,82.46,-23.56,-117.74,-193.15,-322.27,-330.41
Treasury Stock,-923.29,-696.17,-635.08,-456.15,-410.41,-75.8,-62.7,-23.66,-,-,-
Comprehensive Income & Other,2.34,-0.22,0.61,-0.87,-0.23,0.42,0.26,-0.07,-0.08,-,-
Shareholders' Equity,631.9,679.59,506.71,501.84,375.81,523.34,371.18,275.88,190.97,41.38,18.5
Total Liabilities & Equity,823.61,840.55,621.52,583.43,423.76,571.73,412.31,311.69,220.54,68.75,51.9
Total Debt,6.36,6.94,0.15,1.14,0.53,2.55,3.46,-,-,14.66,27.49
Net Cash (Debt),517.88,596.23,425.25,435.48,335.29,474.34,311.85,206.76,104.03,36.87,12.94
Net Cash Growth,-4.25%,40.21%,-2.35%,29.88%,-29.32%,52.10%,50.83%,98.76%,182.13%,184.90%,-
Net Cash Per Share,4.32,5.25,3.81,3.76,2.66,3.82,2.54,1.63,0.84,0.32,0.12
Filing Date Shares Outstanding,105.19,105.5,103.52,107.9,105.96,117.31,114.59,114.72,114.83,112.94,109.66
Total Common Shares Outstanding,105.12,105.11,103.41,107.84,105.94,116.74,114.55,115.03,114.72,112.71,109.64
Working Capital,368.87,330.83,354.13,426.76,218.92,431.01,268.52,201.25,94.62,38.32,28.1
Book Value Per Share,6.01,6.47,4.90,4.65,3.55,4.48,3.24,2.40,1.66,0.37,0.17
Tangible Book Value,631.9,679.59,506.71,501.84,375.81,523.34,371.18,275.88,190.97,41.38,18.5
Tangible Book Value Per Share,6.01,6.47,4.90,4.65,3.55,4.48,3.24,2.40,1.66,0.37,0.17
Machinery,-,-,-,-,1.16,0.81,0.3,0.36,0.19,0.3,0.27
Leasehold Improvements,-,-,-,-,1.26,1.23,0.53,0.04,0.01,0.01,-
