Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,968","5,280","3,348","2,186","2,097","3,039","1,383","1,543","2,061",806,542
Market Cap Growth,58.17%,57.69%,53.13%,4.24%,-30.98%,119.78%,-10.37%,-25.15%,155.69%,48.80%,78.44%
Enterprise Value,"7,450","4,739","2,933","1,787","1,603","2,598","1,117","1,346","1,984",777,535
Last Close Price,78.39,50.39,32.48,20.31,19.80,26.16,12.10,13.36,18.06,7.26,4.98
PE Ratio,86.72,37.78,31.74,21.59,18.64,28.67,14.68,20.46,15.96,99.03,-
Forward PE,199.34,32.11,32.61,19.95,21.01,32.91,12.92,14.18,21.96,38.89,45.27
PS Ratio,10.98,7.82,6.94,5.44,5.73,8.59,4.51,6.14,12.95,9.91,10.77
PB Ratio,13.04,7.77,6.61,4.36,5.58,5.81,3.73,5.59,10.79,19.48,29.28
P/TBV Ratio,12.61,7.77,6.61,4.36,5.58,5.81,3.73,5.59,10.79,19.48,29.28
P/FCF Ratio,48.85,26.95,26.38,18.23,12.53,20.16,10.24,13.37,34.06,44.30,174.01
P/OCF Ratio,48.77,26.66,26.36,18.17,12.49,20.00,10.16,13.34,33.82,43.83,173.07
EV/Sales Ratio,10.05,7.02,6.08,4.45,4.38,7.34,3.64,5.36,12.47,9.55,10.64
EV/EBITDA Ratio,111.67,34.40,27.08,15.69,12.73,20.18,9.94,15.00,37.47,75.68,-
EV/EBIT Ratio,113.62,34.60,27.34,15.87,12.88,20.26,10.01,15.04,37.55,76.33,-
EV/FCF Ratio,45.68,24.19,23.12,14.90,9.58,17.24,8.27,11.67,32.79,42.70,171.83
Debt / Equity Ratio,0.01,0.01,0,0.00,0.00,0.01,0.01,-,-,0.35,1.49
Debt / EBITDA Ratio,0.09,0.05,0.00,0.01,0.00,0.02,0.03,-,-,1.43,-
Debt / FCF Ratio,0.04,0.04,0.00,0.01,0.00,0.02,0.03,-,-,0.81,8.83
Asset Turnover,0.92,0.92,0.80,0.80,0.74,0.72,0.85,0.94,1.10,1.35,1.16
Inventory Turnover,1.31,1.08,0.94,0.97,1.07,1.08,1.08,1.12,1.03,1.03,0.94
Quick Ratio,2.85,3.11,4.05,6.60,5.31,9.86,7.64,6.31,3.52,2.24,2.24
Current Ratio,3.14,3.35,4.39,6.89,5.61,10.07,7.91,6.66,4.20,2.40,2.35
Return on Equity (ROE),16.70%,23.81%,21.05%,23.11%,25.03%,23.70%,29.11%,32.31%,111.15%,27.19%,-84.82%
Return on Assets (ROA),5.10%,11.71%,11.13%,13.98%,15.63%,16.29%,19.27%,21.02%,22.84%,10.55%,-4.97%
Return on Capital (ROIC),6.38%,14.34%,13.28%,16.01%,17.25%,17.79%,21.45%,23.96%,26.75%,12.47%,-5.63%
Return on Capital Employed (ROCE),10.10%,19.60%,20.80%,22.00%,33.10%,24.50%,29.90%,32.40%,27.70%,24.60%,-
Earnings Yield,1.31%,2.67%,3.17%,4.64%,5.36%,3.49%,6.81%,4.89%,6.26%,1.01%,-1.18%
FCF Yield,2.05%,3.71%,3.79%,5.48%,7.98%,4.96%,9.77%,7.48%,2.94%,2.26%,0.57%
Buyback Yield / Dilution,-7.55%,-1.55%,3.64%,7.94%,-1.42%,-1.33%,3.25%,-1.75%,-7.21%,-8.66%,-5.85%
