Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,234.36,15.68,73.41,63.89,33.42,64.49,0.15,0.1
Short-Term Investments,-,-,48.23,98.59,167.37,-,-,-
Cash & Short-Term Investments,234.36,15.68,121.64,162.48,200.78,64.49,0.15,0.1
Cash Growth,180.09%,-87.11%,-25.14%,-19.07%,211.33%,42880.34%,48.84%,-
Other Receivables,-,-,-,-,-,0.08,-,-
Receivables,1.6,-,-,-,-,0.08,-,-
Inventory,10.73,11.59,7.09,-,-,-,-,-
Prepaid Expenses,15.19,7.97,8.23,4.88,2.51,0.37,2.1,0.26
Restricted Cash,3.58,16.66,25.69,68.85,141.86,-,-,-
Other Current Assets,-,2,-,-,0.2,-,0.62,0.32
Total Current Assets,265.45,53.9,162.65,236.22,345.35,64.94,2.87,0.68
"Property, Plant & Equipment",710.93,730.91,668.55,524.86,225.21,74.07,30.41,25.06
Other Long-Term Assets,12.75,13.57,208.18,100.26,94.12,268.97,-,-
Total Assets,989.12,798.39,"1,039",861.34,664.68,407.98,33.28,25.74
Accounts Payable,4.41,6.6,2.88,1.67,1.4,1.06,2.36,4.81
Accrued Expenses,29.84,47.78,41.05,34.45,37.06,31.9,1.22,0.09
Current Portion of Long-Term Debt,23.83,23.29,9.15,-,-,0.12,6.9,-
Current Portion of Leases,-,3.11,2.54,2.19,-,-,-,-
Other Current Liabilities,60.33,10.11,-,-,-,-,-,-
Total Current Liabilities,118.4,90.88,55.61,38.3,38.46,33.08,10.49,4.9
Long-Term Debt,381.52,341.79,507.4,233.51,232.51,262.15,13,14.64
Long-Term Leases,53.06,54.67,27.25,16.62,-,-,-,-
Long-Term Unearned Revenue,5,5,5,5,5,-,-,-
Other Long-Term Liabilities,63.63,125.6,23.87,57.02,7.18,1,7.41,-
Total Liabilities,621.6,617.94,619.14,350.45,283.15,296.23,30.9,19.54
Common Stock,0.18,0.17,0.16,0.16,0.13,0.04,0.39,0.39
Additional Paid-In Capital,865.44,813.57,764.34,753.89,539.42,192.38,0.11,0.03
Retained Earnings,-797.15,-633.38,-344.24,-242.53,-157.78,-80.71,-27.72,-8.41
Comprehensive Income & Other,-0.25,0.08,-0.03,-0.64,-0.24,0.01,4.05,0.02
Total Common Equity,68.22,180.45,420.24,510.88,381.54,111.71,-23.17,-7.96
Shareholders' Equity,367.52,180.45,420.24,510.88,381.54,111.75,2.38,6.19
Total Liabilities & Equity,989.12,798.39,"1,039",861.34,664.68,407.98,33.28,25.74
Total Debt,458.4,422.85,546.34,252.32,232.51,262.28,19.9,14.64
Net Cash (Debt),-224.04,-407.17,-424.7,-89.84,-31.73,-197.78,-19.75,-14.54
Net Cash Per Share,-1.27,-2.46,-2.59,-0.58,-0.31,-6.88,-7.65,-5.63
Filing Date Shares Outstanding,180.2,179.34,164.33,163.67,163.23,3.61,2.58,2.58
Total Common Shares Outstanding,180.19,173.57,164.28,163.55,163.23,3.61,2.58,2.58
Working Capital,147.05,-36.98,107.04,197.92,306.89,31.86,-7.62,-4.23
Book Value Per Share,0.38,1.04,2.56,3.12,2.34,30.93,-8.98,-3.09
Tangible Book Value,68.22,180.45,420.24,510.88,381.54,111.71,-23.17,-7.96
Tangible Book Value Per Share,0.38,1.04,2.56,3.12,2.34,30.93,-8.98,-3.09
Land,1.15,1.15,1.15,1.15,1.15,1.15,-,-
Buildings,82.03,82.03,81.59,12.53,12.03,12.03,9.7,-
Machinery,374.61,375.44,350.51,24.26,20.12,16.09,15.77,-
Construction In Progress,269.85,266.26,226.89,473.27,193.94,47.45,5.83,25.06
Leasehold Improvements,4.83,4.83,2.97,2.96,2.9,-,-,-
