Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"1,550","1,779",664,"1,105","1,196",159,-,-
Market Cap Growth,-27.85%,167.71%,-39.89%,-7.62%,654.76%,-,-,-
Enterprise Value,"1,774","2,077",996,"1,143","1,267",219,-,-
Last Close Price,8.52,10.25,4.05,6.76,9.57,16.13,-,-
PB Ratio,22.50,9.86,1.58,2.16,3.14,1.42,-,-
P/TBV Ratio,22.72,9.86,1.58,2.16,3.14,1.42,-,-
Debt / Equity Ratio,1.25,2.34,1.30,0.49,0.61,2.35,8.36,2.36
Quick Ratio,1.99,0.17,2.19,4.24,5.22,1.95,0.01,0.02
Current Ratio,2.24,0.59,2.93,6.17,8.98,1.96,0.27,0.14
Return on Equity (ROE),-75.03%,-96.27%,-21.85%,-18.99%,-31.42%,-92.86%,-450.49%,-
Return on Assets (ROA),-11.07%,-9.89%,-7.49%,-6.66%,-8.11%,-10.54%,-38.06%,-
Return on Capital (ROIC),-13.58%,-11.58%,-8.23%,-7.38%,-8.80%,-11.74%,-52.10%,-
Return on Capital Employed (ROCE),-18.10%,-20.50%,-11.60%,-9.90%,-11.10%,-9.90%,-78.90%,-19.70%
Earnings Yield,-15.12%,-16.25%,-15.31%,-7.67%,-6.48%,-33.43%,-,-
FCF Yield,-12.58%,-11.27%,-37.45%,-31.91%,-16.04%,-30.13%,-,-
Buyback Yield / Dilution,-6.54%,-0.83%,-5.03%,-51.63%,-258.42%,-1013.09%,-,-
