Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"9,505","5,351","5,891","3,978","14,559","15,600","12,807",-,-,-
Market Cap Growth,66.83%,-9.16%,48.11%,-72.68%,-6.67%,21.81%,-,-,-,-
Enterprise Value,"8,831","4,666","5,345","3,295","13,198","14,172","10,138",-,-,-
Last Close Price,23.80,12.90,14.99,11.02,42.73,49.13,43.02,-,-,-
PE Ratio,65.60,234.86,-,-,-,-,-,-,-,-
Forward PE,18.00,12.64,33.95,14.31,71.66,-,-,-,-,-
PS Ratio,1.57,0.93,1.34,0.97,4.54,6.60,3.54,-,-,-
PB Ratio,16.67,6.98,10.88,10.23,10.86,9.31,4.49,-,-,-
P/TBV Ratio,195.71,11.32,26.27,78.18,13.12,10.93,4.90,-,-,-
P/FCF Ratio,9.25,6.98,-,-,-,-,-,-,-,-
P/OCF Ratio,8.84,6.30,-,-,-,-,-,-,-,-
EV/Sales Ratio,1.41,0.81,1.21,0.81,4.11,5.99,2.80,-,-,-
EV/EBITDA Ratio,66.70,170.70,-,-,-,-,-,-,-,-
EV/FCF Ratio,8.59,6.09,-,-,-,-,-,-,-,-
Debt / Equity Ratio,2.30,1.64,2.08,2.82,0.75,0.61,0.17,-,-,-
Debt / EBITDA Ratio,7.44,16.75,-,-,-,-,-,-,-,-
Debt / FCF Ratio,1.28,1.64,-,-,-,-,-,-,-,-
Asset Turnover,1.12,1.16,0.97,0.88,0.68,0.46,0.77,0.64,0.50,-
Quick Ratio,0.58,0.60,0.67,0.66,0.97,1.13,1.21,1.41,3.43,3.31
Current Ratio,0.72,0.76,0.87,0.83,1.10,1.25,1.33,1.60,3.68,3.51
Return on Equity (ROE),24.52%,3.48%,-73.17%,-183.19%,-70.40%,-77.39%,-101.36%,-39.75%,-42.49%,-
Return on Assets (ROA),0.13%,-1.39%,-5.32%,-17.93%,-15.01%,-21.19%,-35.74%,-17.99%,-20.76%,-
Return on Capital (ROIC),0.38%,-3.75%,-15.37%,-43.69%,-28.14%,-36.45%,-60.20%,-26.58%,-27.33%,-
Earnings Yield,1.59%,0.43%,-5.78%,-39.84%,-7.29%,-11.24%,-20.32%,-,-,-
FCF Yield,10.82%,14.32%,-4.21%,-8.86%,-1.24%,-9.44%,-2.22%,-,-,-
Buyback Yield / Dilution,-4.85%,-7.35%,-8.63%,-5.98%,-7.22%,-37.22%,-974.32%,-9.32%,-5.20%,-
