Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,"6,274","5,786","4,404","4,095","3,208","2,365","3,616","2,157","1,060",343.3
Revenue Growth (YoY),14.90%,31.39%,7.53%,27.64%,35.68%,-34.60%,67.67%,103.48%,208.73%,-
Cost of Revenue,"4,062","3,746","2,944","2,859","2,105","1,832","2,811","1,582",843.05,376.89
Gross Profit,"2,212","2,040","1,460","1,236","1,104",533.02,805.18,574.81,216.84,-33.59
"Selling, General & Admin","1,777","1,755","1,320","1,747","1,327","1,355","2,000","1,249",788.46,594.31
Research & Development,424.05,395.89,527.57,827.82,911.95,934.5,"1,506",300.84,136.65,64.7
Other Operating Expenses,-,-,-,-,-,1.5,1.8,-,-,-
Operating Expenses,"2,201","2,151","1,848","2,575","2,239","2,291","3,508","1,550",925.11,659.01
Operating Income,11.36,-110.94,-387.86,"-1,339","-1,135","-1,758","-2,702",-975.11,-708.27,-692.6
Interest Expense,-22.58,-28.92,-26.22,-19.74,-51.64,-32.68,-,-,-,-
Interest & Investment Income,155.2,166.3,145.73,47.14,9.07,43.65,102.51,66.46,20.24,6.96
Earnings From Equity Investments,-,-,12.93,-,-,-,-,-,-,-
Currency Exchange Gain (Loss),-7.24,-7.24,3.66,-4.39,0.79,1.82,-0.52,0.23,-,-
Other Non Operating Income (Expenses),1.93,5.96,8.06,-6.74,6.1,-0.94,0.37,0.64,0.28,3.25
EBT Excluding Unusual Items,138.66,25.16,-243.72,"-1,322","-1,171","-1,746","-2,600",-907.78,-687.75,-682.39
Merger & Restructuring Charges,13.23,-7.97,-87.74,-120.26,-,14.55,-,-2.6,-,-
Gain (Loss) on Sale of Investments,3.06,3.06,-0.24,-136,0.69,-0.87,0.25,-0.22,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,119.28,-,-,-,-,-
Other Unusual Items,-,5.1,-,-,-,-64.7,-,-,-,-
Pretax Income,154.96,25.35,-331.7,"-1,579","-1,051","-1,797","-2,600",-910.6,-687.75,-682.39
Income Tax Expense,4.27,2.57,8.62,5.87,11.23,-44.53,2.36,0.74,0.56,0.4
Net Income,150.69,22.78,-340.32,"-1,585","-1,062","-1,753","-2,602",-911.34,-688.3,-682.79
Net Income to Common,150.69,22.78,-340.32,"-1,585","-1,062","-1,753","-2,602",-911.34,-688.3,-682.79
Shares Outstanding (Basic),415,409,385,355,335,312,227,21,19,18
Shares Outstanding (Diluted),424,414,385,355,335,312,227,21,19,18
Shares Change (YoY),4.85%,7.35%,8.63%,5.98%,7.22%,37.22%,974.32%,9.32%,5.20%,-
EPS (Basic),0.36,0.06,-0.88,-4.47,-3.17,-5.61,-11.44,-43.04,-35.53,-37.08
EPS (Diluted),0.36,0.06,-0.88,-4.47,-3.17,-5.61,-11.44,-43.04,-35.53,-37.08
Free Cash Flow,"1,028",766.27,-248.06,-352.26,-180.9,"-1,473",-283.79,-349.34,-401.06,-495.98
Free Cash Flow Per Share,2.43,1.85,-0.64,-0.99,-0.54,-4.72,-1.25,-16.50,-20.70,-26.94
Gross Margin,35.26%,35.26%,33.15%,30.18%,34.40%,22.54%,22.27%,26.65%,20.46%,-9.79%
Operating Margin,0.18%,-1.92%,-8.81%,-32.69%,-35.38%,-74.35%,-74.74%,-45.21%,-66.83%,-201.75%
Profit Margin,2.40%,0.39%,-7.73%,-38.69%,-33.11%,-74.13%,-71.97%,-42.26%,-64.94%,-198.89%
Free Cash Flow Margin,16.38%,13.24%,-5.63%,-8.60%,-5.64%,-62.27%,-7.85%,-16.20%,-37.84%,-144.48%
EBITDA,132.41,27.34,-272.34,"-1,208",-995.87,"-1,601","-2,594",-956.36,-705.66,-692.08
EBITDA Margin,2.11%,0.47%,-6.18%,-29.49%,-31.04%,-67.70%,-71.74%,-44.34%,-66.58%,-201.60%
D&A For EBITDA,121.05,138.28,115.52,130.89,139.35,157.35,108.43,18.75,2.61,0.53
EBIT,11.36,-110.94,-387.86,"-1,339","-1,135","-1,758","-2,702",-975.11,-708.27,-692.6
EBIT Margin,0.18%,-1.92%,-8.81%,-32.69%,-35.38%,-74.35%,-74.74%,-45.21%,-66.83%,-201.75%
Effective Tax Rate,2.76%,10.12%,-,-,-,-,-,-,-,-
Advertising Expenses,-,136.9,122,162.1,145.4,102.5,188.3,352.3,315.6,169.6
