Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,898","6,336","8,177","5,874","6,062","3,656","3,117","1,571","2,405","2,508","1,443"
Market Cap Growth,8.55%,-22.51%,39.19%,-3.09%,65.80%,17.29%,98.38%,-34.66%,-4.10%,73.76%,-14.34%
Enterprise Value,"7,843","6,264","8,336","6,368","6,541","4,238","3,989","2,414","3,269","3,556","2,470"
Last Close Price,31.95,25.38,32.05,22.84,23.38,14.12,12.14,6.13,9.39,9.85,5.68
PE Ratio,25.77,17.90,22.73,7.67,9.43,10.81,25.79,12.36,9.12,14.29,28.28
Forward PE,20.48,15.77,8.85,8.83,10.06,12.42,16.99,14.06,13.27,13.01,21.13
PS Ratio,1.22,1.00,1.26,0.83,0.99,0.72,0.77,0.36,0.57,0.64,0.50
PB Ratio,1.83,1.52,2.05,1.59,2.04,1.55,1.57,0.85,1.40,1.79,1.19
P/TBV Ratio,1.84,1.53,2.07,1.61,2.08,1.59,1.61,0.87,1.44,1.85,1.23
P/FCF Ratio,34.27,18.36,15.71,30.84,17.75,16.85,34.10,13.51,35.72,31.60,30.71
P/OCF Ratio,7.99,5.82,6.44,5.35,5.41,4.75,5.53,2.37,3.89,3.44,2.47
PEG Ratio,-,0.71,0.71,0.71,0.71,0.35,0.91,3.09,1.00,0.77,1.25
EV/Sales Ratio,1.22,0.99,1.28,0.90,1.07,0.84,0.98,0.56,0.78,0.91,0.86
EV/EBITDA Ratio,7.52,6.06,7.57,4.22,4.93,4.30,5.26,2.91,3.72,4.12,3.75
EV/EBIT Ratio,18.79,14.28,17.76,7.09,8.56,8.91,17.00,9.32,10.98,11.53,14.99
EV/FCF Ratio,34.03,18.15,16.01,33.43,19.15,19.53,43.63,20.76,48.56,44.80,52.56
Debt / Equity Ratio,0.47,0.34,0.35,0.40,0.44,0.55,0.80,0.73,0.79,1.05,1.30
Debt / EBITDA Ratio,1.92,1.31,1.18,0.93,0.94,1.24,1.95,1.63,1.55,1.71,2.41
Debt / FCF Ratio,8.92,4.12,2.69,7.83,3.86,6.00,17.41,11.64,20.27,18.58,33.77
Asset Turnover,0.85,0.92,0.96,1.10,1.11,1.04,0.88,0.96,0.98,0.97,0.75
Inventory Turnover,14.89,15.30,10.87,10.34,12.56,16.03,15.09,16.23,14.31,12.71,10.42
Quick Ratio,1.55,1.86,1.98,1.57,1.39,1.36,1.65,1.21,1.06,1.11,1.03
Current Ratio,1.77,2.11,2.31,1.99,1.70,1.62,1.89,1.44,1.25,1.40,1.29
Return on Equity (ROE),7.25%,8.70%,9.41%,22.99%,24.24%,15.68%,6.38%,7.25%,17.14%,13.63%,4.59%
Return on Assets (ROA),3.43%,4.00%,4.32%,8.73%,8.63%,6.12%,3.19%,3.60%,4.33%,4.75%,2.69%
Return on Capital (ROIC),4.36%,4.99%,5.54%,11.84%,12.02%,8.22%,4.32%,5.15%,6.24%,6.78%,3.77%
Return on Capital Employed (ROCE),7.00%,8.00%,8.70%,17.40%,17.50%,12.80%,6.50%,7.80%,9.30%,10.00%,5.50%
Earnings Yield,3.90%,5.59%,4.40%,13.04%,10.61%,9.25%,3.88%,8.09%,10.96%,7.00%,3.54%
FCF Yield,2.92%,5.45%,6.37%,3.24%,5.63%,5.94%,2.93%,7.40%,2.80%,3.16%,3.26%
Dividend Yield,0.96%,1.26%,0.95%,0.98%,0.73%,0.28%,-,-,-,-,-
Payout Ratio,59.38%,22.20%,20.76%,7.20%,7.96%,-,-,-,-,-,-
Buyback Yield / Dilution,-0.12%,-0.26%,-0.39%,-0.20%,-1.43%,-0.89%,-0.16%,-0.04%,-0.68%,-0.36%,-0.18%
Total Shareholder Return,0.92%,1.00%,0.55%,0.78%,-0.70%,-0.60%,-0.16%,-0.04%,-0.68%,-0.36%,-0.18%
