Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Cash & Equivalents,217.6,114.09,49.3,87.7,10.61,1.41
Short-Term Investments,376.03,84.1,187.26,22.41,-,-
Cash & Short-Term Investments,593.63,198.19,236.57,110.11,10.61,1.41
Cash Growth,125.20%,-16.22%,114.85%,937.60%,653.16%,-
Prepaid Expenses,6.17,7.16,12.54,2.7,0.46,0.06
Restricted Cash,-,-,-,-,0.05,-
Total Current Assets,599.8,205.35,249.1,112.81,11.12,1.47
"Property, Plant & Equipment",0.01,0.05,-,-,-,-
Long-Term Investments,-,-,2.48,-,-,-
Long-Term Deferred Charges,-,0.4,-,1.6,0,-
Other Long-Term Assets,0.14,0.1,0.05,0.03,-,0.02
Total Assets,599.95,205.9,251.64,114.44,11.13,1.49
Accounts Payable,1.12,0.48,0.6,1.91,0.76,0.53
Accrued Expenses,22.4,14.17,9.88,6.16,4.29,0.05
Short-Term Debt,-,-,-,-,-,4.5
Total Current Liabilities,23.52,14.65,10.48,8.07,5.05,5.08
Total Liabilities,23.52,14.65,10.48,8.07,5.05,5.08
Common Stock,0.01,0.01,0,0,0,0.01
Additional Paid-In Capital,"1,001",493.77,365.86,0.54,0.09,-
Retained Earnings,-424.94,-302.52,-124.71,-52.81,-23.01,-3.6
Total Common Equity,576.43,191.26,241.15,-52.27,-22.93,-3.6
Shareholders' Equity,576.43,191.26,241.15,106.38,6.07,-3.6
Total Liabilities & Equity,599.95,205.9,251.64,114.44,11.13,1.49
Total Debt,-,-,-,-,-,4.5
Net Cash (Debt),593.63,198.19,236.57,110.11,10.61,-3.09
Net Cash Growth,125.20%,-16.22%,114.85%,937.60%,-,-
Net Cash Per Share,9.92,4.08,6.54,21.31,2.13,-0.67
Filing Date Shares Outstanding,79.14,49.84,49.63,40.86,5.44,4.63
Total Common Shares Outstanding,78.97,49.82,41.13,6.42,5.44,4.63
Working Capital,576.28,190.71,238.62,104.74,6.07,-3.62
Book Value Per Share,7.30,3.84,5.86,-8.14,-4.21,-0.78
Tangible Book Value,576.43,191.26,241.15,-52.27,-22.93,-3.6
Tangible Book Value Per Share,7.30,3.84,5.86,-8.14,-4.21,-0.78
