Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Market Capitalization,"2,876",613,354,-,-,-
Market Cap Growth,318.23%,73.31%,-,-,-,-
Enterprise Value,"2,627",349,100,-,-,-
Last Close Price,39.65,12.31,8.60,-,-,-
PB Ratio,8.31,3.20,1.47,-,-,-
P/TBV Ratio,9.41,3.20,1.47,-,-,-
Debt / Equity Ratio,-,-,-,-,-,-1.25
Quick Ratio,14.65,13.53,22.57,13.65,2.10,0.28
Current Ratio,15.12,14.02,23.77,13.98,2.20,0.29
Return on Equity (ROE),-63.21%,-82.24%,-41.38%,-53.00%,-1568.96%,-
Return on Assets (ROA),-38.80%,-52.56%,-28.91%,-31.34%,-185.60%,-
Return on Capital (ROIC),-42.05%,-55.62%,-30.45%,-34.99%,-335.62%,-
Earnings Yield,-6.46%,-29.02%,-20.34%,-,-,-
FCF Yield,-6.53%,-27.16%,-22.96%,-,-,-
Buyback Yield / Dilution,-25.20%,-34.13%,-600.33%,-3.67%,-7.64%,-
