Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,157.35,185.59,230.74,367.8,805.76,234.09,68.93,48.71,56.69,48.32,49.24
Short-Term Investments,550.57,385.1,304.01,365.09,2.18,64.53,51.84,110.37,80.25,65.62,57.24
Cash & Short-Term Investments,707.92,570.69,534.75,732.89,807.94,298.62,120.77,159.08,136.94,113.93,106.48
Cash Growth,-19.46%,6.72%,-27.04%,-9.29%,170.56%,147.26%,-24.08%,16.17%,20.20%,7.00%,-4.78%
Accounts Receivable,142.63,192.83,169.12,135.98,117.18,94.23,75.05,83.22,75.6,53.86,47.44
Other Receivables,-,43.79,15.41,7.18,3.33,1.59,1.36,1.87,0.54,0.37,0.51
Receivables,142.63,236.62,184.52,143.16,120.51,95.82,76.41,85.1,76.14,54.23,47.94
Prepaid Expenses,93.74,28.54,22.78,10.22,6.75,7.94,7.65,6.86,6.04,2.87,1.46
Other Current Assets,17.1,42.23,25.1,19.39,24.01,17.48,10.05,8.06,7.38,0.29,0.52
Total Current Assets,961.39,878.07,767.16,905.66,959.21,419.85,214.88,259.09,226.5,171.32,156.4
"Property, Plant & Equipment",93.9,76.39,85.8,95.82,102.05,85.09,91.4,17.32,11.9,9.91,8.27
Long-Term Investments,395.65,658.9,211.06,-,-,-,-,-,-,-,-
Goodwill,135.18,23.14,23.14,23.14,23.14,23.14,-,-,-,-,-
Other Intangible Assets,17.33,-,1.26,2.79,4.31,5.85,-,-,-,-,-
Other Long-Term Assets,61.56,27.78,15.49,16.34,19.84,21.57,12.04,8.57,7.24,0.61,0.48
Total Assets,"1,665","1,664","1,104","1,044","1,109",555.48,318.31,284.98,245.64,181.84,165.14
Accounts Payable,5.26,4.31,0.67,2.96,5.32,0.85,1,2.62,0.64,1.29,2.61
Accrued Expenses,180,151.18,115,97.91,93.37,83.2,61.93,51.03,41.26,27.38,22.18
Current Portion of Long-Term Debt,-,250.53,-,-,-,-,-,-,-,-,-
Current Portion of Leases,8.99,10.85,10.05,9.87,8.79,-,-,-,-,-,-
Current Unearned Revenue,333.58,290.11,181.05,110.55,104.22,98.59,95.98,87.73,73.49,58.48,45.68
Other Current Liabilities,4.08,2.9,0.01,7.45,0.06,-,0.67,4.96,1.19,1.1,0.85
Total Current Liabilities,531.91,709.89,306.78,228.74,211.77,182.64,159.58,146.34,116.58,88.25,71.32
Long-Term Debt,451.75,450.24,250.48,248.96,225.33,218.46,-,-,-,-,-
Long-Term Leases,59.92,42.79,51.31,57.63,68.69,54.54,57.04,-,-,-,-
Long-Term Unearned Revenue,7.93,2.21,0.89,1.5,2.57,2.78,5.46,6.49,6.61,3.56,3.1
Pension & Post-Retirement Benefits,-,2.95,2.74,2.36,2.88,2.73,2.55,2.39,1.78,1.66,1.53
Other Long-Term Liabilities,8.65,0.54,2.06,2.41,0.71,0.27,0.15,4.39,6.03,5.63,5.62
Total Liabilities,"1,060","1,209",614.26,541.61,511.94,461.41,224.78,159.61,131,99.1,81.56
Common Stock,0.12,0.11,0.11,0.11,0.11,0.1,0.03,0.03,0.03,0.03,0.03
Additional Paid-In Capital,"1,428","1,193","1,143","1,055","1,018",395.35,310.68,266.94,223.87,189.34,172.33
Retained Earnings,-841.7,-740.16,-644.39,-543.47,-427.6,-310.74,-216.73,-137.97,-109.39,-106.14,-88.43
Comprehensive Income & Other,18.38,2.68,-8.65,-9.56,6.08,9.37,-0.45,-3.63,0.14,-0.48,-0.33
Shareholders' Equity,604.84,455.66,489.65,502.13,596.59,94.07,93.53,125.37,114.64,82.74,83.59
Total Liabilities & Equity,"1,665","1,664","1,104","1,044","1,109",555.48,318.31,284.98,245.64,181.84,165.14
Total Debt,520.67,754.41,311.84,316.46,302.82,273,57.04,-,-,-,-
Net Cash (Debt),582.91,475.18,433.98,416.43,505.12,25.62,63.73,159.08,136.94,113.93,106.48
Net Cash Growth,27.88%,9.49%,4.21%,-17.56%,1871.65%,-59.80%,-59.94%,16.17%,20.20%,7.00%,-4.78%
Net Cash Per Share,5.16,4.26,3.98,3.81,4.80,0.27,0.70,1.83,1.66,1.44,1.41
Filing Date Shares Outstanding,117.9,112.55,109.1,107.62,107.51,95.5,91.82,88.74,84.47,80.52,78.23
Total Common Shares Outstanding,117.9,112.55,109.1,107.67,107.51,95.46,91.75,88.73,84.44,80.47,78.21
Working Capital,429.47,168.19,460.38,676.91,747.44,237.21,55.3,112.75,109.92,83.07,85.09
Book Value Per Share,5.13,4.05,4.49,4.66,5.55,0.99,1.02,1.41,1.36,1.03,1.07
Tangible Book Value,452.33,432.52,465.25,476.2,569.15,65.09,93.53,125.37,114.64,82.74,83.59
Tangible Book Value Per Share,3.84,3.84,4.26,4.42,5.29,0.68,1.02,1.41,1.36,1.03,1.07
Machinery,-,37.01,33.61,34.72,29.98,24.58,21.46,16.04,10.74,9.89,7.9
Leasehold Improvements,-,45.06,45.88,45.52,42.42,37.39,31.29,12.81,9.16,7.46,5.88
