Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cash & Equivalents,962,671,999,"1,137","1,731","1,413",405.08,262.37,-
Short-Term Investments,-,8,69,144,484,48,43.58,9,-
Trading Asset Securities,-,-,-,-,-,-,0,1.11,-
Cash & Short-Term Investments,962,679,"1,068","1,281","2,215","1,461",448.66,272.48,-
Cash Growth,14.93%,-36.42%,-16.63%,-42.17%,51.61%,225.64%,64.66%,-,-
Inventory,"1,053","2,159","1,775","4,460","6,096",466,"1,312","1,362",-
Restricted Cash,490,92,541,654,847,93,279.74,143.4,-
Other Current Assets,82,67,61,70,171,25,44.76,30.49,-
Total Current Assets,"2,587","2,997","3,445","6,466","9,340","2,053","2,088","1,808",-
"Property, Plant & Equipment",40,66,91,99,87,79,95.29,17.98,-
Long-Term Investments,68,59,20,25,5,-,-,-,-
Goodwill,3,3,4,4,60,31,30.95,9.4,-
Other Intangible Assets,-,-,5,12,12,9,12.41,3.74,-
Other Long-Term Assets,2,1,2,2,2,4,5.39,3.01,-
Total Assets,"2,700","3,126","3,567","6,608","9,506","2,176","2,232","1,842",-
Accounts Payable,90,9,2,5,3,3,6.45,6.24,-
Accrued Expenses,9,62,60,109,119,19,31.22,28.58,-
Short-Term Debt,-,-,-,-,7,7,-,-,-
Current Portion of Long-Term Debt,813,432,-,"1,376","4,240",339,"1,074","1,033",-
Current Portion of Leases,1,2,5,7,4,21,13.47,-,-
Other Current Liabilities,1,24,3,8,27,4,1.12,0.78,-
Total Current Liabilities,914,529,70,"1,505","4,400",393,"1,126","1,068",-
Long-Term Debt,966,"1,870","2,510","3,979","2,816",136,362.03,100.5,-
Long-Term Leases,7,13,19,38,42,47,48.44,-,-
Other Long-Term Liabilities,2,1,1,-,-,47,41.91,5.08,-
Total Liabilities,"1,889","2,413","2,600","5,522","7,258",623,"1,579","1,174",-
Additional Paid-In Capital,"4,740","4,438","4,301","4,148","3,955","2,596",57.36,31.2,-
Retained Earnings,"-3,929","-3,725","-3,333","-3,058","-1,705","-1,043",-790.48,-446.06,-
Comprehensive Income & Other,-,-,-1,-4,-2,-,0.02,-0,-
Total Common Equity,811,713,967,"1,086","2,248","1,553",-733.1,-414.86,-
Minority Interest,-,-,-,-,-,-,-,1.49,-
Shareholders' Equity,811,713,967,"1,086","2,248","1,553",652.94,668.52,-
Total Liabilities & Equity,"2,700","3,126","3,567","6,608","9,506","2,176","2,232","1,842",-
Total Debt,"1,787","2,317","2,534","5,400","7,109",550,"1,498","1,133",-
Net Cash (Debt),-825,"-1,638","-1,466","-4,119","-4,894",911,"-1,049",-860.62,-
Net Cash Per Share,-1.13,-2.34,-2.23,-6.57,-8.26,8.33,-13.12,-10.95,-
Filing Date Shares Outstanding,772.85,723.52,679.64,642.56,620.13,577.23,51.78,78.56,39.93
Total Common Shares Outstanding,771.53,719.99,677.64,637.39,616.03,540.71,51.78,78.56,39.93
Working Capital,"1,673","2,468","3,375","4,961","4,940","1,660",961.26,739.98,-
Book Value Per Share,1.05,0.99,1.43,1.70,3.65,2.87,-14.16,-8.54,-
Tangible Book Value,808,710,958,"1,070","2,176","1,513",-776.46,-428,-
Tangible Book Value Per Share,1.05,0.99,1.41,1.68,3.53,2.80,-15.00,-8.81,-
Machinery,10,16,36,37,26,11,17.34,9.51,-
Leasehold Improvements,-,-,2,2,2,2,2.75,1.35,-
