Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Revenue,"4,719","5,153","6,946","15,567","8,021","2,583","4,741","1,838",711.07
Revenue Growth (YoY),-4.45%,-25.81%,-55.38%,94.08%,210.53%,-45.52%,157.93%,158.49%,-
Cost of Revenue,"4,341","4,720","6,459","14,900","7,291","2,361","4,440","1,705",644.72
Gross Profit,378,433,487,667,730,222,301,133.43,66.35
"Selling, General & Admin",488,595,691,"1,352","1,163",320,498,268.64,111.87
Research & Development,86,134,158,166,131,55,51,28.46,16.12
Operating Expenses,574,729,849,"1,518","1,294",375,549,297.1,127.99
Operating Income,-196,-296,-362,-851,-564,-153,-248,-163.67,-61.64
Interest Expense,-135,-133,-211,-385,-143,-68,-110,-60.46,-23.34
Interest & Investment Income,37,53,106,22,3,5,12,2.6,0.25
Other Non Operating Income (Expenses),8,4,-3,3,12,7,7,-18.02,-0.03
EBT Excluding Unusual Items,-286,-372,-470,"-1,211",-692,-209,-339,-239.55,-84.77
Merger & Restructuring Charges,-27,-17,-14,-17,-,-31,-,-,-
Impairment of Goodwill,-,-,-,-60,-,-,-,-,-
Gain (Loss) on Sale of Investments,-3,-7,4,-35,35,-,-,-,-
Gain (Loss) on Sale of Assets,-,14,-,-,-,-,-,-,-
Asset Writedown,-8,-7,-10,-3,-4,-2,-,-,-
Other Unusual Items,8,-2,216,-25,-,-11,-,-,-
Pretax Income,-316,-391,-274,"-1,351",-661,-253,-339,-239.55,-84.77
Income Tax Expense,1,1,1,2,1,-,-,0.38,-
Earnings From Continuing Operations,-317,-392,-275,"-1,353",-662,-253,-339,-239.93,-84.77
Minority Interest in Earnings,-,-,-,-,-,-,-2,-1.36,-0.06
Net Income,-317,-392,-275,"-1,353",-662,-253,-341,-241.29,-84.83
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,7.22,-
Net Income to Common,-317,-392,-275,"-1,353",-662,-253,-341,-248.52,-84.83
Shares Outstanding (Basic),728,699,657,627,593,109,80,79,40
Shares Outstanding (Diluted),728,699,657,627,593,109,80,79,40
Shares Change (YoY),5.72%,6.44%,4.78%,5.83%,442.15%,36.67%,1.80%,96.75%,-
EPS (Basic),-0.44,-0.56,-0.42,-2.16,-1.12,-2.31,-4.26,-3.16,-2.12
EPS (Diluted),-0.44,-0.56,-0.42,-2.16,-1.12,-2.31,-4.36,-3.16,-2.12
Free Cash Flow,887,-620,"2,307",693,"-5,827",665,-300,"-1,200",-221.42
Free Cash Flow Per Share,1.22,-0.89,3.51,1.10,-9.83,6.08,-3.75,-15.27,-5.54
Gross Margin,8.01%,8.40%,7.01%,4.29%,9.10%,8.60%,6.35%,7.26%,9.33%
Operating Margin,-4.15%,-5.74%,-5.21%,-5.47%,-7.03%,-5.92%,-5.23%,-8.91%,-8.67%
Profit Margin,-6.72%,-7.61%,-3.96%,-8.69%,-8.25%,-9.79%,-7.19%,-13.52%,-11.93%
Free Cash Flow Margin,18.80%,-12.03%,33.21%,4.45%,-72.65%,25.75%,-6.33%,-65.27%,-31.14%
EBITDA,-152,-248,-297,-768,-517,-114,-221,-150.89,-54.2
EBITDA Margin,-3.22%,-4.81%,-4.28%,-4.93%,-6.44%,-4.41%,-4.66%,-8.21%,-7.62%
D&A For EBITDA,44,48,65,83,47,39,27,12.78,7.44
EBIT,-196,-296,-362,-851,-564,-153,-248,-163.67,-61.64
EBIT Margin,-4.15%,-5.74%,-5.21%,-5.47%,-7.03%,-5.92%,-5.23%,-8.90%,-8.67%
Advertising Expenses,-,86,75,200,123,33,75,38.9,-
