Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"2,332","1,806","1,957","3,294","4,210","4,254","2,454","2,418","1,913","1,863","1,490"
Market Cap Growth,15.50%,-7.73%,-40.58%,-21.76%,-1.03%,73.37%,1.47%,26.39%,2.68%,25.08%,2.81%
Enterprise Value,"2,615","2,029","2,048","3,701","4,655","4,805","2,536","2,439","1,971","2,011","1,254"
Last Close Price,28.20,21.75,17.79,25.29,31.75,30.30,29.20,33.31,30.98,30.66,27.85
PE Ratio,-,89.09,16.37,18.82,15.83,16.31,4.10,-,10.02,24.44,1.82
Forward PE,18.57,15.98,8.53,10.67,13.95,14.44,12.42,14.27,13.86,17.36,19.03
PS Ratio,2.44,1.78,1.72,3.01,2.94,2.47,1.89,1.99,1.62,1.75,1.28
PB Ratio,1.53,1.18,1.00,1.41,1.87,1.91,17.62,-2.80,-1.34,-1.12,-0.76
P/TBV Ratio,5.96,8.97,3.77,4.59,5.89,6.50,-,-,-,-,-
P/FCF Ratio,8.79,5.67,9.09,9.09,11.80,13.36,9.62,5.87,4.61,5.81,5.06
P/OCF Ratio,6.67,4.50,6.60,7.41,9.48,10.44,7.02,4.79,3.77,4.75,4.01
PEG Ratio,-,-,-,1.85,2.32,3.27,1.40,1.45,1.17,1.53,1.64
EV/Sales Ratio,2.60,2.00,1.80,3.38,3.25,2.79,1.95,2.00,1.66,1.89,1.08
EV/EBITDA Ratio,9.62,7.21,4.94,7.96,10.64,12.13,4.65,4.67,2.93,4.59,3.43
EV/EBIT Ratio,17.09,12.37,7.17,11.15,15.10,17.47,6.46,6.39,3.59,6.02,4.45
EV/FCF Ratio,9.86,6.37,9.51,10.22,13.05,15.08,9.94,5.92,4.75,6.27,4.26
Debt / Equity Ratio,0.21,0.19,0.06,0.19,0.22,0.23,0.99,-0.04,-0.07,-0.14,-0.01
Debt / EBITDA Ratio,1.16,1.01,0.27,0.93,1.09,1.28,0.25,0.06,0.16,0.54,0.05
Debt / FCF Ratio,1.23,0.91,0.53,1.22,1.37,1.64,0.54,0.08,0.26,0.73,0.07
Asset Turnover,0.32,0.31,0.34,0.33,0.42,0.53,0.47,0.50,0.49,0.49,0.69
Inventory Turnover,-,-,-,2.22,3.70,7.15,7.09,6.86,6.64,7.76,14.70
Quick Ratio,0.54,0.55,0.75,0.62,0.61,0.75,0.91,1.12,0.76,0.56,1.27
Current Ratio,0.62,0.64,1.01,0.79,0.86,1.09,1.25,1.34,0.96,0.72,1.42
Return on Equity (ROE),0.87%,4.17%,4.85%,7.67%,11.98%,25.71%,-,-,-,-,-
Return on Assets (ROA),3.00%,3.16%,5.27%,6.17%,5.60%,5.31%,8.90%,9.77%,14.23%,9.56%,10.40%
Return on Capital (ROIC),4.90%,5.26%,7.36%,7.53%,7.02%,11.35%,-,-,-,-,-
Return on Capital Employed (ROCE),7.00%,7.50%,10.80%,13.00%,11.80%,9.80%,16.00%,18.10%,29.40%,17.20%,18.40%
Earnings Yield,-1.41%,1.12%,6.11%,5.31%,6.31%,6.76%,5.31%,4.51%,1.74%,6.09%,2.79%
FCF Yield,11.37%,17.65%,11.00%,11.00%,8.48%,7.49%,10.40%,17.04%,21.71%,17.22%,19.77%
Dividend Yield,2.98%,3.86%,4.72%,3.32%,2.52%,2.51%,-,-,-,-,-
Payout Ratio,-,382.09%,79.64%,57.27%,36.28%,35.77%,37.51%,52.99%,238.00%,79.73%,222.78%
Buyback Yield / Dilution,20.85%,19.66%,4.57%,1.46%,-3.52%,4.92%,-105.10%,56.12%,-172.64%,65.33%,-307.24%
Total Shareholder Return,23.83%,23.52%,9.29%,4.78%,-1.00%,7.43%,-105.10%,56.12%,-172.64%,65.33%,-307.24%
