Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Revenue,"1,005","1,013","1,136","1,095","1,433","1,721","1,300","1,218","1,185","1,066","1,163"
Revenue Growth (YoY),-9.92%,-10.86%,3.71%,-23.56%,-16.75%,32.44%,6.73%,2.78%,11.11%,-8.29%,15.45%
Cost of Revenue,270.97,269.29,268.89,218.09,547.86,883.82,432.79,355.63,342,308.71,457.06
Gross Profit,733.54,743.36,867.12,877.25,885.04,837.33,866.8,862.01,842.66,757.53,705.54
"Selling, General & Admin",539.08,538.54,531.5,493.31,528.59,514.23,440.54,425.83,416.92,380,392.63
Research & Development,2.53,2.63,3.12,4.54,4.15,3.34,2.38,1.22,1.42,3.11,2.93
Amortization of Goodwill & Intangibles,38.93,38.19,47.03,47.56,43.94,44.75,55.53,53.29,52.8,46.12,33.05
Other Operating Expenses,-,-,-,-,-,-,-24.58,-,-177.17,-5.45,-4.82
Operating Expenses,580.54,579.36,581.64,545.42,576.68,562.32,473.86,480.34,293.97,423.78,423.79
Operating Income,153,164,285.48,331.84,308.36,275.01,392.94,381.67,548.69,333.75,281.75
Interest Expense,-21.09,-17.22,-0.66,-14.65,-11.14,-11.96,-,-,-,-,-
Earnings From Equity Investments,6.78,11.97,-0.3,16.07,23.51,21.07,12.54,5.66,1.17,14.75,21.65
Other Non Operating Income (Expenses),100.01,102.18,20.83,6.31,54.46,-15.39,8.84,-3.56,-18.7,0.61,-1.69
EBT Excluding Unusual Items,238.69,260.93,305.36,339.56,375.19,268.74,414.32,383.76,531.17,349.11,301.71
Merger & Restructuring Charges,-5.89,-6.94,-12.61,-17.1,-11.45,-18.1,-19.32,-13.15,-8.34,-15.79,-15.8
Impairment of Goodwill,-126.82,-126.82,-16.5,-54.42,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-11.31,-2.47,-5.3,200.63,-1.02
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-2.42,-
Asset Writedown,-19.42,-17.66,-123.55,-,-18.83,-,-,-,-,-,-
Other Unusual Items,-10.18,-11.46,-6.17,-16.19,-18.01,-,-,-,-,-,-
Pretax Income,19.38,98.05,146.52,251.86,326.9,250.64,383.69,368.14,517.53,531.53,284.88
Income Tax Expense,4.3,25.32,42.3,76.08,58.58,-53.94,92.56,33.46,259.53,81.92,49.72
Earnings From Continuing Operations,15.08,72.73,104.22,175.78,268.32,304.58,291.13,334.68,258.01,449.6,235.16
Earnings From Discontinued Operations,-40.3,-41.9,2.5,-0.89,-,-,0.56,-24.65,-0.16,-0.05,-
Net Income to Company,-25.22,30.83,106.72,174.89,268.32,304.58,291.68,310.03,257.85,449.55,235.16
Minority Interest in Earnings,-7.72,-10.56,12.83,0.14,-2.45,-17.06,-161.32,-200.91,-224.55,-336.13,-193.55
Net Income,-32.94,20.27,119.54,175.03,265.87,287.52,130.36,109.12,33.3,113.43,41.61
Preferred Dividends & Other Adjustments,-,-,-,-,-,26.69,-468.31,118.06,-157.58,37.18,-776.75
Net Income to Common,-32.94,20.27,119.54,175.03,265.87,260.84,598.68,-8.94,190.88,76.25,818.36
Net Income Growth,-,-83.05%,-31.70%,-34.17%,-7.53%,120.55%,19.47%,227.68%,-70.64%,172.56%,7.41%
Shares Outstanding (Basic),87,91,114,119,120,117,67,59,54,50,42
Shares Outstanding (Diluted),87,92,114,120,122,118,124,60,137,50,145
Shares Change (YoY),-20.85%,-19.66%,-4.57%,-1.46%,3.52%,-4.92%,105.10%,-56.12%,172.64%,-65.33%,307.24%
EPS (Basic),-0.38,0.22,1.05,1.47,2.21,2.24,8.93,-0.15,3.57,1.54,19.32
EPS (Diluted),-0.38,0.22,1.04,1.46,2.19,2.22,2.03,-0.15,1.37,1.51,0.97
EPS Growth,-,-78.49%,-28.77%,-33.22%,-1.35%,9.10%,-,-,-9.48%,55.15%,-
Free Cash Flow,265.21,318.78,215.37,362.24,356.79,318.53,255.13,411.95,415.28,320.88,294.48
Free Cash Flow Per Share,3.06,3.47,1.88,3.02,2.93,2.71,2.06,6.83,3.02,6.37,2.03
Dividend Per Share,0.840,0.840,0.840,0.840,0.800,0.760,-,-,-,-,-
Dividend Growth,-,-,-,5.00%,5.26%,-,-,-,-,-,-
Gross Margin,73.02%,73.41%,76.33%,80.09%,61.77%,48.65%,66.70%,70.79%,71.13%,71.05%,60.69%
Operating Margin,15.23%,16.20%,25.13%,30.29%,21.52%,15.98%,30.24%,31.34%,46.32%,31.30%,24.23%
Profit Margin,-3.28%,2.00%,10.52%,15.98%,18.55%,15.15%,46.07%,-0.73%,16.11%,7.15%,70.39%
Free Cash Flow Margin,26.40%,31.48%,18.96%,33.07%,24.90%,18.51%,19.63%,33.83%,35.05%,30.09%,25.33%
EBITDA,271.82,281.63,414.24,465.09,437.47,396.07,545.77,521.83,671.76,437.75,365.91
EBITDA Margin,27.06%,27.81%,36.46%,42.46%,30.53%,23.01%,41.99%,42.86%,56.71%,41.05%,31.47%
D&A For EBITDA,118.82,117.63,128.75,133.25,129.11,121.06,152.83,140.16,123.07,104,84.16
EBIT,153,164,285.48,331.84,308.36,275.01,392.94,381.67,548.69,333.75,281.75
EBIT Margin,15.23%,16.20%,25.13%,30.29%,21.52%,15.98%,30.24%,31.34%,46.32%,31.30%,24.23%
Effective Tax Rate,22.19%,25.82%,28.87%,30.21%,17.92%,-,24.12%,9.09%,50.15%,15.41%,17.45%
Revenue as Reported,"1,005","1,013","1,136","1,095","1,433","1,721","1,300","1,218","1,185","1,066","1,163"
Advertising Expenses,-,6.2,7.8,7,6.5,4.8,5,4.8,4,3.3,3.3
