Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,010","3,053","5,140","2,578","3,752","8,499","6,589","2,322","3,740","3,493","3,597"
Market Cap Growth,63.66%,-40.60%,99.40%,-31.29%,-55.85%,28.98%,183.72%,-37.90%,7.07%,-2.91%,13.57%
Enterprise Value,"3,270","2,537","4,852","2,204","3,278","7,904","5,916","2,108","3,373","2,904","3,357"
Last Close Price,24.01,18.35,31.31,15.92,23.34,53.46,42.78,16.17,30.11,28.84,35.65
PE Ratio,15.38,13.48,-,-,-,-,-,-,-,-,-
Forward PE,35.18,35.90,27.40,-,-,-,-,-,-,-,-
PS Ratio,3.84,3.19,7.08,4.98,7.75,19.24,19.43,10.38,29.94,201.54,58975.40
PB Ratio,4.43,4.17,11.91,6.44,6.94,13.56,9.43,4.85,11.15,6.74,18.01
P/TBV Ratio,5.04,4.98,14.04,6.44,6.94,13.58,9.46,4.89,11.34,6.83,18.01
P/FCF Ratio,20.54,19.42,308.70,-,-,-,-,-,-,-,-
P/OCF Ratio,20.42,19.36,307.78,-,-,-,-,-,-,-,-
EV/Sales Ratio,3.12,2.65,6.68,4.26,6.77,17.89,17.45,9.42,27.01,167.56,55029.65
EV/EBITDA Ratio,30.15,25.33,-,-,-,-,-,-,-,-,-
EV/EBIT Ratio,34.64,30.11,-,-,-,-,-,-,-,-,-
EV/FCF Ratio,16.53,16.14,291.36,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.06,0.07,0.13,0.16,0.12,0.08,0.01,-,-,-,-
Debt / EBITDA Ratio,0.45,0.47,-,-,-,-,-,-,-,-,-
Debt / FCF Ratio,0.28,0.33,3.44,-,-,-,-,-,-,-,-
Asset Turnover,0.91,0.99,1.09,0.80,0.65,0.56,0.51,0.48,0.26,0.04,0
Inventory Turnover,9.53,13.33,18.53,51.22,29.44,35.81,49.94,44.11,34.44,-,-
Quick Ratio,2.77,2.18,2.13,3.82,6.10,6.44,9.83,8.42,7.34,12.59,9.90
Current Ratio,3.02,2.38,2.42,4.04,6.43,6.77,10.16,8.83,7.62,12.87,10.00
Return on Equity (ROE),34.95%,38.89%,-14.73%,-45.89%,-28.75%,-42.47%,-39.93%,-60.22%,-67.80%,-75.58%,-64.58%
Return on Assets (ROA),5.11%,5.44%,-6.86%,-21.70%,-14.37%,-18.66%,-23.29%,-33.45%,-38.65%,-43.55%,-35.40%
Return on Capital (ROIC),7.38%,8.27%,-9.64%,-26.18%,-16.62%,-21.09%,-25.94%,-37.98%,-42.81%,-47.48%,-38.05%
Return on Capital Employed (ROCE),9.70%,10.60%,-14.80%,-48.40%,-28.20%,-34.60%,-34.80%,-51.50%,-87.20%,-52.60%,-77.50%
Earnings Yield,6.43%,7.42%,-1.19%,-8.38%,-4.47%,-3.31%,-3.57%,-10.56%,-7.74%,-7.77%,-4.57%
FCF Yield,4.87%,5.15%,0.32%,-4.42%,-3.38%,-1.69%,-2.31%,-7.30%,-5.84%,-6.01%,-3.45%
Buyback Yield / Dilution,-1.70%,-1.55%,-1.32%,-0.74%,-2.01%,-6.88%,-16.29%,-3.25%,-5.82%,-15.13%,-3.48%
