Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"5,203","4,147","2,882","1,359",-,-,-,-
Market Cap Growth,11.49%,43.89%,112.13%,-,-,-,-,-
Enterprise Value,"4,679","3,536","2,508","1,165",-,-,-,-
Last Close Price,89.98,76.69,55.50,30.98,-,-,-,-
PS Ratio,138.80,38.42,26.13,-,-,-,-,-
PB Ratio,11.79,9.12,5.94,6.63,-,-,-,-
P/TBV Ratio,11.80,9.12,5.94,6.63,-,-,-,-
P/FCF Ratio,-,-,15.48,-,-,-,-,-
P/OCF Ratio,-,-,13.88,-,-,-,-,-
EV/Sales Ratio,130.33,32.76,22.74,-,-,-,-,-
EV/FCF Ratio,-,-,13.47,-,-,-,-,-
Debt / Equity Ratio,0.12,0.12,0.20,0.43,-,-,-,-
Debt / FCF Ratio,-,-,0.52,-,-,-,-,-
Asset Turnover,0.05,0.14,0.19,-,-,-,-,-
Quick Ratio,3.93,4.68,5.94,4.50,7.05,8.84,11.38,8.00
Current Ratio,3.99,4.78,6.06,4.71,7.60,9.36,12.53,8.06
Return on Equity (ROE),-47.18%,-22.84%,-20.48%,-119.11%,-80.01%,-71.91%,-68.23%,-
Return on Assets (ROA),-21.34%,-11.19%,-9.86%,-54.02%,-43.58%,-39.61%,-37.82%,-
Return on Capital (ROIC),-29.13%,-15.75%,-12.82%,-59.04%,-50.04%,-44.95%,-42.65%,-
Earnings Yield,-4.19%,-2.59%,-2.45%,-13.89%,-,-,-,-
FCF Yield,-3.87%,-2.34%,6.46%,-7.48%,-,-,-,-
Buyback Yield / Dilution,-5.97%,-11.45%,-32.20%,-8044.59%,-56.02%,-34.84%,-28.15%,-
