Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,79.01,105.68,394.58,64.18,30.83,46.6,34.58,14.53
Short-Term Investments,382.38,481.7,307.43,190.66,73.78,-,-,-
Cash & Short-Term Investments,461.38,587.38,702.02,254.84,104.62,46.6,34.58,14.53
Cash Growth,-19.66%,-16.33%,175.48%,143.59%,124.52%,34.76%,137.98%,-
Prepaid Expenses,6.6,5.85,5.68,3.67,2.05,1.21,0.62,0.1
Restricted Cash,-,0.21,1.9,-,-,-,-,-
Other Current Assets,-,5.88,6.76,8.36,6.14,1.55,2.87,-
Total Current Assets,472.08,599.31,716.36,266.86,112.81,49.36,38.07,14.63
"Property, Plant & Equipment",66.3,70.25,69.83,39.89,10.32,4.9,4.33,0.82
Long-Term Investments,114.59,38.28,27.17,-,-,-,-,-
Long-Term Deferred Charges,0.33,1.08,9.36,4.56,5.46,1.76,-,-
Other Long-Term Assets,2.62,2.42,2.42,2.5,0.2,1.68,1.19,0.37
Total Assets,655.92,711.33,825.13,313.82,128.78,57.69,43.59,15.81
Accounts Payable,4.2,2.1,2.62,9.05,1.33,0.5,1.75,1.05
Accrued Expenses,23.13,35.48,18.3,11.68,11.88,4,1.12,0.77
Current Portion of Leases,7.47,7.54,46.78,35.96,-,-,-,-
Current Unearned Revenue,59.75,59.06,50.53,-,-,-,-,-
Other Current Liabilities,23.84,21.24,-,-,1.63,0.77,0.17,-
Total Current Liabilities,118.39,125.41,118.24,56.69,14.85,5.27,3.04,1.82
Long-Term Leases,44.32,46.54,50.84,52.17,-,-,-,-
Long-Term Unearned Revenue,52.43,76,170.67,-,-,-,-,-
Other Long-Term Liabilities,-,8.59,-,-,2.07,1.88,1.83,0.04
Total Liabilities,215.14,256.54,339.75,108.86,16.92,7.15,4.87,1.85
Common Stock,0.06,0.05,0.05,0.04,0,0,0,0
Additional Paid-In Capital,"1,108",950.72,874.26,523.92,8.62,1.42,0.31,0.14
Retained Earnings,-667.65,-496.83,-389.48,-318.79,-130.11,-65.14,-33.05,-15.08
Comprehensive Income & Other,0.71,0.85,0.55,-0.22,-0.02,-,-,-
Total Common Equity,440.78,454.79,485.38,204.95,-121.52,-63.72,-32.74,-14.94
Shareholders' Equity,440.78,454.79,485.38,204.95,111.86,50.54,38.72,13.96
Total Liabilities & Equity,655.92,711.33,825.13,313.82,128.78,57.69,43.59,15.81
Total Debt,51.79,54.08,97.63,88.13,-,-,-,-
Net Cash (Debt),524.18,571.57,631.56,166.7,104.62,46.6,34.58,14.53
Net Cash Growth,-14.26%,-9.50%,278.85%,59.35%,124.52%,34.76%,137.98%,-
Net Cash Per Share,9.47,10.67,13.14,4.59,234.37,162.86,162.96,87.75
Filing Date Shares Outstanding,57.82,54.94,52.8,47.84,35.74,0.33,0.26,0.17
Total Common Shares Outstanding,57.78,54.29,52.28,44.11,0.54,0.33,0.26,0.17
Working Capital,353.69,473.91,598.13,210.17,97.96,44.09,35.03,12.81
Book Value Per Share,7.63,8.38,9.28,4.65,-223.29,-190.97,-128.00,-90.20
Tangible Book Value,440.78,454.79,485.38,204.95,-121.52,-63.72,-32.74,-14.94
Tangible Book Value Per Share,7.63,8.38,9.28,4.65,-223.29,-190.97,-128.00,-90.20
Machinery,-,17.1,12.32,9.88,9.32,3.68,2.71,0.93
Construction In Progress,-,0.2,7.79,1.7,0.1,-,-,-
Leasehold Improvements,-,38.37,27.15,2.4,2.36,2.35,2.12,0.06
