Period Ending,"Nov '25Nov 13, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021"
Market Capitalization,"6,830",107,-,-,-
Enterprise Value,"6,830",107,-,-,-
Last Close Price,119.40,6.22,-,-,-
PS Ratio,3640.47,39.66,-,-,-
PB Ratio,1749.08,20.25,-,-,-
P/TBV Ratio,1753.09,20.30,-,-,-
EV/Sales Ratio,3640.39,39.65,-,-,-
Debt / Equity Ratio,0.02,0.03,-0.35,0.96,-3.12
Debt / EBITDA Ratio,-,-,-,0.33,0.98
Debt / FCF Ratio,-,-,-,0.60,18.19
Asset Turnover,0.66,0.75,2.29,2.51,-
Quick Ratio,0.94,1.19,0.36,0.99,0.40
Current Ratio,7.11,6.69,0.36,1.18,0.59
Return on Equity (ROE),-198.06%,-72.31%,-,-,-
Return on Assets (ROA),-62.02%,-27.32%,-66.53%,40.18%,-
Return on Capital (ROIC),-112.84%,-40.34%,-1146.94%,66.54%,-
Return on Capital Employed (ROCE),-72.70%,-29.60%,171.10%,232.40%,-417.30%
Earnings Yield,-0.04%,-1.48%,-,-,-
FCF Yield,-0.09%,-5.84%,-,-,-
Buyback Yield / Dilution,-10.19%,-2.84%,-,-,-
