Period Ending,"Mar '25Mar 31, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021"
Revenue,1.88,2.7,2.81,3.4,3.56
Revenue Growth (YoY),-46.55%,-3.91%,-17.32%,-4.67%,-
Cost of Revenue,1.86,2.28,2.18,2.06,1.97
Gross Profit,0.02,0.41,0.63,1.34,1.59
"Selling, General & Admin",2.86,1.98,1.93,0.47,0.43
Operating Expenses,2.86,1.98,1.93,0.47,0.43
Operating Income,-2.84,-1.57,-1.3,0.87,1.17
Interest Expense,-0.01,-0.02,-0.01,-0.03,-0.03
Interest & Investment Income,0,0,0,0,0
Other Non Operating Income (Expenses),0,-,0,0.01,0.01
EBT Excluding Unusual Items,-2.85,-1.58,-1.31,0.85,1.14
Other Unusual Items,0,0,0.02,0.06,-
Pretax Income,-2.85,-1.58,-1.29,0.92,1.15
Income Tax Expense,-0.03,-,0,0.12,0.08
Net Income,-2.82,-1.58,-1.29,0.8,1.07
Net Income to Common,-2.82,-1.58,-1.29,0.8,1.07
Net Income Growth,-,-,-,-24.92%,-
Shares Outstanding (Basic),17,15,15,15,15
Shares Outstanding (Diluted),17,15,15,15,15
Shares Change (YoY),10.19%,2.84%,-,-,-
EPS (Basic),-0.17,-0.10,-0.09,0.05,0.07
EPS (Diluted),-0.17,-0.10,-0.09,0.05,0.07
EPS Growth,-,-,-,-24.92%,-
Free Cash Flow,-6.35,-6.25,-1.15,0.6,0.07
Free Cash Flow Per Share,-0.38,-0.41,-0.08,0.04,0.01
Gross Margin,0.84%,15.38%,22.45%,39.42%,44.68%
Operating Margin,-151.42%,-58.00%,-46.45%,25.64%,32.75%
Profit Margin,-150.09%,-58.56%,-45.98%,23.57%,29.93%
Free Cash Flow Margin,-338.53%,-231.65%,-40.82%,17.72%,2.05%
EBITDA,-2.81,-1.53,-1.27,0.91,1.19
EBITDA Margin,-149.69%,-56.73%,-45.27%,26.67%,33.40%
D&A For EBITDA,0.03,0.03,0.03,0.03,0.02
EBIT,-2.84,-1.57,-1.3,0.87,1.17
EBIT Margin,-151.42%,-58.00%,-46.45%,25.64%,32.75%
Effective Tax Rate,-,-,-,12.69%,7.31%
