Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,413.38,891.91,458.02,857.75,932.07,833.84,416.76,256.08,375.48,223.89,254.93
Cash & Short-Term Investments,413.38,891.91,458.02,857.75,932.07,833.84,416.76,256.08,375.48,223.89,254.93
Cash Growth,-19.12%,94.73%,-46.60%,-7.97%,11.78%,100.08%,62.75%,-31.80%,67.71%,-12.18%,-73.21%
Accounts Receivable,441.99,433.52,431.6,407.73,458.12,335.99,343.96,418.89,454.05,377.18,351.16
Other Receivables,-,39.82,102.01,93.19,93.25,76.01,144.76,95.68,82.59,122.42,153.19
Receivables,441.99,473.34,533.62,500.93,551.37,412,488.72,514.57,536.64,499.6,504.35
Inventory,549.57,453.46,426.77,439.77,459.56,308.7,281.05,387.96,304.46,281.33,253.23
Prepaid Expenses,64.51,61.29,58.02,38.59,35.96,33.75,37.81,32.54,26.55,20.85,19.56
Restricted Cash,-,3.1,3.42,-,-,-,-,60.93,-,-,-
Other Current Assets,38.64,27.72,0.47,39.35,9.84,6.63,8.18,-,-,-,-
Total Current Assets,"1,508","1,911","1,480","1,876","1,989","1,595","1,233","1,252","1,243","1,026","1,032"
"Property, Plant & Equipment","5,349","4,198","4,412","4,155","3,686","3,677","3,576","3,025","2,998","3,117","3,159"
Long-Term Investments,472.88,101.44,184.25,197.08,217.32,194.03,193.47,202.44,193.42,201.9,228.67
Long-Term Deferred Tax Assets,23.87,204.09,152.25,46.35,98.17,137.52,111.61,59.53,102.34,137.34,61.88
Other Long-Term Assets,174.14,183.27,197.97,356.39,99.19,92.53,82.81,69.86,73.52,74.28,74.52
Total Assets,"7,528","6,597","6,427","6,631","6,090","5,696","5,197","4,609","4,611","4,557","4,556"
Accounts Payable,540.22,546.31,771.87,789.2,835.95,600.95,493.75,617.41,626.82,523.22,508.64
Current Portion of Long-Term Debt,41.18,13.73,314.72,15.13,11.78,39.77,38.42,383.79,55.91,54,47.86
Current Portion of Leases,117.56,122.74,120.73,108.74,98.3,97.52,89.82,9.23,-,-,-
Other Current Liabilities,23.56,46.84,94.99,29.55,17.19,27.15,26.25,36.91,65.23,29.72,25.44
Total Current Liabilities,722.52,729.62,"1,302",942.62,963.22,765.39,648.25,"1,047",747.95,606.93,581.94
Long-Term Debt,"2,789","2,401","1,827","2,136","2,146","2,324","1,730","1,074","1,446","1,502","1,488"
Long-Term Leases,667.13,695.46,751.39,761.43,618.8,624.72,628.69,190.53,-,-,-
Long-Term Deferred Tax Liabilities,327.68,239.11,217.84,227,212.71,213.39,272.82,281.21,266.43,290.98,285.64
Other Long-Term Liabilities,150.52,150.46,154.92,134.6,193.75,327.49,286.07,207.57,404.89,351.19,231.75
Total Liabilities,"4,657","4,216","4,254","4,202","4,135","4,255","3,566","2,801","2,866","2,751","2,587"
Common Stock,731.7,392.2,391.92,401.3,432.73,440.72,440.47,446.54,480.33,511.47,509.46
Additional Paid-In Capital,2.08,1.95,1.84,1.9,1.93,1.87,1.78,1.6,2.12,2.57,2.43
Retained Earnings,"1,757","1,629","1,514","1,467","1,252",843.61,"1,040","1,145","1,088","1,124","1,236"
Comprehensive Income & Other,78.97,70.02,22.9,241.94,-2.72,-137.1,-150.39,-82.4,-69.84,-41.3,-27.78
Total Common Equity,"2,570","2,094","1,931","2,112","1,684","1,149","1,332","1,511","1,501","1,597","1,720"
Minority Interest,300.83,287.71,242.09,317.44,271.16,292.36,298.68,296.63,244.35,208.52,248.84
Shareholders' Equity,"2,871","2,381","2,173","2,429","1,955","1,441","1,630","1,808","1,745","1,805","1,969"
Total Liabilities & Equity,"7,528","6,597","6,427","6,631","6,090","5,696","5,197","4,609","4,611","4,557","4,556"
Total Debt,"3,615","3,233","3,014","3,022","2,875","3,086","2,487","1,658","1,502","1,556","1,536"
Net Cash (Debt),"-3,201","-2,341","-2,556","-2,164","-1,943","-2,252","-2,071","-1,402","-1,127","-1,332","-1,281"
Net Cash Per Share,-45.65,-34.65,-37.69,-30.19,-25.49,-29.55,-27.00,-17.33,-12.98,-14.84,-14.02
Filing Date Shares Outstanding,77.34,67.4,67.39,69.04,74.4,76.21,76.2,77.27,83.77,89.82,89.67
Total Common Shares Outstanding,77.34,67.4,67.39,69.24,74.77,76.2,76.2,77.26,83.77,89.82,89.67
Working Capital,785.57,"1,181",178.02,933.76,"1,026",829.53,584.28,204.72,495.18,418.73,450.14
Book Value Per Share,33.23,31.06,28.65,30.50,22.52,15.08,17.48,19.56,17.92,17.78,19.18
Tangible Book Value,"2,570","2,094","1,931","2,112","1,684","1,149","1,332","1,511","1,501","1,597","1,720"
Tangible Book Value Per Share,33.23,31.06,28.65,30.50,22.52,15.08,17.48,19.56,17.92,17.78,19.18
Buildings,"7,592","6,357","4,880","5,001","4,908","4,862","4,788","4,698","4,649","4,550","4,522"
Machinery,242.62,242.46,240.72,240.87,240.53,210.1,201.95,183.42,144.42,-,-
Construction In Progress,-,-,"1,355","1,002",561.86,386.91,155.87,-,-,-,-
