Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"3,569","3,720","3,723","4,311","4,415","2,650","3,284","4,483","3,061","1,998","2,226"
Revenue Growth (YoY),-3.36%,-0.10%,-13.63%,-2.34%,66.59%,-19.30%,-26.75%,46.46%,53.15%,-10.21%,-30.95%
Cost of Revenue,"2,529","2,918","2,984","3,364","3,259","2,269","2,716","3,408","2,352","1,774","1,858"
Gross Profit,"1,041",801.72,739.4,947.19,"1,156",380.84,567.78,"1,075",708.69,224,367.7
"Selling, General & Admin",91.3,91.3,84,82.1,81,86,84.2,-,-,-,-
Other Operating Expenses,-70.69,-102.97,-,-117.95,-,-,-,-,-,-,-
Operating Expenses,430.38,374.03,475.83,336.57,444.08,443.13,428.33,245.3,232.23,228.05,194.85
Operating Income,610.46,427.69,263.57,610.61,711.97,-62.29,139.45,829.62,476.47,-4.05,172.85
Interest Expense,-212.24,-132.63,-117.37,-130.75,-144.41,-164.84,-124.43,-94.42,-94.96,-90.06,-69.86
Interest & Investment Income,27.42,12.42,39.94,25.35,1.04,0.28,3.6,4.27,13.38,4.18,-
Earnings From Equity Investments,-27.9,38.34,99.47,76.94,97.74,29.58,52.22,72,76,19.93,51.84
Other Non Operating Income (Expenses),-42.12,-,-,-,-,-,-,-,-,-,-6.49
EBT Excluding Unusual Items,355.61,345.81,285.61,582.15,666.34,-197.27,70.84,811.48,470.89,-70,148.35
Asset Writedown,-,-124.79,-,-,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,-,32.5,65
Pretax Income,325.61,280.09,285.61,582.15,666.34,-187.43,120.84,811.48,470.89,-37.5,213.35
Income Tax Expense,51.29,29.84,1.49,119.86,110.43,-62.11,4.47,153.49,95.79,-9.28,11
Earnings From Continuing Operations,274.32,250.25,284.12,462.29,555.91,-125.33,116.37,657.98,375.1,-28.23,202.35
Minority Interest in Earnings,-60.61,-86.26,-109.98,-108.46,-73.55,-31.35,-28.6,-89,-58.96,15.68,-1.74
Net Income,213.71,163.99,174.14,353.83,482.36,-156.68,87.77,568.98,316.14,-12.55,200.62
Net Income to Common,213.71,163.99,174.14,353.83,482.36,-156.68,87.77,568.98,316.14,-12.55,200.62
Net Income Growth,40.23%,-5.83%,-50.78%,-26.65%,-,-,-84.58%,79.98%,-,-,-55.87%
Shares Outstanding (Basic),70,67,68,71,76,76,77,80,87,90,91
Shares Outstanding (Diluted),70,68,68,72,76,76,77,81,87,90,91
Shares Change (YoY),3.86%,-0.37%,-5.39%,-5.99%,0.06%,-0.65%,-5.19%,-6.84%,-3.30%,-1.71%,-5.04%
EPS (Basic),3.05,2.43,2.57,4.95,6.34,-2.06,1.15,7.07,3.64,-0.14,2.21
EPS (Diluted),2.98,2.39,2.57,4.86,6.13,-2.06,1.01,6.92,3.64,-0.14,2.01
EPS Growth,40.35%,-6.87%,-47.10%,-20.81%,-,-,-85.40%,90.16%,-,-,-55.80%
Free Cash Flow,927.71,563.11,211.82,409.97,748.93,119.27,191.57,735.73,677.05,126.79,-128.07
Free Cash Flow Per Share,13.23,8.34,3.12,5.72,9.82,1.56,2.50,9.10,7.80,1.41,-1.40
Dividend Per Share,0.740,0.740,0.730,0.620,0.325,0.472,1.410,1.320,1.175,1.100,1.075
Dividend Growth,-,1.37%,17.74%,90.77%,-31.22%,-66.49%,6.82%,12.34%,6.82%,2.33%,13.16%
Gross Margin,29.16%,21.55%,19.86%,21.97%,26.19%,14.37%,17.29%,23.98%,23.16%,11.21%,16.52%
Operating Margin,17.10%,11.50%,7.08%,14.16%,16.13%,-2.35%,4.25%,18.51%,15.57%,-0.20%,7.77%
Profit Margin,5.99%,4.41%,4.68%,8.21%,10.93%,-5.91%,2.67%,12.69%,10.33%,-0.63%,9.01%
Free Cash Flow Margin,25.99%,15.14%,5.69%,9.51%,16.96%,4.50%,5.83%,16.41%,22.12%,6.34%,-5.75%
EBITDA,868.16,661.33,524.64,864.35,961.52,176.43,370.88,"1,059",708.69,224,367.7
EBITDA Margin,24.32%,17.78%,14.09%,20.05%,21.78%,6.66%,11.29%,23.62%,23.16%,11.21%,16.52%
D&A For EBITDA,257.71,233.64,261.07,253.73,249.56,238.72,231.43,229.25,232.23,228.05,194.85
EBIT,610.46,427.69,263.57,610.61,711.97,-62.29,139.45,829.62,476.47,-4.05,172.85
EBIT Margin,17.10%,11.50%,7.08%,14.16%,16.13%,-2.35%,4.25%,18.51%,15.57%,-0.20%,7.77%
Effective Tax Rate,15.75%,10.65%,0.52%,20.59%,16.57%,-,3.70%,18.92%,20.34%,-,5.15%
