Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,765","3,364","3,198","2,650","2,998","3,498","2,946","3,751","5,087","3,938","2,953"
Market Cap Growth,4.77%,5.20%,20.66%,-11.59%,-14.29%,18.72%,-21.46%,-26.26%,29.17%,33.38%,-31.63%
Enterprise Value,"6,243","5,962","6,044","5,061","5,206","6,072","5,210","5,165","6,509","5,442","4,262"
Last Close Price,35.71,49.21,45.88,36.05,37.09,42.85,34.93,42.12,51.84,36.61,26.73
PE Ratio,11.87,20.52,18.36,7.49,6.22,-,33.57,6.59,16.09,-,14.72
PS Ratio,0.77,0.90,0.86,0.62,0.68,1.32,0.90,0.84,1.66,1.97,1.33
PB Ratio,0.96,1.41,1.47,1.09,1.53,2.43,1.81,2.08,2.92,2.18,1.50
P/TBV Ratio,1.08,1.61,1.66,1.25,1.78,3.04,2.21,2.48,3.39,2.47,1.72
P/FCF Ratio,2.98,5.97,15.10,6.46,4.00,29.33,15.38,5.10,7.51,31.06,-
P/OCF Ratio,2.62,4.56,4.84,2.68,3.02,7.59,5.72,3.83,6.52,17.37,9.94
EV/Sales Ratio,1.75,1.60,1.62,1.17,1.18,2.29,1.59,1.15,2.13,2.72,1.92
EV/EBITDA Ratio,7.19,9.02,11.52,5.86,5.42,34.42,14.05,4.88,9.19,24.30,11.59
EV/EBIT Ratio,10.23,13.94,22.93,8.29,7.31,-,37.36,6.23,13.66,-,24.66
EV/FCF Ratio,6.73,10.59,28.53,12.34,6.95,50.92,27.20,7.02,9.61,42.92,-
Debt / Equity Ratio,1.26,1.36,1.39,1.24,1.47,2.14,1.53,0.92,0.86,0.86,0.78
Debt / EBITDA Ratio,3.54,3.97,4.60,3.07,2.67,10.47,5.14,1.54,2.12,6.95,4.18
Debt / FCF Ratio,3.90,5.74,14.23,7.37,3.84,25.87,12.98,2.25,2.22,12.27,-
Asset Turnover,0.51,0.57,0.57,0.68,0.75,0.49,0.67,0.97,0.67,0.44,0.48
Inventory Turnover,5.28,6.63,6.89,7.48,8.48,7.70,8.12,9.84,8.03,6.64,6.64
Quick Ratio,1.18,1.87,0.76,1.44,1.54,1.63,1.40,0.74,1.22,1.19,1.31
Current Ratio,2.09,2.62,1.14,1.99,2.07,2.08,1.90,1.20,1.66,1.69,1.77
Return on Equity (ROE),10.60%,10.99%,12.35%,21.09%,32.74%,-8.16%,6.77%,37.04%,21.13%,-1.50%,10.06%
Return on Assets (ROA),5.45%,4.11%,2.52%,6.00%,7.55%,-0.71%,1.78%,11.25%,6.50%,-0.06%,2.32%
Return on Capital (ROIC),6.49%,4.95%,3.10%,7.42%,9.51%,-0.90%,2.30%,15.45%,9.01%,-0.07%,2.96%
Return on Capital Employed (ROCE),9.00%,7.30%,5.10%,10.70%,13.90%,-1.30%,3.10%,23.30%,12.30%,-0.10%,4.30%
Earnings Yield,7.73%,4.88%,5.45%,13.35%,16.09%,-4.48%,2.98%,15.17%,6.21%,-0.32%,6.79%
FCF Yield,33.55%,16.74%,6.62%,15.47%,24.98%,3.41%,6.50%,19.61%,13.31%,3.22%,-4.34%
Dividend Yield,2.09%,1.50%,1.59%,1.72%,0.88%,1.10%,4.04%,3.13%,2.27%,3.00%,4.02%
Payout Ratio,24.84%,30.41%,28.36%,12.42%,5.11%,-,122.91%,18.57%,32.10%,-,48.46%
Buyback Yield / Dilution,-3.87%,0.37%,5.39%,5.99%,-0.06%,0.65%,5.19%,6.84%,3.30%,1.71%,5.04%
Total Shareholder Return,-1.78%,1.88%,6.98%,7.71%,0.81%,1.75%,9.23%,9.97%,5.56%,4.71%,9.06%
