Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,184","3,882","3,926","3,248","5,732","9,158","2,467","2,199","1,975","2,873","4,356"
Market Cap Growth,-32.25%,-1.13%,20.88%,-43.33%,-37.41%,271.16%,12.20%,11.34%,-31.24%,-34.06%,211.24%
Enterprise Value,"3,542","3,991","4,355","3,149","5,183","8,768","1,979","1,696","1,604","2,476","3,908"
Last Close Price,32.54,42.07,47.82,46.33,84.09,138.43,42.71,43.48,46.38,70.31,112.18
PS Ratio,5.03,6.93,9.04,8.94,16.31,33.79,23.79,42.71,756.23,21600.43,-
PB Ratio,193.46,14.80,14.26,9.21,6.21,7.93,3.77,3.61,5.15,6.06,8.20
P/TBV Ratio,-,119.17,60.65,21.95,7.67,9.36,5.14,5.05,10.00,6.06,8.20
EV/Sales Ratio,5.62,7.12,10.03,8.67,14.75,32.35,19.08,32.94,614.17,18619.75,-
Debt / Equity Ratio,53.41,3.47,3.39,2.57,0.43,0.33,0.54,-,-,-,-
Asset Turnover,0.46,0.37,0.29,0.24,0.21,0.19,0.11,0.09,0.01,0,-
Inventory Turnover,16.63,19.62,22.84,34.15,35.05,34.01,39.37,75.47,-,-,-
Quick Ratio,1.59,2.13,2.32,3.04,4.33,6.51,7.80,6.47,3.52,6.31,15.65
Current Ratio,1.89,2.37,2.61,3.38,4.72,6.83,8.24,6.99,3.80,6.67,16.13
Return on Equity (ROE),-313.43%,-211.71%,-193.22%,-110.96%,-43.72%,-20.64%,-63.79%,-39.83%,-70.48%,-48.93%,-40.67%
Return on Assets (ROA),-24.92%,-22.37%,-23.43%,-26.44%,-14.54%,-14.25%,-28.58%,-38.35%,-39.14%,-28.18%,-24.38%
Return on Capital (ROIC),-31.69%,-28.12%,-28.81%,-31.49%,-16.72%,-16.22%,-32.83%,-46.78%,-47.08%,-30.84%,-25.79%
Return on Capital Employed (ROCE),-64.00%,-46.20%,-47.00%,-50.50%,-28.50%,-21.00%,-41.10%,-57.60%,-76.90%,-51.60%,-27.80%
Earnings Yield,-18.55%,-14.66%,-15.45%,-21.78%,-7.92%,-2.04%,-16.32%,-8.99%,-15.30%,-8.56%,-3.34%
FCF Yield,-14.44%,-10.86%,-13.22%,-15.29%,-7.18%,-1.92%,-15.00%,-13.40%,-12.99%,-5.96%,-2.55%
Buyback Yield / Dilution,-12.26%,-23.11%,-5.19%,-3.13%,-11.42%,-7.54%,-13.66%,-17.25%,-7.24%,-7.62%,-27.91%
