Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,202.51,173.73,213.58,132.94,307.58,713.53,433.58,113.43,100.49,161.12,93.57
Short-Term Investments,222.74,436.3,363.63,614.82,432.61,488.01,321.65,346.27,134.01,219.03,343.43
Cash & Short-Term Investments,425.25,610.03,577.21,747.76,740.2,"1,202",755.23,459.71,234.49,380.15,437
Cash Growth,-30.00%,5.68%,-22.81%,1.02%,-38.40%,59.09%,64.28%,96.04%,-38.31%,-13.01%,133.08%
Accounts Receivable,112.54,121.8,73.39,40.45,28.43,23.09,32.84,12.74,5.17,-,-
Other Receivables,3.8,1.8,1.1,6.4,16,9.6,17.8,11.1,10.3,-,-
Receivables,116.34,123.6,74.49,46.85,44.43,32.69,50.64,23.84,15.47,-,-
Inventory,52.2,45.01,33.97,26.77,16.23,13.05,11.55,7.07,0.76,-,-
Prepaid Expenses,39.59,31.68,44.51,-,55.75,37.18,33.44,30.99,18.4,20.14,13.06
Restricted Cash,9.83,6.81,2.01,0.86,-,10.85,0.16,0.27,0.46,1.41,0.15
Other Current Assets,-,-,-,61.66,-,-,-,0.5,-,-,-
Total Current Assets,643.21,817.12,732.18,883.9,856.6,"1,295",851.02,522.37,269.58,401.7,450.21
"Property, Plant & Equipment",249.96,291.43,314.47,285.73,176.18,114.04,74.68,20.05,21.84,17.06,7.37
Long-Term Investments,22.07,135,199.9,148.97,293.86,165.88,32.93,-,9.98,117.96,99.26
Goodwill,44.41,44.41,44.41,44.41,44.41,44.41,44.41,44.41,44.41,-,-
Other Intangible Assets,172.94,178.31,166.27,160.11,130.79,131.11,129,129.22,141.55,-,-
Other Long-Term Assets,57.86,37.18,33.79,22.34,20.56,6.71,3.47,3.51,3.41,3.91,2.73
Total Assets,"1,190","1,503","1,491","1,545","1,522","1,760","1,135",719.56,490.75,540.63,559.57
Accounts Payable,40.57,38.76,42.11,43.27,17.14,12.92,12.87,12.28,8.89,5.36,2.94
Accrued Expenses,220.53,240.97,196.49,204.68,145.56,108.49,83.19,62.45,52.46,40.9,24.78
Current Portion of Long-Term Debt,65.55,49.85,29.24,-,-,-,-,-,-,-,-
Current Portion of Leases,12.14,10.3,12.6,11.78,11.07,8.98,7.24,-,-,-,-
Current Unearned Revenue,-,-,-,1.48,7.61,59.22,-,-,5.99,-,-
Other Current Liabilities,1.24,4.28,-,-,-,-,-,-,3.68,13.99,0.19
Total Current Liabilities,340.02,344.15,280.44,261.21,181.37,189.61,103.3,74.73,71.01,60.26,27.92
Long-Term Debt,763.74,819.82,862.33,875.44,351.79,335.67,315.37,-,-,-,-
Long-Term Leases,21.69,30.04,30.57,19.81,30.9,39.25,29.76,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,1.47,7.35,-,-,-,-,-
Long-Term Deferred Tax Liabilities,30.06,30.06,30.06,31.67,33.31,33.31,33.31,31.17,31.17,-,-
Other Long-Term Liabilities,18.78,17.08,12.21,4.82,1.01,-,-,4.76,5.12,6.39,0.56
Total Liabilities,"1,174","1,241","1,216","1,193",599.84,605.18,481.73,110.65,107.3,66.65,28.48
Common Stock,0.1,0.09,0.08,0.07,0.07,0.07,0.06,0.05,0.04,0.04,0.04
Additional Paid-In Capital,"4,412","4,213","3,662","3,140","2,997","2,773","2,087","1,640","1,222","1,004",816.58
Retained Earnings,"-4,403","-3,957","-3,388","-2,781","-2,074","-1,620","-1,433","-1,030",-832.67,-530.53,-284.66
Treasury Stock,-7.99,-3.59,-0.43,-,-,-,-,-,-,-,-
Comprehensive Income & Other,8.81,2.95,1.08,-6.57,-1.4,0.69,-0.15,-0.63,-5.68,0.91,-0.87
Total Common Equity,9.16,255.3,275.41,352.49,922.56,"1,154",653.76,608.91,383.45,473.97,531.09
Minority Interest,7,7,-,-,-,-,-,-,-,-,-
Shareholders' Equity,16.16,262.3,275.41,352.49,922.56,"1,154",653.76,608.91,383.45,473.97,531.09
Total Liabilities & Equity,"1,190","1,503","1,491","1,545","1,522","1,760","1,135",719.56,490.75,540.63,559.57
Total Debt,863.11,910.01,934.74,907.03,393.76,383.89,352.36,-,-,-,-
Net Cash (Debt),-415.8,-164.98,-157.63,-10.3,605.37,828.15,408.04,459.71,234.49,380.15,437
Net Cash Growth,-,-,-,-,-26.90%,102.96%,-11.24%,96.04%,-38.31%,-13.01%,133.08%
