Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,630.6,560.23,434.25,363.33,351.41,271.03,103.71,51.5,2.61,0.13,-
Revenue Growth (YoY),20.63%,29.01%,19.52%,3.39%,29.66%,161.32%,101.41%,1871.48%,1863.91%,-,-
Cost of Revenue,794.41,774.59,693.66,734.11,513.16,418.21,366.36,295.14,231.65,183.2,114.74
Gross Profit,-163.82,-214.36,-259.41,-370.78,-161.76,-147.18,-262.65,-243.65,-229.03,-183.07,-114.74
"Selling, General & Admin",343.56,321.61,309.8,278.14,219.98,182.93,161.52,127.72,93.91,64.94,33
Research & Development,36.62,-,-,-,-,-,-,-,-,-,-
Operating Expenses,380.18,321.61,309.8,278.14,219.98,182.93,161.52,127.72,93.91,64.94,33
Operating Income,-544,-535.97,-569.21,-648.92,-381.74,-330.12,-424.17,-371.37,-322.94,-248.01,-147.74
Interest Expense,-58.05,-63.04,-66,-43.02,-29.42,-33.29,-1.14,-,-,-,-
Interest & Investment Income,28.04,36.51,26.69,11.07,1.93,7.04,13.24,9.54,4.07,3.79,2.32
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-1.62,-0.2
Other Non Operating Income (Expenses),-1.67,-3.96,-0.34,-1.57,-1.69,0.61,-0.79,-0.32,10.02,-,-
EBT Excluding Unusual Items,-575.68,-566.47,-608.86,-682.43,-410.92,-355.76,-412.86,-362.15,-308.85,-245.84,-145.62
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-6,-,-
Gain (Loss) on Sale of Investments,-1.04,-1.12,0.4,-19.3,-42.06,170.4,13.41,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,165.05,-3.49,-,-
Pretax Income,-576.72,-567.59,-608.46,-701.73,-452.98,-185.36,-399.44,-197.1,-318.34,-245.84,-145.62
Income Tax Expense,3.11,1.6,-1.83,5.7,1.04,1.21,3.28,0.51,-16.2,0.04,-
Net Income,-579.83,-569.18,-606.64,-707.42,-454.03,-186.57,-402.73,-197.61,-302.14,-245.87,-145.62
Net Income to Common,-579.83,-569.18,-606.64,-707.42,-454.03,-186.57,-402.73,-197.61,-302.14,-245.87,-145.62
Shares Outstanding (Basic),98,91,74,70,68,61,57,50,42,40,37
Shares Outstanding (Diluted),98,91,74,70,68,61,57,50,42,40,37
Shares Change (YoY),12.26%,23.11%,5.19%,3.13%,11.42%,7.54%,13.66%,17.25%,7.24%,7.62%,27.91%
EPS (Basic),-5.94,-6.29,-8.25,-10.12,-6.70,-3.07,-7.12,-3.97,-7.12,-6.21,-3.96
EPS (Diluted),-5.94,-6.29,-8.25,-10.12,-6.70,-3.07,-7.12,-3.97,-7.12,-6.21,-3.96
Free Cash Flow,-451.39,-421.68,-519.07,-496.59,-411.79,-176.13,-370.22,-294.64,-256.64,-171.16,-110.93
Free Cash Flow Per Share,-4.63,-4.66,-7.06,-7.10,-6.07,-2.90,-6.54,-5.92,-6.04,-4.32,-3.02
Gross Margin,-25.98%,-38.26%,-59.74%,-102.05%,-46.03%,-54.31%,-253.24%,-,-,-,-
Operating Margin,-86.27%,-95.67%,-131.08%,-178.60%,-108.63%,-121.80%,-408.98%,-721.18%,-12363.78%,-186471.43%,-
Profit Margin,-91.95%,-101.60%,-139.70%,-194.70%,-129.20%,-68.84%,-388.31%,-383.75%,-11567.34%,-184867.67%,-
Free Cash Flow Margin,-71.58%,-75.27%,-119.53%,-136.68%,-117.18%,-64.98%,-356.96%,-572.18%,-9825.27%,-128693.99%,-
EBITDA,-508.7,-500.43,-543.2,-630.7,-368.5,-317.86,-415.63,-351.84,-317.12,-244.58,-146.35
EBITDA Margin,-80.67%,-89.33%,-125.09%,-173.59%,-104.86%,-117.28%,-,-,-,-,-
D&A For EBITDA,35.29,35.54,26.01,18.22,13.24,12.26,8.54,19.54,5.83,3.42,1.38
EBIT,-544,-535.97,-569.21,-648.92,-381.74,-330.12,-424.17,-371.37,-322.94,-248.01,-147.74
EBIT Margin,-86.27%,-95.67%,-131.08%,-178.60%,-108.63%,-121.80%,-,-,-,-,-
Revenue as Reported,630.6,560.23,434.25,363.33,351.41,271.03,103.71,51.5,2.61,0.13,-
