Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,053",965.99,862.44,572.4,815.38,739.16,465.68,"2,132","1,631","1,329","1,481"
Short-Term Investments,3.56,4.73,6.2,8.72,11.82,-,-,123.67,5,89.34,39.2
Cash & Short-Term Investments,"1,057",970.73,868.64,581.12,827.2,739.16,465.68,"2,255","1,636","1,419","1,521"
Cash Growth,22.76%,11.75%,49.48%,-29.75%,11.91%,58.73%,-79.35%,37.87%,15.32%,-6.71%,32.11%
Accounts Receivable,344.44,324.96,298.65,191.94,188.48,137.02,116.46,279.19,304.03,220.14,250.08
Other Receivables,-,-,-,-,-,-,-,10.13,33.24,41.35,26.79
Receivables,344.44,324.96,298.65,191.94,188.48,137.02,116.46,289.32,337.27,261.49,276.87
Prepaid Expenses,-,40.94,46.43,45.09,78.95,71.79,55.7,55.59,49.35,37.67,40.09
Restricted Cash,-,-,-,-,0.13,0.14,0.13,1.63,2.87,-,-
Other Current Assets,126.52,61.14,57.59,64.24,123.49,72.09,"3,070",160.9,99.91,125.05,107.4
Total Current Assets,"1,528","1,398","1,271",882.39,"1,218","1,020","3,708","2,763","2,125","1,843","1,945"
"Property, Plant & Equipment",128.58,244.61,290.19,269.8,276.84,192.81,135.51,318.8,315.17,306.25,302.82
Long-Term Investments,20.6,19.3,14.3,14.2,14.2,14.2,5.1,235.06,64.98,122.81,137.39
Goodwill,"2,343","2,311","2,343","2,348","2,412","1,271","1,240","2,727","2,559","1,924","2,245"
Other Intangible Assets,198.34,215.45,305.75,357.75,771.7,230.9,228.32,631.42,663.74,355.45,440.83
Long-Term Deferred Tax Assets,227.49,262.56,259.8,276.95,334.94,293.49,192.5,64.79,66.32,2.51,1.97
Long-Term Deferred Charges,-,-,-,-,-,-,-,4.5,-,-,-
Other Long-Term Assets,97.36,15.37,23.93,33.32,35.37,24.32,"2,855",130.42,73.33,92.07,115.32
Total Assets,"4,543","4,466","4,508","4,183","5,063","3,046","8,365","6,875","5,868","4,646","5,189"
Accounts Payable,26.25,18.26,13.19,13.7,37.87,29.2,20.19,74.91,76.57,62.86,86.88
Accrued Expenses,400.31,298.07,290.91,207.77,199.19,178.9,143.09,243.1,204.88,175.22,191.55
Current Portion of Long-Term Debt,497.59,-,-,-,99.93,-,-,13.75,13.75,20,40
Current Portion of Leases,-,19.21,16.39,14.5,10.62,7.14,9.67,-,-,-,-
Current Unearned Revenue,159.76,166.14,211.28,252.72,262.13,239.09,218.84,360.02,342.48,285.62,258.41
Other Current Liabilities,-,47.78,-,67.67,558.56,45.7,618.38,191.78,162.05,169.69,191.71
Total Current Liabilities,"1,084",549.46,531.77,556.35,"1,168",500.04,"1,010",883.56,799.73,713.39,768.55
Long-Term Debt,"3,548","3,849","3,842","3,836","3,829","3,841","2,890","2,246","1,979","1,582","1,727"
Long-Term Leases,91.85,84.58,98.48,97.41,113.53,83.49,25.99,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,-,1.7,-,-,-
Long-Term Deferred Tax Liabilities,12.24,11.77,26.3,32.63,130.26,17.21,18.29,23.6,35.07,228.8,348.77
Other Long-Term Liabilities,31.55,34.63,28.17,19.52,16.36,17.52,477.88,102.69,63.85,77.71,98.2
Total Liabilities,"4,767","4,529","4,527","4,542","5,258","4,459","4,422","3,257","2,878","2,602","2,942"
Common Stock,0.3,0.29,0.29,0.29,0.28,0.27,0.28,0.28,0.28,0.27,0.27
Additional Paid-In Capital,"8,709","8,756","8,529","8,274","8,164","7,089","11,684","12,022","12,165","11,922","11,486"
Retained Earnings,"-6,176","-6,580","-7,131","-7,783","-8,145","-8,422","1,690","1,259",595.04,290.11,331.39
Treasury Stock,"-2,345","-1,791","-1,033",-482.05,-,-,"-10,310","-10,310","-10,227","-10,177","-9,861"
Comprehensive Income & Other,-412.18,-449.61,-385.47,-369.18,-223.75,-81.45,-136.35,-128.72,-103.57,-166.12,-152.1
Total Common Equity,-223.94,-63.66,-19.55,-359.88,-203.77,"-1,414","2,928","2,843","2,430","1,869","1,805"
Minority Interest,0.11,0,0.48,0.99,9.19,1.68,"1,015",774.36,559.66,174.28,441.69
Shareholders' Equity,-223.83,-63.66,-19.07,-358.88,-194.58,"-1,413","3,943","3,617","2,990","2,043","2,246"
Total Liabilities & Equity,"4,543","4,466","4,508","4,183","5,063","3,046","8,365","6,875","5,868","4,646","5,189"
Total Debt,"4,137","3,953","3,957","3,948","4,053","3,932","2,925","2,259","1,993","1,602","1,767"
Net Cash (Debt),"-3,080","-2,982","-3,088","-3,367","-3,226","-3,192","-2,460",-4,-357.42,-183.96,-238.77
Net Cash Per Share,-11.53,-10.69,-10.53,-11.40,-10.58,-12.47,-12.19,-0.02,-1.94,-1.06,-1.25
Filing Date Shares Outstanding,236.07,250.43,268.01,279.32,285.15,268.97,176.24,174.12,171.7,161.08,172.58
Total Common Shares Outstanding,239.01,251.46,268.89,279.63,283.47,267.33,176.07,174.06,171.62,162.48,172.52
Working Capital,443.87,848.3,739.54,326.03,49.96,520.18,"2,698","1,879","1,325","1,129","1,176"
Book Value Per Share,-0.94,-0.25,-0.07,-1.29,-0.72,-5.29,16.63,16.33,14.16,11.50,10.46
Tangible Book Value,"-2,766","-2,590","-2,668","-3,066","-3,387","-2,916","1,460",-515.16,-792.78,-410.28,-881.67
Tangible Book Value Per Share,-11.57,-10.30,-9.92,-10.96,-11.95,-10.91,8.29,-2.96,-4.62,-2.53,-5.11
Land,-,11.57,11.57,11.57,11.57,11.57,11.59,11.59,14.39,5.12,5.12
Buildings,-,68.49,67.02,67.14,61.84,45.48,73.61,249.03,246.04,247.56,235.55
Machinery,-,311.42,292.55,201.27,190.93,176.89,155.51,86.69,307.46,370.01,327.97
Construction In Progress,-,13.35,19.46,49.2,39.77,14.47,8.03,29.2,19.09,13.05,18.68
Leasehold Improvements,-,60.54,53.16,45.37,40.9,28.71,-,-,-,-,-
