Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"2,237","2,390","1,748","3,360","1,167","1,407",522,768,923,"1,016",355
Market Cap Growth,13.40%,36.76%,-47.99%,187.94%,-17.04%,169.66%,-32.10%,-16.71%,-9.18%,185.89%,32.01%
Enterprise Value,"2,313","2,432","1,839","3,437","1,350","1,605",814,792,996,993,326
Last Close Price,17.03,17.95,13.45,26.05,8.92,11.16,4.34,6.47,7.96,9.22,3.39
PE Ratio,280.28,-,-,43.04,26.36,726.67,-,-,-,-,-
Forward PE,16.01,19.63,21.65,18.71,11.12,15.71,43.10,13.84,8.56,16.79,11.79
PS Ratio,1.91,2.10,1.56,2.56,1.05,1.39,0.55,0.77,0.94,1.67,0.68
PB Ratio,33.20,36.45,69.13,28.78,12.92,25.83,96.65,6.62,8.18,8.08,3.94
P/TBV Ratio,-,-,-,-,-,-,-,-,-,50.47,-
P/FCF Ratio,24.05,18.77,46.78,14.27,10.35,11.05,25.31,9.35,-,20.79,14.19
P/OCF Ratio,19.09,15.72,31.50,13.48,9.11,9.73,14.54,7.32,48.44,17.13,11.70
PEG Ratio,0.91,1.16,1.17,0.94,0.56,0.79,2.15,0.69,0.50,0.97,0.79
EV/Sales Ratio,1.96,2.13,1.65,2.62,1.21,1.59,0.86,0.80,1.01,1.64,0.63
EV/EBITDA Ratio,43.98,64.58,-,23.47,11.93,17.02,42.83,16.97,13.66,18.27,12.89
EV/EBIT Ratio,68.96,131.89,-,30.81,18.51,41.19,-,-,41.79,35.43,-
EV/FCF Ratio,24.40,19.10,49.22,14.60,11.97,12.61,39.48,9.64,-,20.33,13.01
Debt / Equity Ratio,3.54,3.41,9.48,2.27,3.89,7.20,89.35,1.54,1.75,0.74,0.61
Debt / EBITDA Ratio,3.53,4.12,17.90,1.58,2.57,3.36,11.41,3.83,2.71,1.70,2.18
Debt / FCF Ratio,2.56,1.76,6.41,1.12,3.11,3.08,23.40,2.17,-,1.90,2.20
Asset Turnover,1.07,1.04,1.02,1.19,1.07,1.01,1.09,1.30,1.60,1.46,1.30
Inventory Turnover,3.82,3.54,4.23,8.07,11.75,8.89,6.82,6.98,8.06,6.25,5.14
Quick Ratio,0.61,0.61,0.48,0.72,0.76,0.89,0.80,0.97,0.93,1.05,0.83
Current Ratio,0.91,0.91,0.90,1.00,0.98,1.07,1.04,1.24,1.19,1.40,1.08
Return on Equity (ROE),17.08%,-16.43%,-121.05%,75.40%,61.14%,6.47%,-209.00%,-22.61%,-39.25%,-1.62%,-37.40%
Return on Assets (ROA),1.90%,1.05%,-1.65%,6.31%,4.39%,2.45%,-3.23%,-0.51%,2.42%,4.20%,-2.79%
Return on Capital (ROIC),7.23%,4.16%,-5.59%,16.95%,10.27%,5.21%,-7.16%,-1.28%,5.63%,9.64%,-7.07%
Return on Capital Employed (ROCE),5.80%,3.30%,-5.50%,19.70%,12.80%,7.00%,-7.70%,-1.50%,5.80%,11.40%,-11.00%
Earnings Yield,0.38%,-0.31%,-4.92%,2.32%,3.79%,0.14%,-24.31%,-3.36%,-5.07%,-0.17%,-10.23%
FCF Yield,4.16%,5.33%,2.14%,7.01%,9.66%,9.05%,3.95%,10.70%,-2.32%,4.81%,7.05%
Buyback Yield / Dilution,-2.63%,-2.35%,3.26%,-0.12%,-4.56%,-6.56%,-1.58%,-3.27%,-5.49%,-5.04%,-4.12%
