Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,209,231.75,156.7,234.83,194.52,246.89,193.87,169.61,121.14,130.45,94.12
Short-Term Investments,-,-,-,-,-,-,-,-,1.46,-,-
Trading Asset Securities,-,-,-,-,1.31,-,-,-,-,-,-
Cash & Short-Term Investments,209,231.75,156.7,234.83,195.84,246.89,193.87,169.61,122.6,130.45,94.12
Cash Growth,31.00%,47.89%,-33.27%,19.91%,-20.68%,27.35%,14.31%,38.34%,-6.02%,38.60%,23.48%
Receivables,145.8,126.71,89.52,182.05,184.1,156.48,122.73,174.41,212.42,93.12,81.42
Inventory,93.73,102.58,141.03,89.02,49.23,32.89,62.59,63.59,63.87,47.41,40.99
Prepaid Expenses,77.22,34.37,79.66,70.23,59.93,51.34,35.02,34.38,29.03,27.87,12.44
Other Current Assets,0.11,39.9,0.02,0.03,-,-,-,-,-,-,-
Total Current Assets,525.86,535.3,466.93,576.16,489.09,487.6,414.21,441.99,427.91,298.84,228.97
"Property, Plant & Equipment",84.64,83.02,87.89,81.19,86.03,91.93,110.09,73.55,78.52,30.24,29.58
Goodwill,399.63,399.57,393.71,394.76,400.14,331.16,331.16,138.58,139.08,80.22,70.88
Other Intangible Assets,5.43,6.54,10.61,16.06,32.52,36.04,68.39,51.11,77.09,25.34,19.76
Long-Term Deferred Charges,28.6,26.9,24.7,20,16.3,-,-,-,4.3,2.5,-
Other Long-Term Assets,108.78,101.89,58.76,53.54,44.43,63.37,55.24,51.64,43.34,22.57,25.24
Total Assets,"1,153","1,153","1,043","1,142","1,069","1,010",979.09,756.87,770.25,459.7,374.42
Accounts Payable,77.77,63.94,51.42,99.72,84.34,60.14,48.44,65.7,75.69,31.59,30.71
Accrued Expenses,112.18,162.74,117.7,135.81,119.39,127.1,105.41,117.01,131.5,79.71,53.84
Current Portion of Long-Term Debt,40.54,14.27,9.33,34.33,33.35,24.85,18.29,9.01,9.01,12.28,17.63
Current Portion of Leases,11.59,11.46,10.55,10.85,13.96,18.74,19.2,-,-,-,-
Current Unearned Revenue,325.12,325.08,306.11,282.48,238.26,212.41,190.23,144.23,130.87,79.05,99.75
Other Current Liabilities,10.3,10.39,22.48,12.32,10.88,12.45,16.26,20.08,12.81,10.58,9.6
Total Current Liabilities,577.49,587.88,517.59,575.5,500.18,455.7,397.82,356.03,359.87,213.21,211.53
Long-Term Debt,158.9,163.72,178.27,187.59,270.57,315.87,394.59,169.74,188.75,80.42,37.45
Long-Term Leases,31.36,33.99,41.47,31.85,33.26,32.52,50.24,-,-,-,-
Long-Term Unearned Revenue,307.06,292.42,268.91,219.02,163.36,133.17,100.96,59.01,43.66,25.29,21.93
Long-Term Deferred Tax Liabilities,7.01,7.03,7.98,7.75,7.72,3.83,2.33,1.96,6.14,6.58,4.69
Other Long-Term Liabilities,2.57,2.6,3.11,3.25,3.09,14.55,27.75,54.15,59.1,8.53,8.64
Total Liabilities,"1,084","1,088","1,017","1,025",978.17,955.63,973.69,640.89,657.52,334.02,284.23
Common Stock,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11
Additional Paid-In Capital,"1,310","1,299","1,220","1,174","1,115","1,079","1,035",986.77,942.4,909.16,884.71
Retained Earnings,-943.82,-949.43,-941.96,-856,-934.07,-978.34,-980.28,-853.43,-828.08,-781.29,-791.74
Treasury Stock,-287.79,-275.79,-237.8,-187.95,-88.09,-43.11,-43.11,-15,-,-,-
Comprehensive Income & Other,-9.58,-8.14,-15.48,-13.19,-3.06,-2.81,-6.38,-2.47,-1.7,-2.3,-2.87
Shareholders' Equity,68.56,65.58,25.28,116.75,90.34,54.47,5.4,115.99,112.73,125.68,90.2
Total Liabilities & Equity,"1,153","1,153","1,043","1,142","1,069","1,010",979.09,756.87,770.25,459.7,374.42
Total Debt,242.39,223.44,239.6,264.61,351.13,391.98,482.3,178.75,197.76,92.7,55.07
Net Cash (Debt),-33.38,8.3,-82.91,-29.78,-155.3,-145.08,-288.43,-9.14,-75.16,37.75,39.05
Net Cash Growth,-,-,-,-,-,-,-,-,-,-3.33%,317.63%
Net Cash Per Share,-0.25,0.06,-0.64,-0.22,-1.16,-1.14,-2.41,-0.08,-0.66,0.35,0.38
Filing Date Shares Outstanding,133.72,132.21,130.34,130.04,131.16,129.51,122.54,120.78,118.32,113.06,106.39
Total Common Shares Outstanding,133.65,132.06,130.28,127.78,129.26,126.68,120.52,119.17,116.12,110.93,104.94
Working Capital,-51.62,-52.58,-50.66,0.66,-11.09,31.9,16.39,85.96,68.04,85.64,17.44
Book Value Per Share,0.51,0.50,0.19,0.91,0.70,0.43,0.04,0.97,0.97,1.13,0.86
Tangible Book Value,-336.5,-340.53,-379.04,-294.07,-342.32,-312.73,-394.16,-73.7,-103.44,20.13,-0.44
Tangible Book Value Per Share,-2.52,-2.58,-2.91,-2.30,-2.65,-2.47,-3.27,-0.62,-0.89,0.18,-0.00
Machinery,91.7,88.81,85.36,90.51,84.85,86.07,83.88,83.12,75.66,45.57,45.04
Leasehold Improvements,48.13,47.96,47.88,48.94,52.56,53.33,52.32,51.25,50.07,23.05,19.34
Order Backlog,-,72.3,64,-,-,-,-,-,-,-,-
