Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Revenue,"1,181","1,140","1,117","1,312","1,112","1,009",948.02,995.79,983.14,607.08,519.83
Revenue Growth (YoY),14.31%,2.05%,-14.88%,17.99%,10.19%,6.48%,-4.80%,1.29%,61.94%,16.78%,-5.99%
Cost of Revenue,453.46,430.94,486.37,557.73,482.38,424.3,430.18,444.55,448.63,276.13,254.43
Gross Profit,727.65,709.13,630.83,754.72,629.94,585.12,517.84,551.24,534.52,330.96,265.4
"Selling, General & Admin",467.31,467.18,445.74,426.84,363.17,343.04,344.62,340.95,318.1,200.49,187.58
Research & Development,224.76,221.46,211.93,214.27,190.59,197,209.61,210.13,183.88,93.72,78.72
Amortization of Goodwill & Intangibles,2.03,2.04,2.04,2.05,3.24,6.11,8.43,6.35,8.72,8.7,17
Operating Expenses,694.1,690.69,659.71,643.16,556.99,546.15,562.65,557.43,510.69,302.92,283.3
Operating Income,33.55,18.44,-28.88,111.56,72.95,38.98,-44.82,-6.19,23.83,28.04,-17.89
Interest Expense,-15.16,-15.93,-16.99,-17.39,-12.79,-22.86,-23.75,-12.6,-13.92,-4.09,-3.1
Interest & Investment Income,4.66,4.31,4.56,3.16,0.41,0.35,1.42,2.23,2.85,0.69,0.11
Currency Exchange Gain (Loss),3.3,1,-0.3,-0.4,1.7,-2.2,0.6,0.1,-1.2,-0.7,1.3
Other Non Operating Income (Expenses),-4.05,-1.98,0.43,1.97,-1.32,0.51,0.14,-0.38,-0.13,0.65,-0.31
EBT Excluding Unusual Items,22.3,5.84,-41.18,98.9,60.95,14.79,-66.41,-16.83,11.43,24.6,-19.89
Merger & Restructuring Charges,-0.59,-1.49,-36.32,-3.25,-8.76,-4.6,-54.08,-8.53,-62.04,-22,-12.14
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.51,3.97,-,-
Other Unusual Items,-0.08,-0.08,-,-1.54,-,-,-,-,-,-,-
Pretax Income,21.64,4.27,-77.5,94.11,52.19,10.19,-120.49,-25.87,-46.65,2.6,-32.03
Income Tax Expense,12.99,11.74,8.47,16.03,7.92,8.25,6.35,-0.02,0.15,4.34,4.34
Net Income,8.65,-7.47,-85.96,78.07,44.27,1.94,-126.85,-25.85,-46.79,-1.74,-36.36
Net Income to Common,8.65,-7.47,-85.96,78.07,44.27,1.94,-126.85,-25.85,-46.79,-1.74,-36.36
Net Income Growth,-,-,-,76.35%,2186.72%,-,-,-,-,-,-
Shares Outstanding (Basic),133,132,129,129,129,124,120,118,114,108,103
Shares Outstanding (Diluted),133,132,129,134,133,128,120,118,114,108,103
Shares Change (YoY),2.63%,2.35%,-3.26%,0.12%,4.56%,6.56%,1.58%,3.27%,5.49%,5.04%,4.12%
EPS (Basic),0.07,-0.06,-0.66,0.60,0.34,0.02,-1.06,-0.22,-0.41,-0.02,-0.35
EPS (Diluted),0.06,-0.06,-0.66,0.58,0.33,0.02,-1.06,-0.22,-0.41,-0.02,-0.35
EPS Growth,-,-,-,75.76%,2014.03%,-,-,-,-,-,-
Free Cash Flow,94.8,127.32,37.37,235.41,112.74,127.36,20.62,82.22,-21.37,48.86,25.04
Free Cash Flow Per Share,0.71,0.96,0.29,1.76,0.84,1.00,0.17,0.70,-0.19,0.45,0.24
Gross Margin,61.61%,62.20%,56.46%,57.50%,56.63%,57.97%,54.62%,55.36%,54.37%,54.52%,51.05%
Operating Margin,2.84%,1.62%,-2.58%,8.50%,6.56%,3.86%,-4.73%,-0.62%,2.42%,4.62%,-3.44%
Profit Margin,0.73%,-0.66%,-7.70%,5.95%,3.98%,0.19%,-13.38%,-2.60%,-4.76%,-0.29%,-7.00%
Free Cash Flow Margin,8.03%,11.17%,3.35%,17.94%,10.14%,12.62%,2.17%,8.26%,-2.17%,8.05%,4.82%
EBITDA,52.6,37.66,-5.33,146.44,113.11,94.29,19.01,46.68,72.89,54.38,25.28
EBITDA Margin,4.45%,3.30%,-0.48%,11.16%,10.17%,9.34%,2.00%,4.69%,7.41%,8.96%,4.86%
D&A For EBITDA,19.05,19.22,23.55,34.88,40.16,55.32,63.82,52.87,49.06,26.34,43.17
EBIT,33.55,18.44,-28.88,111.56,72.95,38.98,-44.82,-6.19,23.83,28.04,-17.89
EBIT Margin,2.84%,1.62%,-2.58%,8.50%,6.56%,3.86%,-4.73%,-0.62%,2.42%,4.62%,-3.44%
Effective Tax Rate,60.04%,274.75%,-,17.04%,15.18%,80.99%,-,-,-,167.18%,-
Revenue as Reported,"1,181","1,140","1,117","1,312","1,112","1,009",948.02,995.79,983.14,607.08,519.83
Advertising Expenses,-,-,-,-,-,-,-,-,-,0.4,0.3
