Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017"
Operating Revenue,"2,456","2,491","2,700","2,800","3,582","4,022","1,826",915,435,216
Other Revenue,-0.1,-,0.1,-0.1,-0.1,-,-,-,-,2.6
Revenue,"2,456","2,491","2,701","2,800","3,582","4,022","1,826",915,435,218.6
Revenue Growth (YoY),-8.75%,-7.76%,-3.56%,-21.83%,-10.93%,120.26%,99.55%,110.34%,98.99%,-
Cost of Revenue,"1,207","1,223","1,493","1,873","2,827","2,567",988.2,531.5,245.4,144.7
Gross Profit,"1,248","1,268","1,208",927.2,754.7,"1,454",837.7,383.5,189.6,73.9
"Selling, General & Admin",915.1,948.9,"1,299","1,344","1,864","1,354",828.1,518.5,212.3,131.6
Research & Development,237.8,234.2,304.8,318.4,359.5,247.6,89.1,54.8,23.4,13
Operating Expenses,"1,153","1,183","1,604","1,662","2,223","1,602",917.2,573.3,235.7,144.6
Operating Income,95.3,85.2,-396.4,-734.7,"-1,469",-147.5,-79.5,-189.8,-46.1,-70.7
Interest Expense,-131.4,-134.5,-112.5,-97.1,-43,-14.8,-2,-1.7,-0.3,-0.3
Interest & Investment Income,34.4,32.7,35.1,26.4,2.3,7.9,18.2,8.7,-,-
Currency Exchange Gain (Loss),3.8,22.4,-,7,-31.8,-3.5,-4,-0.3,-,-
Other Non Operating Income (Expenses),-0.1,0.1,0.7,2.8,-1.4,-,0.2,0.1,0.1,-0.1
EBT Excluding Unusual Items,2,5.9,-473.1,-795.6,"-1,542",-157.9,-67.1,-183,-46.3,-71.1
Merger & Restructuring Charges,-58.7,-54.9,-107.9,-332.4,-610.9,-,-,-0.4,-,-
Impairment of Goodwill,-,-,-,-,-181.9,-,-,-,-,-
Asset Writedown,-44.1,-43,-16.5,-5.2,-16.7,-4.5,-1.2,-,-,-
Legal Settlements,-,-,-10.8,-102.8,-118.6,-35.8,-,-12.1,-1.5,-
Other Unusual Items,-,-23.5,56.2,-22,-337.6,-,-,-,-,-
Pretax Income,-100.8,-115.5,-552.1,"-1,258","-2,808",-198.2,-68.3,-195.5,-47.8,-71.1
Income Tax Expense,3.3,3.4,-0.2,3.7,19.6,-9.2,3.3,0.1,0.1,-
Net Income,-104.1,-118.9,-551.9,"-1,262","-2,828",-189,-71.6,-195.6,-47.9,-71.1
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,50.1,-,92.3
Net Income to Common,-104.1,-118.9,-551.9,"-1,262","-2,828",-189,-71.6,-245.7,-47.9,-163.4
Shares Outstanding (Basic),399,390,366,347,322,294,221,23,22,27
Shares Outstanding (Diluted),399,390,366,347,322,294,221,23,22,27
Shares Change (YoY),7.56%,6.70%,5.45%,7.54%,9.69%,33.01%,864.36%,4.46%,-19.89%,-
EPS (Basic),-0.26,-0.30,-1.51,-3.64,-8.77,-0.64,-0.32,-10.72,-2.18,-5.97
EPS (Diluted),-0.26,-0.30,-1.51,-3.64,-8.77,-0.64,-0.32,-10.72,-2.18,-5.97
Free Cash Flow,380.4,323.7,-85.8,-470,"-2,373",-570.1,219.9,-191.6,21.7,-28.8
Free Cash Flow Per Share,0.95,0.83,-0.23,-1.36,-7.36,-1.94,0.99,-8.36,0.99,-1.05
Gross Margin,50.83%,50.92%,44.71%,33.11%,21.07%,36.16%,45.88%,41.91%,43.59%,33.81%
Operating Margin,3.88%,3.42%,-14.68%,-26.24%,-41.00%,-3.67%,-4.35%,-20.74%,-10.60%,-32.34%
Profit Margin,-4.24%,-4.77%,-20.44%,-45.06%,-78.94%,-4.70%,-3.92%,-26.85%,-11.01%,-74.75%
Free Cash Flow Margin,15.49%,13.00%,-3.18%,-16.79%,-66.25%,-14.17%,12.04%,-20.94%,4.99%,-13.18%
EBITDA,143.4,141.3,-330.4,-648.8,"-1,349",-92.4,-46.1,-171.4,-40.7,-67
EBITDA Margin,5.84%,5.67%,-12.23%,-23.17%,-37.66%,-2.30%,-2.53%,-18.73%,-9.36%,-30.65%
D&A For EBITDA,48.1,56.1,66,85.9,119.3,55.1,33.4,18.4,5.4,3.7
EBIT,95.3,85.2,-396.4,-734.7,"-1,469",-147.5,-79.5,-189.8,-46.1,-70.7
EBIT Margin,3.88%,3.42%,-14.68%,-26.24%,-40.99%,-3.67%,-4.35%,-20.74%,-10.60%,-32.34%
Revenue as Reported,"2,456","2,491","2,701","2,800","3,582","4,022","1,826",915,435,218.6
Advertising Expenses,-,247,435,362.6,637.3,417.6,302.8,218.8,101.4,-
