Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017"
Market Capitalization,"3,012","2,766","1,253","2,725","3,097","36,994","16,362",-,-,-
Market Cap Growth,-7.09%,120.69%,-54.00%,-12.01%,-91.63%,126.09%,-,-,-,-
Enterprise Value,"3,844","3,844","2,772","4,244","3,897","35,765","15,452",-,-,-
Last Close Price,7.14,6.94,3.38,7.69,9.18,124.02,57.77,-,-,-
PS Ratio,1.16,1.11,0.46,0.97,0.87,9.20,8.96,-,-,-
PB Ratio,-,-6.68,-2.41,-9.23,5.22,21.09,9.75,-,-,-
P/TBV Ratio,-,-,-,-,6.07,28.54,10.08,-,-,-
P/FCF Ratio,7.85,8.55,-,-,-,-,74.41,-,-,-
P/OCF Ratio,7.61,8.31,-,-,-,-,43.47,-,-,-
PEG Ratio,-,-,-,-,-,2.75,-,-,-,-
EV/Sales Ratio,1.57,1.54,1.03,1.52,1.09,8.89,8.46,-,-,-
EV/EBITDA Ratio,26.81,27.20,-,-,-,-,-,-,-,-
EV/EBIT Ratio,40.34,45.11,-,-,-,-,-,-,-,-
EV/FCF Ratio,10.11,11.87,-,-,-,-,70.27,-,-,-
Debt / Equity Ratio,-5.66,-4.78,-4.00,-8.01,4.00,0.86,0.33,0.01,-,0.03
Debt / EBITDA Ratio,8.85,8.82,-,-,-,50.74,12.45,-,-,-
Debt / FCF Ratio,5.16,6.11,-,-,-,-,2.48,-,-,-
Asset Turnover,1.14,1.16,1.09,0.82,0.84,1.08,0.95,1.61,1.85,-
Inventory Turnover,4.23,4.57,3.50,2.30,2.77,4.35,5.19,6.57,11.97,-
Quick Ratio,1.48,1.42,1.17,1.20,1.21,1.35,2.32,1.36,0.94,2.50
Current Ratio,1.90,1.79,1.85,2.15,2.38,2.27,2.80,2.00,1.20,2.85
Return on Equity (ROE),-,-,-,-847.35%,-240.96%,-11.01%,-6.88%,-79.32%,-44.47%,-
Return on Assets (ROA),2.75%,2.47%,-10.00%,-13.51%,-21.56%,-2.47%,-2.58%,-20.89%,-12.26%,-
Return on Capital (ROIC),3.73%,3.41%,-13.66%,-18.24%,-29.45%,-3.36%,-3.78%,-47.78%,-26.37%,-
Return on Capital Employed (ROCE),6.90%,6.40%,-26.40%,-36.60%,-50.20%,-4.50%,-3.60%,-33.10%,-45.60%,-52.30%
Earnings Yield,-3.49%,-4.30%,-44.03%,-46.30%,-91.31%,-0.51%,-0.44%,-,-,-
FCF Yield,12.74%,11.70%,-6.85%,-17.25%,-76.63%,-1.54%,1.34%,-,-,-
Buyback Yield / Dilution,-7.56%,-6.70%,-5.45%,-7.54%,-9.69%,-33.01%,-864.36%,-4.46%,19.89%,-
