Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023"
Cash & Equivalents,487.46,42.85,32.77
Cash & Short-Term Investments,488.84,42.85,32.77
Cash Growth,1391.79%,30.75%,-
Accounts Receivable,147.32,61.56,23.18
Other Receivables,4.82,3.81,3.32
Receivables,152.13,65.37,26.51
Prepaid Expenses,8.92,7.23,8.13
Restricted Cash,87.73,28.38,30.83
Other Current Assets,"1,405","1,244",878.46
Total Current Assets,"2,142","1,388",976.7
"Property, Plant & Equipment",31.24,31.66,37.33
Long-Term Investments,9.57,10.64,11.71
Other Intangible Assets,145.37,162.14,184.97
Other Long-Term Assets,9.89,1.72,0.31
Total Assets,"2,338","1,594","1,211"
Accounts Payable,5.35,17.57,12.38
Accrued Expenses,68.21,34.72,32.8
Short-Term Debt,241.71,117.61,571.56
Current Portion of Long-Term Debt,777.28,562.16,-
Current Portion of Leases,5.59,4.74,4.33
Other Current Liabilities,557.81,604.57,541.62
Total Current Liabilities,"1,665","1,349","1,163"
Long-Term Debt,-,485.99,134.93
Long-Term Leases,19.95,20.15,23.01
Total Liabilities,"1,685","1,855","1,321"
Additional Paid-In Capital,"2,549",662.09,656.5
Retained Earnings,"-1,902","-1,460","-1,302"
Comprehensive Income & Other,7.38,2.99,1.1
Total Common Equity,653.56,-795.36,-644.3
Shareholders' Equity,653.56,-260.99,-109.94
Total Liabilities & Equity,"2,338","1,594","1,211"
Total Debt,"1,045","1,191",733.83
Net Cash (Debt),-555.69,"-1,148",-701.06
Net Cash Per Share,-26.60,-71.38,-44.44
Filing Date Shares Outstanding,117.65,50.76,49.69
Total Common Shares Outstanding,117.62,50.76,49.69
Working Capital,477.46,38.98,-186.31
Book Value Per Share,5.56,-15.67,-12.97
Tangible Book Value,508.2,-957.51,-829.27
Tangible Book Value Per Share,4.32,-18.86,-16.69
Machinery,6.68,5.89,5.43
Leasehold Improvements,12.44,12.65,11.92
