Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023"
Operating Revenue,160.67,140.86,96.31
Other Revenue,1.86,1.3,1.82
Revenue,162.53,142.17,98.14
Revenue Growth (YoY),65.61%,44.86%,-
Cost of Revenue,182.45,130.49,140.76
Gross Profit,-19.93,11.68,-42.62
"Selling, General & Admin",224.38,157.21,219.96
Operating Expenses,243.07,177.13,247.57
Operating Income,-263,-165.45,-290.19
Interest Expense,-75.89,-55,-25.94
Other Non Operating Income (Expenses),20.94,100.57,17.93
EBT Excluding Unusual Items,-317.95,-119.88,-298.21
Asset Writedown,-,-0.38,-21.4
Other Unusual Items,-152.47,-30.66,-4.14
Pretax Income,-470.41,-150.92,-323.75
Income Tax Expense,-1.43,7.63,-4.07
Net Income,-468.98,-158.55,-319.68
Net Income to Common,-468.98,-158.55,-319.68
Shares Outstanding (Basic),21,16,16
Shares Outstanding (Diluted),21,16,16
Shares Change (YoY),32.39%,1.93%,-
EPS (Basic),-22.45,-9.86,-20.26
EPS (Diluted),-22.45,-9.86,-20.26
Free Cash Flow,-87.09,-110.19,-208.02
Free Cash Flow Per Share,-4.17,-6.85,-13.19
Gross Margin,-12.26%,8.21%,-43.43%
Operating Margin,-161.81%,-116.38%,-295.70%
Profit Margin,-288.55%,-111.52%,-325.74%
Free Cash Flow Margin,-53.59%,-77.51%,-211.97%
EBITDA,-231.5,-132.49,-257.97
EBITDA Margin,-142.44%,-93.19%,-262.87%
D&A For EBITDA,31.49,32.96,32.22
EBIT,-263,-165.45,-290.19
EBIT Margin,-161.81%,-116.38%,-295.70%
Revenue as Reported,162.53,142.17,98.14
