Period Ending,"Nov '25Nov 7, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020",2015 - 2019
Market Capitalization,894,4,8,13,24,13,Upgrade
Market Cap Growth,22822.31%,-46.32%,-42.83%,-44.19%,79.97%,44.05%,Upgrade
Enterprise Value,883,5,9,16,28,18,Upgrade
Last Close Price,9.67,3.73,7.60,13.30,23.90,13.90,Upgrade
PE Ratio,-,-,-,-,45.77,-,Upgrade
PS Ratio,0.42,0.14,0.21,0.35,0.61,0.39,Upgrade
PB Ratio,262.91,1.38,2.92,2.13,3.22,2.02,Upgrade
P/TBV Ratio,-,-,-,3.93,5.49,4.05,Upgrade
P/FCF Ratio,-,12.01,8.45,9.80,-,-,Upgrade
P/OCF Ratio,-,10.09,7.35,8.72,-,-,Upgrade
EV/Sales Ratio,35.06,0.17,0.26,0.43,0.72,0.52,Upgrade
EV/EBITDA Ratio,-,-,19.72,18.24,-,-,Upgrade
EV/EBIT Ratio,-,-,58.74,27.83,-,-,Upgrade
EV/FCF Ratio,-,14.89,10.36,12.00,-,-,Upgrade
Debt / Equity Ratio,0.97,1.16,1.66,0.80,0.74,1.18,Upgrade
Debt / EBITDA Ratio,-,-,3.97,3.29,31.73,-,Upgrade
Debt / FCF Ratio,-,10.04,4.81,3.68,-,-,Upgrade
Asset Turnover,2.14,1.88,1.92,1.87,1.99,1.95,Upgrade
Inventory Turnover,-,58.19,56.35,19.28,16.42,18.61,Upgrade
Quick Ratio,1.35,0.93,0.94,1.01,1.41,1.19,Upgrade
Current Ratio,1.51,1.03,1.05,1.44,1.78,1.39,Upgrade
Return on Equity (ROE),-237.26%,-69.76%,3.57%,6.56%,7.47%,-24.84%,Upgrade
Return on Assets (ROA),-28.39%,-6.73%,0.52%,1.80%,-2.44%,-3.14%,Upgrade
Return on Capital (ROIC),-57.84%,-16.20%,1.09%,3.03%,-3.50%,-4.43%,Upgrade
Return on Capital Employed (ROCE),-,-,2.40%,5.40%,-,-,Upgrade
Earnings Yield,-0.41%,-47.49%,-48.84%,-10.30%,2.19%,-13.33%,Upgrade
FCF Yield,-0.21%,8.33%,11.83%,10.20%,-2.48%,-2.49%,Upgrade
Buyback Yield / Dilution,-0.29%,-,-7.94%,2.32%,-8.97%,-0.54%,Upgrade
