Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Revenue,25.19,30.2,36.69,38.21,39.02,34.48,37.41,34.5,24.76,27.48,30.01
Revenue Growth (YoY),6.11%,-17.70%,-3.98%,-2.09%,13.18%,-7.83%,8.43%,39.31%,-9.88%,-8.44%,-10.03%
Cost of Revenue,22.73,23.99,28.32,29.41,30.89,27.84,30.83,27.93,20.57,22.4,24.22
Gross Profit,2.46,6.21,8.36,8.8,8.13,6.64,6.58,6.57,4.19,5.08,5.79
"Selling, General & Admin",7.81,7.94,8.2,8.21,8.9,7.53,9.68,6.01,3.59,4.46,7.31
Operating Expenses,7.81,7.94,8.2,8.21,8.9,7.53,9.68,6.01,3.59,4.46,7.31
Operating Income,-5.34,-1.73,0.16,0.59,-0.76,-0.89,-3.1,0.56,0.6,0.62,-1.51
Interest Expense,-0.05,-0.06,-0.1,-0.12,-0.17,-0.17,-0.2,-0.12,-,-,-
Interest & Investment Income,0.06,0.08,0.02,-,0.09,0.06,-,-,-,-,0
Currency Exchange Gain (Loss),0.01,0.01,0,-0.01,-0.01,-0,-0.01,-0.01,-0.03,-0.02,-0.02
Other Non Operating Income (Expenses),0.15,-0.02,0.03,0,0,-0,0,-0,0.01,0.01,0.01
EBT Excluding Unusual Items,-5.18,-1.72,0.11,0.45,-0.85,-1.01,-3.31,0.43,0.58,0.61,-1.52
Merger & Restructuring Charges,-,-,-,-,-,-0.08,-,-0.3,-,-,-
Impairment of Goodwill,-0.43,-0.2,-,-,-,-1.02,-,-,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-0.11
Other Unusual Items,-,-,0.07,-,1.38,0.33,-0.3,0.5,-,-,-
Pretax Income,-5.6,-1.92,0.18,0.45,0.52,-1.77,-3.61,0.63,0.58,0.61,-1.63
Income Tax Expense,0.02,0.02,0.02,0,-,0.01,-0,-0.75,-,-,-
Earnings From Continuing Operations,-5.62,-1.95,0.16,0.45,0.52,-1.78,-3.6,1.38,0.58,0.61,-1.63
Earnings From Discontinued Operations,1.97,-0,-3.9,-1.83,-,-,-,-,-,-,0.2
Net Income,-3.65,-1.95,-3.74,-1.38,0.52,-1.78,-3.6,1.38,0.58,0.61,-1.43
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,0.48
Net Income to Common,-3.65,-1.95,-3.74,-1.38,0.52,-1.78,-3.6,1.38,0.58,0.61,-1.91
Net Income Growth,-,-,-,-,-,-,-,138.08%,-4.49%,-,-
Shares Outstanding (Basic),1,1,1,1,1,1,1,1,1,1,1
Shares Outstanding (Diluted),1,1,1,1,1,1,1,1,1,1,1
Shares Change (YoY),0.29%,-,7.94%,-2.32%,8.97%,0.54%,1.90%,6.02%,1.70%,4.00%,1.90%
EPS (Basic),-3.31,-1.77,-3.39,-1.37,0.53,-1.85,-3.78,1.49,0.66,0.71,-2.29
EPS (Diluted),-3.33,-1.77,-3.40,-1.39,0.50,-1.90,-3.80,1.49,0.66,0.70,-2.29
EPS Growth,-,-,-,-,-,-,-,124.27%,-5.17%,-,-
Free Cash Flow,-1.89,0.34,0.9,1.37,-0.6,-0.33,-2,0.9,-0.14,0.72,-2.06
Free Cash Flow Per Share,-1.71,0.31,0.82,1.34,-0.57,-0.35,-2.10,0.96,-0.16,0.83,-2.46
Gross Margin,9.78%,20.56%,22.80%,23.03%,20.85%,19.25%,17.59%,19.04%,16.93%,18.49%,19.30%
Operating Margin,-21.21%,-5.74%,0.43%,1.54%,-1.96%,-2.58%,-8.28%,1.61%,2.42%,2.25%,-5.04%
Profit Margin,-14.50%,-6.46%,-10.18%,-3.61%,1.34%,-5.15%,-9.63%,4.00%,2.34%,2.21%,-6.36%
Free Cash Flow Margin,-7.49%,1.13%,2.47%,3.57%,-1.53%,-0.96%,-5.35%,2.61%,-0.56%,2.62%,-6.85%
EBITDA,-5.01,-1.4,0.48,0.9,-0.44,-0.62,-2.79,0.78,0.62,0.67,-1.46
EBITDA Margin,-19.89%,-4.64%,1.30%,2.35%,-1.12%,-1.79%,-7.45%,2.27%,2.51%,2.44%,-4.86%
D&A For EBITDA,0.33,0.33,0.32,0.31,0.33,0.27,0.31,0.23,0.02,0.05,0.05
EBIT,-5.34,-1.73,0.16,0.59,-0.76,-0.89,-3.1,0.56,0.6,0.62,-1.51
EBIT Margin,-21.21%,-5.74%,0.43%,1.54%,-1.96%,-2.58%,-8.28%,1.61%,2.42%,2.25%,-5.04%
Effective Tax Rate,-,-,11.20%,0.56%,-,-,-,-,-,-,-
Revenue as Reported,30.2,30.2,36.69,-,-,-,-,-,-,-,-
