Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cash & Equivalents,27.11,6.11,9.47,34.6,559.46,73.53,63.42,7.89,9.1
Short-Term Investments,782.47,412.73,518.73,529.49,-,-,-,-,-
Cash & Short-Term Investments,809.58,418.83,528.2,564.1,559.46,73.53,63.42,7.89,9.1
Cash Growth,86.20%,-20.71%,-6.36%,0.83%,660.91%,15.94%,703.88%,-13.28%,-
Receivables,22.5,38.21,21.86,41.23,38.38,24.66,18.73,20.62,22.63
Inventory,86.74,76.74,65.54,57.65,23.63,12.35,11.91,20.54,15.38
Prepaid Expenses,4.76,4.31,3.56,3.12,2.4,1.07,1.28,0.67,0.68
Other Current Assets,8.42,5.97,4.08,2.97,2.08,1.58,4.32,3.39,5.95
Total Current Assets,932,544.06,623.24,669.07,625.94,113.18,99.66,53.1,53.73
"Property, Plant & Equipment",104.1,89.04,62.95,69.62,46.1,20.6,19.08,11.28,12.74
Goodwill,87.1,87.1,87.1,-,-,-,-,-,-
Other Intangible Assets,152.14,163.56,177.08,5.21,5.98,2.07,4.49,8.14,8.11
Other Long-Term Assets,1.67,1.2,1.32,6.72,0.19,0.16,0.16,0.16,0.14
Total Assets,"1,277",884.96,951.68,750.62,678.21,136.01,123.39,72.69,74.73
Accounts Payable,18.87,22.89,8.69,14.88,13.1,6.18,3.87,5.03,5.8
Accrued Expenses,17.25,17.43,11.72,11.67,15.09,8.64,5.35,6.08,4.72
Current Portion of Long-Term Debt,-,-,-,-,-,-,41,46,43
Current Portion of Leases,2.66,2.74,2.6,2.49,1.34,1.26,1.87,-,-
Current Unearned Revenue,-,-,-,0.23,-,-,-,-,-
Other Current Liabilities,71.9,65.39,98.38,4.53,7.86,3.06,1.22,1.58,0.9
Total Current Liabilities,110.68,108.45,121.39,33.79,37.39,19.15,53.31,58.68,54.42
Long-Term Leases,1.78,3.49,5.42,8.15,6.4,6.99,7.94,-,-
Other Long-Term Liabilities,61.14,73.3,116.81,0.19,1.93,-,-,2.99,2.63
Total Liabilities,173.6,185.24,243.63,42.14,45.71,26.13,61.25,61.67,57.05
Common Stock,0,0,0,0,0,0,0,0,0
Additional Paid-In Capital,"1,337",881.72,796.45,716.34,663.61,173.27,116.16,58.43,55.75
Retained Earnings,-234.07,-182,-88.4,-7.87,-31.12,-63.4,-54.02,-47.42,-38.08
Shareholders' Equity,"1,103",699.72,708.05,708.48,632.5,109.88,62.14,11.02,17.68
Total Liabilities & Equity,"1,277",884.96,951.68,750.62,678.21,136.01,123.39,72.69,74.73
Total Debt,4.44,6.23,8.02,10.63,7.73,8.25,50.81,46,43
Net Cash (Debt),805.14,412.6,520.18,553.46,551.73,65.28,12.6,-38.11,-33.9
Net Cash Growth,88.04%,-20.68%,-6.01%,0.32%,745.24%,417.89%,-,-,-
Net Cash Per Share,33.16,17.85,23.44,24.42,26.09,4.06,1.19,-3.81,-3.39
Filing Date Shares Outstanding,26.1,23.6,22.69,21.7,20.82,17.15,15.06,10,10
Total Common Shares Outstanding,26.1,23.6,22.69,21.7,20.83,17.15,14.97,10,10
Working Capital,821.32,435.61,501.85,635.27,588.56,94.04,46.35,-5.58,-0.69
Book Value Per Share,42.27,29.65,31.20,32.65,30.37,6.41,4.15,1.10,1.77
Tangible Book Value,864.17,449.06,443.88,703.28,626.52,107.81,57.65,2.87,9.57
Tangible Book Value Per Share,33.11,19.03,19.56,32.41,30.08,6.29,3.85,0.29,0.96
Machinery,157.64,124.96,85.28,76.9,46.69,23.32,18.42,17.17,15.49
Construction In Progress,10.43,9.54,5.98,5.97,7.1,0.64,0.22,0.22,0.22
Leasehold Improvements,8.29,7.82,7.85,7.13,5.21,4.13,4.07,4.01,3.94
